,MSC03,train,test
0,0.75,motor,mixed
1,0.8,motor,mixed
2,0.75,motor,mixed
3,0.75,motor,mixed
4,0.75,motor,mixed
5,0.8,motor,mixed
6,0.25,motor,mixed
7,0.75,motor,mixed
8,0.75,motor,mixed
9,0.75,motor,mixed
