train,test,sub,acc
motor,mem,MSC04,0.8
motor,mem,MSC04,0.8
motor,mem,MSC04,0.7
motor,mem,MSC04,0.8
motor,mem,MSC04,0.8
mixed,mem,MSC05,0.45
mixed,mem,MSC05,0.95
mixed,mem,MSC05,0.95
mixed,mem,MSC05,0.95
mixed,mem,MSC05,1.0
mixed,mem,MSC05,0.95
mixed,mem,MSC05,0.9
mixed,mem,MSC05,0.95
mixed,mem,MSC05,0.95
mixed,mem,MSC05,0.95
mixed,motor,MSC05,0.4
mixed,motor,MSC05,0.95
mixed,motor,MSC05,0.85
mixed,motor,MSC05,0.9
mixed,motor,MSC05,0.9
mixed,motor,MSC05,0.8
mixed,motor,MSC05,0.8
mixed,motor,MSC05,0.85
mixed,motor,MSC05,0.75
mixed,motor,MSC05,0.85
mem,mixed,MSC05,0.8
mem,mixed,MSC05,0.75
mem,mixed,MSC05,0.75
mem,mixed,MSC05,0.7
mem,mixed,MSC05,0.85
mem,mixed,MSC05,0.8
mem,mixed,MSC05,0.8
mem,mixed,MSC05,0.75
mem,mixed,MSC05,0.8
mem,mixed,MSC05,0.9
mem,motor,MSC05,0.95
mem,motor,MSC05,0.85
mem,motor,MSC05,0.65
mem,motor,MSC05,0.65
mem,motor,MSC05,0.75
mem,motor,MSC05,0.7
mem,motor,MSC05,0.65
mem,motor,MSC05,0.65
mem,motor,MSC05,0.7
mem,motor,MSC05,0.75
motor,mixed,MSC05,0.35
motor,mixed,MSC05,0.25
motor,mixed,MSC05,0.65
motor,mixed,MSC05,0.65
motor,mixed,MSC05,0.7
motor,mixed,MSC05,0.7
motor,mixed,MSC05,0.75
motor,mixed,MSC05,0.65
motor,mixed,MSC05,0.65
motor,mixed,MSC05,0.6
motor,mem,MSC05,0.5
motor,mem,MSC05,0.45
motor,mem,MSC05,1.0
motor,mem,MSC05,0.9
motor,mem,MSC05,0.95
motor,mem,MSC05,0.95
motor,mem,MSC05,1.0
motor,mem,MSC05,1.0
motor,mem,MSC05,0.9
motor,mem,MSC05,0.8
mixed,mem,MSC06,0.8
mixed,mem,MSC06,0.85
mixed,mem,MSC06,0.75
mixed,mem,MSC06,0.9
mixed,mem,MSC06,0.4
mixed,mem,MSC06,0.95
mixed,mem,MSC06,0.95
mixed,mem,MSC06,0.85
mixed,mem,MSC06,0.85
mixed,mem,MSC06,0.25
mixed,motor,MSC06,0.7777777777777778
mixed,motor,MSC06,0.7777777777777778
mixed,motor,MSC06,0.7222222222222222
mixed,motor,MSC06,0.7777777777777778
mixed,motor,MSC06,0.3333333333333333
mixed,motor,MSC06,0.8333333333333334
mixed,motor,MSC06,0.7777777777777778
mixed,motor,MSC06,0.7777777777777778
mixed,motor,MSC06,0.7777777777777778
mixed,motor,MSC06,0.3333333333333333
mem,mixed,MSC06,0.7
mem,mixed,MSC06,0.75
mem,mixed,MSC06,0.2
mem,mixed,MSC06,0.7
mem,mixed,MSC06,0.75
mem,mixed,MSC06,0.7
mem,mixed,MSC06,0.7
mem,mixed,MSC06,0.7
mem,mixed,MSC06,0.65
mem,mixed,MSC06,0.7
mem,motor,MSC06,0.6111111111111112
mem,motor,MSC06,0.6666666666666666
mem,motor,MSC06,0.16666666666666666
mem,motor,MSC06,0.6111111111111112
mem,motor,MSC06,0.6666666666666666
mem,motor,MSC06,0.6666666666666666
mem,motor,MSC06,0.6666666666666666
mem,motor,MSC06,0.6111111111111112
mem,motor,MSC06,0.7222222222222222
mem,motor,MSC06,0.7222222222222222
motor,mixed,MSC06,0.75
motor,mixed,MSC06,0.65
motor,mixed,MSC06,0.7
motor,mixed,MSC06,0.7
motor,mixed,MSC06,0.75
motor,mixed,MSC06,0.7
motor,mixed,MSC06,0.8
motor,mixed,MSC06,0.7
motor,mixed,MSC06,0.65
motor,mem,MSC06,0.8
motor,mem,MSC06,0.75
motor,mem,MSC06,0.8
motor,mem,MSC06,0.7
motor,mem,MSC06,0.8
motor,mem,MSC06,0.7
motor,mem,MSC06,0.7
motor,mem,MSC06,0.75
motor,mem,MSC06,0.8
mixed,mem,MSC07,0.85
mixed,mem,MSC07,0.85
mixed,mem,MSC07,0.4
mixed,mem,MSC07,0.9
mixed,mem,MSC07,0.9
mixed,mem,MSC07,0.9
mixed,mem,MSC07,0.85
mixed,mem,MSC07,0.9
mixed,mem,MSC07,0.8
mixed,mem,MSC07,0.8
mixed,motor,MSC07,0.9444444444444444
mixed,motor,MSC07,0.8333333333333334
mixed,motor,MSC07,0.2222222222222222
mixed,motor,MSC07,0.8333333333333334
mixed,motor,MSC07,0.7777777777777778
mixed,motor,MSC07,1.0
mixed,motor,MSC07,0.8333333333333334
mixed,motor,MSC07,0.9444444444444444
mixed,motor,MSC07,0.8888888888888888
mixed,motor,MSC07,0.8888888888888888
mem,mixed,MSC07,0.7
mem,mixed,MSC07,0.7
mem,mixed,MSC07,0.2
mem,mixed,MSC07,0.7
mem,mixed,MSC07,0.7
mem,mixed,MSC07,0.7
mem,mixed,MSC07,0.7
mem,mixed,MSC07,0.7
mem,mixed,MSC07,0.7
mem,mixed,MSC07,0.7
mem,motor,MSC07,0.7777777777777778
mem,motor,MSC07,0.6111111111111112
mem,motor,MSC07,0.16666666666666666
mem,motor,MSC07,0.5555555555555556
mem,motor,MSC07,0.6666666666666666
mem,motor,MSC07,0.7222222222222222
mem,motor,MSC07,0.6111111111111112
mem,motor,MSC07,0.7777777777777778
mem,motor,MSC07,0.6666666666666666
mem,motor,MSC07,0.6111111111111112
motor,mixed,MSC07,0.65
motor,mixed,MSC07,0.65
motor,mixed,MSC07,0.7
motor,mixed,MSC07,0.65
motor,mixed,MSC07,0.65
motor,mixed,MSC07,0.75
motor,mixed,MSC07,0.65
motor,mixed,MSC07,0.65
motor,mixed,MSC07,0.7
motor,mem,MSC07,0.7
motor,mem,MSC07,0.65
motor,mem,MSC07,0.7
motor,mem,MSC07,0.6
motor,mem,MSC07,0.65
motor,mem,MSC07,0.65
motor,mem,MSC07,0.55
motor,mem,MSC07,0.7
motor,mem,MSC07,0.7
mixed,mem,MSC10,0.4
mixed,mem,MSC10,0.9
mixed,mem,MSC10,0.4
mixed,mem,MSC10,0.4
mixed,mem,MSC10,0.9
mixed,mem,MSC10,0.9
