,MSC02,train,test
0,0.65,mixed,motor
1,0.7,mixed,motor
2,0.65,mixed,motor
3,0.7,mixed,motor
4,0.7,mixed,motor
5,0.2,mixed,motor
6,0.65,mixed,motor
7,0.7,mixed,motor
8,0.65,mixed,motor
9,0.2,mixed,motor
