,MSC02,train,test
0,0.5,mem,motor
1,0.5,mem,motor
2,0.55,mem,motor
3,0.55,mem,motor
4,0.6,mem,motor
5,0.1,mem,motor
6,0.55,mem,motor
7,0.5,mem,motor
8,0.55,mem,motor
9,0.6,mem,motor
