,MSC02,train,test
0,0.6,motor,mem
1,0.7,motor,mem
2,0.65,motor,mem
3,0.5,motor,mem
4,0.6,motor,mem
5,0.7,motor,mem
6,0.6,motor,mem
7,0.6,motor,mem
8,0.6,motor,mem
9,0.25,motor,mem
