Task,f1,train,acc,MCC,Analysis
rest,0.9166666666666666,MSC01,0.84,0.8232845688140846,Same Person
mem,0.8666666666666666,MSC01,0.84,0.8232845688140846,Same Person
sem,0.8333333333333334,MSC01,0.84,0.8232845688140846,Same Person
mot,0.5,MSC01,0.84,0.8232845688140846,Same Person
glass,0.9,MSC01,0.84,0.8232845688140846,Same Person
rest,0.6588701692926915,MSC01,0.6092753623188406,0.5488699876557044,Different Person
mem,0.7381313909898088,MSC01,0.6092753623188406,0.5488699876557044,Different Person
sem,0.611078433861846,MSC01,0.6092753623188406,0.5488699876557044,Different Person
mot,0.011428571428571429,MSC01,0.6092753623188406,0.5488699876557044,Different Person
glass,0.6987155145561494,MSC01,0.6092753623188406,0.5488699876557044,Different Person
rest,0.9066666666666666,MSC02,0.8200000000000001,0.8094457526355132,Same Person
mem,0.8666666666666666,MSC02,0.8200000000000001,0.8094457526355132,Same Person
sem,0.6333333333333333,MSC02,0.8200000000000001,0.8094457526355132,Same Person
mot,0.5666666666666667,MSC02,0.8200000000000001,0.8094457526355132,Same Person
glass,0.8666666666666666,MSC02,0.8200000000000001,0.8094457526355132,Same Person
rest,0.7562782172366448,MSC02,0.5904347826086956,0.517383006112761,Different Person
mem,0.6554091556769162,MSC02,0.5904347826086956,0.517383006112761,Different Person
sem,0.44086926751615635,MSC02,0.5904347826086956,0.517383006112761,Different Person
mot,0.15858212523023177,MSC02,0.5904347826086956,0.517383006112761,Different Person
glass,0.6544955727061759,MSC02,0.5904347826086956,0.517383006112761,Different Person
rest,0.9166666666666666,MSC03,0.8,0.7776878917506207,Same Person
mem,0.8333333333333333,MSC03,0.8,0.7776878917506207,Same Person
sem,0.625,MSC03,0.8,0.7776878917506207,Same Person
mot,0.4583333333333333,MSC03,0.8,0.7776878917506207,Same Person
glass,0.8958333333333334,MSC03,0.8,0.7776878917506207,Same Person
rest,0.5377994312125908,MSC03,0.5201729106628242,0.4607899404371525,Different Person
mem,0.7128568943719399,MSC03,0.5201729106628242,0.4607899404371525,Different Person
sem,0.037504019551096536,MSC03,0.5201729106628242,0.4607899404371525,Different Person
mot,0.1063601354390828,MSC03,0.5201729106628242,0.4607899404371525,Different Person
glass,0.7506613506531283,MSC03,0.5201729106628242,0.4607899404371525,Different Person
rest,0.9666666666666668,MSC04,0.92,0.9162277660168379,Same Person
mem,0.9666666666666666,MSC04,0.92,0.9162277660168379,Same Person
sem,0.8666666666666668,MSC04,0.92,0.9162277660168379,Same Person
mot,0.7,MSC04,0.92,0.9162277660168379,Same Person
glass,0.9666666666666666,MSC04,0.92,0.9162277660168379,Same Person
rest,0.6899950698933349,MSC04,0.6678260869565218,0.6159537328403021,Different Person
mem,0.8311048161355445,MSC04,0.6678260869565218,0.6159537328403021,Different Person
sem,0.5404913141630894,MSC04,0.6678260869565218,0.6159537328403021,Different Person
mot,0.24296343867467293,MSC04,0.6678260869565218,0.6159537328403021,Different Person
glass,0.7868560373883374,MSC04,0.6678260869565218,0.6159537328403021,Different Person
rest,0.9166666666666666,MSC05,0.9,0.8969322549793481,Same Person
mem,0.9666666666666666,MSC05,0.9,0.8969322549793481,Same Person
sem,0.9,MSC05,0.9,0.8969322549793481,Same Person
mot,0.6,MSC05,0.9,0.8969322549793481,Same Person
glass,0.9666666666666668,MSC05,0.9,0.8969322549793481,Same Person
rest,0.6895098312925266,MSC05,0.6408695652173912,0.5747569176907934,Different Person
mem,0.6861955941760953,MSC05,0.6408695652173912,0.5747569176907934,Different Person
sem,0.6155630527342326,MSC05,0.6408695652173912,0.5747569176907934,Different Person
mot,0.18688852412381823,MSC05,0.6408695652173912,0.5747569176907934,Different Person
glass,0.7845350731180407,MSC05,0.6408695652173912,0.5747569176907934,Different Person
rest,0.8333333333333335,MSC06,0.8222222222222222,0.813212106578947,Same Person
mem,0.9629629629629629,MSC06,0.8222222222222222,0.813212106578947,Same Person
sem,0.6666666666666666,MSC06,0.8222222222222222,0.813212106578947,Same Person
mot,0.4074074074074074,MSC06,0.8222222222222222,0.813212106578947,Same Person
glass,0.9629629629629631,MSC06,0.8222222222222222,0.813212106578947,Same Person
rest,0.6599673372910418,MSC06,0.643611911623439,0.5866204931075448,Different Person
mem,0.7383789738014789,MSC06,0.643611911623439,0.5866204931075448,Different Person
sem,0.665041146914586,MSC06,0.643611911623439,0.5866204931075448,Different Person
mot,0.06418061897513952,MSC06,0.643611911623439,0.5866204931075448,Different Person
glass,0.7958489196879837,MSC06,0.643611911623439,0.5866204931075448,Different Person
rest,1.0,MSC07,0.8666666666666667,0.8603796100280632,Same Person
mem,0.8888888888888888,MSC07,0.8666666666666667,0.8603796100280632,Same Person
sem,0.8888888888888888,MSC07,0.8666666666666667,0.8603796100280632,Same Person
mot,0.3333333333333333,MSC07,0.8666666666666667,0.8603796100280632,Same Person
glass,1.0,MSC07,0.8666666666666667,0.8603796100280632,Same Person
rest,0.5810593235749129,MSC07,0.550417469492614,0.4846640556498147,Different Person
mem,0.7110507373131867,MSC07,0.550417469492614,0.4846640556498147,Different Person
sem,0.34895933981499216,MSC07,0.550417469492614,0.4846640556498147,Different Person
mot,0.06462218215385623,MSC07,0.550417469492614,0.4846640556498147,Different Person
glass,0.6883753248574701,MSC07,0.550417469492614,0.4846640556498147,Different Person
rest,0.8333333333333333,MSC10,0.72,0.7005899831253414,Same Person
mem,0.6833333333333333,MSC10,0.72,0.7005899831253414,Same Person
sem,0.36666666666666664,MSC10,0.72,0.7005899831253414,Same Person
mot,0.4333333333333333,MSC10,0.72,0.7005899831253414,Same Person
glass,0.9,MSC10,0.72,0.7005899831253414,Same Person
rest,0.5400270372593683,MSC10,0.5211594202898551,0.4555026033525908,Different Person
mem,0.6930083671192213,MSC10,0.5211594202898551,0.4555026033525908,Different Person
sem,0.3571995925419407,MSC10,0.5211594202898551,0.4555026033525908,Different Person
mot,0.04245472837022134,MSC10,0.5211594202898551,0.4555026033525908,Different Person
glass,0.6600943201780493,MSC10,0.5211594202898551,0.4555026033525908,Different Person
