train,same_subT,diff_subT,same_subR,diff_subR
MSC01,1.0,0.9570909090909091,1.0,0.6442857142857142
MSC02,1.0,0.9374545454545454,0.975,0.8885714285714286
MSC03,1.0,0.8664259927797834,0.9375,0.8214285714285714
MSC04,1.0,0.9578181818181818,1.0,0.8714285714285714
MSC05,1.0,0.8752727272727273,0.975,0.7985714285714286
MSC06,1.0,0.8744484556758925,0.9722222222222222,0.8777777777777778
MSC07,1.0,0.6940418679549114,0.9722222222222222,0.9650793650793651
MSC10,0.975,0.84,0.95,0.93
