,test_task,train_task,Mean,Std
0,mem,mixed,0.7550892857142858,0.15990193321768587
1,mem,motor,0.7076785714285715,0.1382453822530276
2,mixed,mem,0.7153571428571427,0.13702308081241155
3,mixed,motor,0.6537499999999997,0.11512147734221684
4,motor,mem,0.740892857142857,0.144964281314891
5,motor,mixed,0.7262499999999997,0.1562929940848277
