Network,Acc,Features,z_score
unassign,0.6656845238095238,14808,-0.2882919330629699
default,0.7760714285714285,10824,0.3953228389754018
visual,0.7391071428571429,8736,0.16640681123971646
fp,0.6905654761904761,4620,-0.13420674853234765
dan,0.6892559523809525,5264,-0.14231649508658994
van,0.6221130952380952,3151,-0.5581253184132469
salience,0.6692857142857143,484,-0.265990130038801
co,0.7122321428571429,4060,-2.7305543958279963e-05
sm,0.6788988095238095,2375,-0.20645721783378748
sm-lat,0.6203273809523809,316,-0.5691840637144877
auditory,0.5809523809523809,564,-0.8130293976068488
pmn,0.5583035714285715,45,-0.9532911505109197
pon,0.5511309523809524,21,-0.9977104441375703
