,,unassign,unassign,unassign,unassign,unassign,unassign,unassign,unassign,unassign,unassign,unassign,unassign,unassign,unassign,unassign,unassign,unassign,unassign,unassign,unassign,unassign,unassign,unassign,unassign,unassign,unassign,unassign,unassign,unassign,unassign,unassign,unassign,unassign,unassign,unassign,unassign,unassign,unassign,unassign,unassign,unassign,unassign,unassign,unassign,unassign,unassign,unassign,unassign,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,visual,visual,visual,visual,visual,visual,visual,visual,visual,visual,visual,visual,visual,visual,visual,visual,visual,visual,visual,visual,visual,visual,visual,visual,visual,visual,visual,visual,visual,visual,visual,visual,visual,visual,visual,visual,visual,visual,visual,fp,fp,fp,fp,fp,fp,fp,fp,fp,fp,fp,fp,fp,fp,fp,fp,fp,fp,fp,fp,fp,fp,fp,fp,dan,dan,dan,dan,dan,dan,dan,dan,dan,dan,dan,dan,dan,dan,dan,dan,dan,dan,dan,dan,dan,dan,dan,dan,dan,dan,dan,dan,dan,dan,dan,dan,van,van,van,van,van,van,van,van,van,van,van,van,van,van,van,van,van,van,van,van,van,van,van,salience,salience,salience,salience,co,co,co,co,co,co,co,co,co,co,co,co,co,co,co,co,co,co,co,co,co,co,co,co,co,co,co,co,co,co,co,co,co,co,co,co,co,co,co,co,sm,sm,sm,sm,sm,sm,sm,sm,sm,sm,sm,sm,sm,sm,sm,sm,sm,sm,sm,sm,sm,sm,sm,sm,sm,sm,sm,sm,sm,sm,sm,sm,sm,sm,sm,sm,sm,sm,sm-lat,sm-lat,sm-lat,sm-lat,sm-lat,sm-lat,sm-lat,sm-lat,auditory,auditory,auditory,auditory,auditory,auditory,auditory,auditory,auditory,auditory,auditory,auditory,auditory,auditory,auditory,auditory,auditory,auditory,auditory,auditory,auditory,auditory,auditory,auditory,pmn,pmn,pmn,pmn,pmn,pon,pon,pon,pon,pon,pon,pon
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332
unassign,0,0.0,-0.00025856297573892276,0.00010456573255559867,6.820303961865128e-05,3.022074268085261e-05,-0.0006002941056107452,-0.0008659992523546452,-0.00014146673312558019,0.0005991991352440314,0.0003987795482513027,-3.822911868640022e-05,-0.00017134544065869128,0.0002333179061332716,0.0006440808025645593,-0.00025518266776517124,-0.0004002404728278059,-0.001042028969920096,-1.3766303067795537e-05,-6.833462794242326e-06,4.346405451486219e-05,0.0002372694629258716,0.0002608631131115611,-0.0004199322544052973,-0.0003216274684493419,0.00026892914812053,-0.001021790202290859,-0.00040171324284159855,-7.513540459949367e-05,0.00038207241660436424,-5.9731757744203395e-06,0.0010465968321189852,-0.0004112790713415012,0.00010673304260197593,-0.00021851597960801552,0.0002840727562356263,1.0429662461571278e-05,-0.00010903896569907928,-0.00018187732513264424,4.0288085734302807e-05,-4.771557307727806e-05,0.00010961728454520428,-0.00034055287395172467,-0.00017325568162473285,-0.000626297679518538,-0.0007576847669901329,0.0005965283677041596,-0.0005140422559841192,0.0003256071074694267,-0.0001661465942303609,5.6918843516449655e-05,7.393278966718944e-05,-6.796044308552887e-05,-0.00041627221836516983,4.2949305026482925e-05,-0.00013219373525754304,0.0003156638964658834,0.00018913595677748696,-1.5380041258679062e-05,-3.869403393417718e-05,-0.00018196321066276343,0.00026584264543556884,7.419603026722933e-05,0.00045127583087083844,8.62464316403683e-05,-0.0001333769659998982,-0.00027292696006468655,-0.00029515865677942973,0.000268517147960286,0.00011550935944295109,0.00024208827708680866,-0.00012274923896471985,-1.4393871687279213e-05,2.378439520976768e-06,-1.8181860203189923e-05,0.00021001152885382533,8.776563151437951e-05,3.783428042233523e-05,0.00040908368304977297,-1.1584702012194044e-06,-3.49841935154841e-06,0.0003337123689552245,0.0004536425329410992,0.0002649133703899328,3.16414907434541e-05,0.000124344347552781,7.981661630393387e-05,-0.00022789638493526091,-0.0002770282669815976,0.00012083112960972544,0.0002648688485631935,0.0003116848800292644,-8.418139205554024e-05,0.0004308957583830154,-0.00033117673575357626,-0.00013894455075222746,-0.00022529076390688556,-7.139063988508283e-05,-0.00024356067467019236,0.00028548828615723406,-0.00010801106008408879,-0.00024232245335970392,0.00013163798922384557,0.00013836125602377066,1.4862122305130506e-06,0.0003589373243124603,0.0005278301222882288,0.0001520617416121719,4.3331436394392454e-05,0.00020314800322363992,-0.0003344466027947307,0.00011770655745380072,-9.947329024688711e-05,-0.00015548419907724788,-0.00036184270127890975,-0.0002933958775107282,2.7070008833728108e-05,-0.00035807898569052905,-0.00022160672170465896,-0.00044162892681865736,0.00016336074862173883,0.00027762548219862704,-0.0006048092652964975,0.00022100926472812715,8.473223985364735e-05,0.00010928244830616563,-8.796363467386317e-05,-0.00018676764036266622,-7.810004416077172e-05,-0.0003740624014072362,-0.0004885644473695429,-5.1942013644565185e-05,-5.195670248758005e-05,-0.0002603200751556941,-0.00042403616332043284,5.8293081713902706e-05,2.230949998945186e-05,-0.00010974829856421066,3.681594301221298e-05,-7.549743577207035e-05,-0.00035314404748496453,-0.00034100990066958815,0.00022579294856817705,0.00013276627841600475,0.0002934342458312401,-0.00039404112683335017,-0.0003092842737467276,-0.00032826092214810254,-0.0003092819426776649,0.00041053023072876464,-3.3056216712563113e-05,-1.4789282369655737e-05,-0.00047855925514271906,-0.00042654095794433203,-0.00030271870072120935,-0.0004786941992177309,-0.000421548855942159,-0.00031081204122875933,-0.0004716883107838399,-0.0005821046421012871,-4.205540341675453e-05,-0.00024347212012219144,0.00039532568613198795,0.00029195521581691804,-0.0002043950257693569,-0.00042935195443735724,-0.0008353895631933543,-0.0005929327230506684,-0.00038758968422377267,-0.0007544116016840602,0.00019375317358127892,0.0006414282893317362,-0.00024022143696395503,-0.00039602556663840573,-1.3014125525186804e-06,-2.6556801809689883e-05,-0.0003079141672258564,-0.000677827189519126,-4.1473298375140887e-05,-0.00010229501569074334,-8.505747178510997e-05,-0.00034405969198934584,-0.0007715474317476635,-0.0005857601255969774,-0.0004422159732337206,0.00011660467662693606,-0.00036909137413230727,-0.00039962021482535585,-0.0001504206946564395,0.000341378313770966,0.0002810223388365126,-0.0001339516503550266,-0.00044976518143913355,-0.00042897081206820346,0.00012702205398819092,-0.000279714859599074,0.00010793299016134095,-0.0002006422433925881,-0.0004033704645327412,-0.0005215195377690984,-0.0003339453048785336,-0.0001382785952765725,-0.0007354807936698026,-0.0004080466444705882,-9.351977330450513e-05,-0.00023118382789715533,-0.0003957880102049295,-0.00032011516845502174,-0.00024607176151499537,0.00016609398217985857,5.2078231573987e-05,-0.00012511014128261178,-2.1236591302895497e-05,-0.000432394911614345,-0.0001865475762144677,-0.00028709526709576317,-0.0005044143349149966,-0.00014628399971891476,-0.00020685854033955945,-0.0007266980749225131,-0.00029744119464071095,-0.000764848924548946,-0.0008425685478396296,-0.0003605798339020309,0.0002694248086671743,-0.00014839922655306094,-0.00027962374447344855,-0.00024635601732516223,-0.0006948133509163074,4.269072537865953e-05,2.4301394822231305e-05,0.00010343605050350977,-5.753907446843227e-05,-0.00011275355141462598,-1.607118711407401e-05,-4.157226209929883e-05,4.027725819967985e-05,-0.0003370548827643718,-0.00037561075536408613,-0.00019824482879928545,-0.00012537246547775964,-0.0005047950534191588,-8.462349149352247e-05,-0.0003580112388644763,-0.0003452916611026512,-0.00033541104256464184,-0.00017586206613577328,0.0001322330027928502,2.0487199767573752e-05,0.0003861825471179556,0.00020911829028783703,0.00014016175840736754,0.00020269155655147595,0.00010775493669631559,-0.00029003279988851953,-0.0003022991352190922,5.306015042107175e-05,-0.00034704909120180115,-0.00027083211141466676,6.71511861489566e-05,-0.0001807657814449369,5.9119300256371945e-05,-0.00017772054985084183,-0.00016132719408525154,-4.310873156734487e-05,-0.00039875177017598075,-0.000224714785130242,-0.00045073889467999806,-0.0004040628519933951,-8.736961515127724e-05,-0.00011303401042784746,-0.0001809918273416372,-7.99170507355376e-05,-0.0003090000755178775,-0.00022714757496226692,-0.00039836307017746756,-0.00019972699993349655,-0.00027267708378520716,-0.00020404101173016165,0.00020049278030621255,-0.00015884290710219367,-0.00030788291757167033,-5.4963930260050085e-05,-0.000231008257885424,-0.0002844792507014102,-0.0003190167746160542,-0.00045337623060323385,-0.00038028074668467897,-0.00036884414105765645,-8.076450537812605e-05,-2.320281372617478e-05,5.671589287123282e-05,4.670573112956589e-05,-1.7869433695732804e-05,-0.0001545330701267202,0.00015372740447983161,-0.00041454755987402054,-0.0003355143284645527,0.00012137455632878501,-0.0002904724060526363,-0.00019247647597028087,-0.00030806043624174615,-0.00028141045838042607,6.159466711652263e-05,-0.00043471276117145965,-0.00022256764351781237,-6.714086197731464e-05,-0.00011885889313431735,5.98898358502581e-05,-0.00046638623877309597,-0.00023407412873302033,-8.711320843558088e-05,-0.00030194975553219825,0.00019272411709187306,-3.601935627172191e-05,-0.0003463347392058796,-0.00017553912792398396,2.2066613152507244e-05,-0.00019930876143016651,-0.0003405907886371692,-0.00016365888736300318,0.00023427944654034132,9.576837359215581e-05,4.278269835855651e-05,0.0003478062979570129,-9.241982025528844e-06,-6.311362077598559e-05,-0.0001382760647964402,-1.0368933029107339e-05,-0.0004310173139123505,-7.594644767095287e-05,-0.0002725721843805797,-0.0005234880458873731,-0.0006646700529444346
unassign,1,-0.00025856297573892276,0.0,-0.0004002860855027293,-0.00017150238754281384,0.00023991605565921187,-0.0004437540563634246,0.00020814270790042865,8.936833955010584e-05,-5.493863715367745e-05,0.00019549488633292645,0.00015325449740805945,-0.00017520506094806,0.00015308196603177273,0.0001080639378750638,9.265098311740945e-05,0.0003568403416150023,0.00011252473755455845,0.00041307486450566485,-0.0003333728311816771,-2.4040024654636104e-05,9.313807844185443e-05,-0.00042774812413442023,-0.0001233725699109178,-0.00022972609761332473,0.00012914419563110423,2.9334315680174317e-05,0.00038382923912960547,-0.00021122230387367612,0.00011674044497259585,0.00027834901563078925,2.6910561601555612e-05,0.0003269449144463135,0.00048294541229734354,0.00010726775903512752,0.00010697071235255833,4.399719815625347e-05,-0.0002812396821576012,-9.13977334157647e-05,-0.00022865664601423276,0.00012802997253081263,6.291460686947725e-05,7.245933034011392e-05,3.988217428630609e-05,3.588426371035545e-06,0.00028142281914808007,-0.000526207378503936,0.0002890523946342112,4.377019837904083e-05,0.00010402256404688594,0.00021705657910140225,1.0852328253680866e-05,0.00020605787305649228,0.00011026333462786246,2.7857889276901812e-05,0.00015770409775097002,-0.00023648680051914864,-0.000127582685775114,0.00022305448009482542,0.00011329769695077743,0.0002792746099437448,0.0002431400021041656,4.775490725963155e-07,-0.00016647821789809411,-1.4401415030373006e-05,0.00022505666376892734,0.0001714930179138901,0.0001759984236481992,9.896074912763903e-05,0.00026167604034071684,7.768397550143613e-05,0.00012626882948513582,0.00021937975367425063,0.00044851283117055125,0.00048674598198888963,-1.6565044024733974e-05,0.00015667069854733136,-5.290654652868689e-05,-2.1779553139641053e-06,0.00045721499411181636,0.00039104233545302243,0.00040775599275575866,0.0002688648495421672,0.00017858525341256018,0.0001971089782114315,0.0005228277368711328,0.0001326753377065735,0.00039134758690674223,-5.7333957704477545e-05,-0.00028391186862919925,-0.00024969353632378437,-0.0003742959368380788,6.092898083050077e-05,-0.0003836067020412499,-0.00015424791387275833,-0.00015347474084490513,-4.7981053580666624e-05,3.703186298376415e-05,-0.00017614692917635358,-7.052628684312882e-05,8.267997036412969e-05,1.127861383965348e-05,-0.0001840881398740338,-0.0004269691854231043,-4.9478783916907695e-05,4.783373238713527e-06,-0.0004134613754067365,-0.00042600769837202845,-0.0002831137335939118,-0.00025265951900767816,-0.00011579126291624265,-0.00011943020230254482,0.00010375634411461383,-0.00033825986427899363,-0.00018601411728654015,-0.0002703792608344219,-0.00013186177294553572,0.00013595261042109676,-0.00014003944609709045,0.00037478545617182306,-2.457083422256646e-05,-0.0005570927051855802,-0.00024961463345142163,-0.00044211784823463055,-0.0002727780864049085,-4.510361843211756e-05,-0.00027104810170533293,-0.00016900057551062528,2.6087618236674307e-05,0.00011111082024622044,0.00023374188663318173,0.00010683076536539155,0.0001408842226849096,0.00027243631329795917,0.0004327995428688721,0.00026509099572773025,9.0187791557183e-05,7.373731454519454e-05,2.118109150104064e-05,0.00014355560150561744,7.527423765171077e-05,0.00010625805154826419,-0.0001619274152745125,0.00013692432880387995,0.00014762018314570772,0.00012190155064767675,0.00025670381980286524,0.0001286057060182448,0.0003484182244254007,0.00035848257359474546,0.00019900897366816495,0.00039898319579654044,0.00017909783215895413,0.00020107166885942318,0.00013454697336239026,8.744786990260974e-06,-1.3837803663367935e-05,9.51088478900626e-06,5.6442567485912834e-05,7.962269832864043e-05,-0.00011286159803210981,-7.300602332414462e-05,2.990106103594734e-05,0.0001319841162058449,-7.878706135627363e-05,-0.00018168795556542655,0.00017881615216427783,0.0002152281275971256,0.00032125280747972654,0.0001241732039712924,0.00017423921091728578,-1.068395677266524e-05,0.00011305140666101779,0.00010589446509692354,0.00013564955322097034,0.00012692572729232726,2.051688659158099e-05,0.00021101346444837857,-0.0002326910664096827,-0.0001979094665195947,-8.800306502779877e-05,3.3637223098077527e-06,0.00018319908532172545,0.00021847557470833904,0.00014282075670167484,-5.865706886646374e-05,9.659323363162395e-05,0.00033483845969354826,0.0002480210727029334,5.344638998893567e-07,2.0811205166708673e-05,9.495100072158732e-05,0.0002942143999254486,0.00030727260930434936,4.0004605150280816e-05,-3.567357714847618e-07,0.0002360043892513593,-8.17889285034077e-05,-3.405350784167183e-05,0.00022403143036948812,0.00020485262486897888,0.0005169958468246007,0.0006209038695882318,7.079335547927466e-05,6.082202460106187e-05,-0.00012698066971441804,0.0003364311423257788,0.0003710363542057599,0.00017032291016202077,0.0003264967663737817,7.844918618836488e-05,-5.202408758200808e-06,0.00016512965786604124,4.87954010135532e-05,0.00019885981857759982,4.6038644985427184e-05,-1.0153522553513695e-05,-6.63486216717169e-05,-8.665215986794348e-05,-0.0001050658181956367,-5.930732192021773e-05,7.803682251195367e-05,5.123663604783273e-05,6.0538000710187635e-05,-0.00011423552342313886,-7.495954512486941e-05,-4.837292654166917e-05,3.835620548298559e-05,0.0002487263182217972,0.0001340574976923536,-0.00015631583272059107,9.824750130481363e-05,-8.058404080032297e-05,-9.305934633264432e-05,-9.821872586620934e-05,4.479626239203797e-05,9.838306322641696e-05,3.536653515144282e-05,0.00019894656984721296,-0.00012630515438845857,-0.00017042158230014,0.00011004818948704967,-3.2782477563992555e-05,-3.9054296298853274e-05,-0.00010062770662568975,5.0462991054226754e-05,0.00016686301863588196,1.94814996449748e-05,-0.0001957836112828936,-5.3203515684398414e-05,0.00022097765998489293,-8.814497722741135e-06,-0.0002773075523706916,6.686835024723182e-05,0.00010488708069764445,-5.029668862535581e-05,-6.599019574012357e-05,9.100237363476867e-05,0.00017341893240242802,8.218806840187559e-05,0.00021598554422612396,0.00021673777636033647,0.0002530410617235149,0.000246949084518329,9.875356116337e-05,-5.926281900976233e-05,0.0001637427706448065,0.0003134677821364025,0.00015163393332477023,0.00013237280919375843,6.796979701369238e-05,-0.00012070684110383977,8.602552102121004e-06,3.65913663257395e-05,0.00016579661571527218,0.00025531901347525065,0.00037009712743572707,0.0002011555817602665,0.00014349827406088723,0.00014823742737033938,0.00013606624264279454,0.00014203999199269762,-7.945117235683999e-05,4.2996553235660354e-05,8.479829840974773e-05,0.00034058856237197723,0.0001640340723586233,0.00021961856911015233,0.0001450721933367682,-3.964654190584271e-05,-3.482134869257478e-05,-0.00012989660549542773,-8.501512988154596e-05,-3.282582951117364e-05,5.088859933331526e-05,-0.0001841043922983454,1.118401180857055e-05,7.770757013526065e-05,-0.00012471821166503905,0.00011377311598881021,9.091854852606096e-05,9.777854547406109e-05,6.393939805496814e-05,-0.00010041777077708689,0.00019839065028346095,5.6802832746851086e-05,-0.0002478071159968124,-7.648740264984576e-05,0.00013761457069826457,-1.7594501896980901e-06,-9.146481321830574e-05,-0.00013022416623433708,-0.00019560343351659163,-1.1838174230232236e-05,-0.00021505972993525233,-0.00016707516693867698,1.9802306941799588e-05,3.485009189945355e-05,-0.00010261930693831546,0.00013779599710210912,-0.00013382571604240247,0.00018626816181915206,-4.9341472736376636e-05,-7.335185096024293e-05,0.00021617467640959218,-0.0003406749696007416,-0.00024091051303132526,-0.0001540244804834953,7.766608805978609e-05,-0.00010126057018100757,-2.753005222350094e-05,-0.00020175581505446887,0.00027898891221514964,0.00010328020866221755
unassign,2,0.00010456573255559867,-0.0004002860855027293,0.0,-0.0003498803615455112,0.00016254769499483477,-9.20555956113545e-05,-5.8702513230219094e-05,0.00010916801363726927,4.2214657355479294e-05,5.87535900209098e-05,-0.00013696417697937896,-0.0003222191041331656,0.00013837243857639706,0.0001528394602944949,0.00014801819066810455,-0.00033127379829987324,-0.00015578563674277014,0.00015623403175543012,-0.00025693484162300653,0.00020311493085410564,0.00027893587931535134,-0.00011589300873965777,0.0001929251362074928,-6.432545005568784e-05,0.0005611507270782522,-0.00024732042192101883,-3.359538585722746e-05,0.0001275249406333852,-7.18126415274041e-05,-2.757029170405444e-05,0.00018375312306827146,0.00010768349909196344,0.00011352145156585093,-6.278727900600537e-05,0.00014492479008547323,0.0003037600481618443,-0.0003895164112857229,-5.1254007512759506e-05,-0.00013683415997321107,4.582416220898532e-05,-5.56225632837515e-05,-8.868923339636988e-06,9.101308083638491e-05,8.172347941894746e-07,-0.00036847335297346845,-0.00042712553076994377,-8.158417905372974e-05,0.0003519866025523419,0.0001382750064679339,0.0001649328268212455,9.2086775377319e-06,-6.894181780204206e-05,-2.2809954669358474e-05,0.00029968430483076836,0.00011234440010356826,0.0001200721796560587,0.00018135598760735173,-6.673793701599467e-05,0.0002838284274911611,0.00030781978435287847,6.804257436268202e-05,0.0001248517967227228,0.00037197026704093917,0.0001379233973726485,8.606315200138864e-06,0.0002297658774215845,8.301770401388573e-05,5.971072159208835e-05,0.00012236276523734622,3.928009356063918e-05,1.133026635757412e-06,-2.0696935298441174e-05,4.579816776573035e-05,0.00010450060784121022,0.00011077171730562187,0.00028646033066689647,2.2985685806242996e-05,6.120973325187766e-05,0.00045848045852417055,0.0001171873718059176,0.00013807695164446183,0.0002862341088435216,0.00018644852558116713,7.198686043175942e-05,0.00044107033829448526,-5.130163825526778e-05,8.923346061932368e-05,0.0004064521509378398,0.00012491969371113595,0.0001969251428382323,-0.00013923812728833907,0.00015709846455246222,4.924178853568358e-05,0.0003752442802715952,0.0001052943868283766,-0.0001636870755204998,-0.00017378990321837557,-0.0003487446930655861,-5.325296455864904e-05,-0.0003140113416696324,0.00011017324533062084,0.0003176815187076585,4.644725767604518e-05,-0.00012043096682854575,-4.89978815213896e-05,7.565722734032676e-05,0.00023264968168978456,8.28475783855617e-05,-0.00015678152248200844,0.000432488986730746,0.0003109168824672822,-0.0002325352243526516,0.00016097235212768785,1.5898457354144767e-06,3.742468247970155e-05,1.322132708230845e-05,-0.0002595839011170123,-0.00021433002492158272,-0.00022961759422888145,0.00025496898840495023,0.00022573690255949183,-0.00017052143392166133,-6.978466512228866e-05,-9.475965894163175e-05,0.00020873683637332113,-0.00015584837716535812,-0.00020721175089699796,-7.307555991269577e-05,-0.0005323963943454085,2.7331483001168026e-05,-0.00027831327163611717,-5.262696181331321e-05,0.00022461101365811486,9.229901585298074e-05,0.00016586438020969632,-0.00013817391600027908,-0.0004308335020582085,-0.00024861524770895284,0.000109272074180296,-0.00012197529041209586,-5.703012352329607e-05,-0.0002518195764003315,1.3135242347632566e-05,-9.474028358104866e-05,-0.00019542974883979066,-8.867479945852392e-05,-0.00012983081966876095,4.0565378266575684e-05,-4.521017930631649e-05,0.00023364754938047836,0.00037461826428936986,-0.0002442056132218432,-1.8840592585867108e-05,-0.00023693227137933567,-0.00046181864694263674,-0.0002623457833060847,-0.00037297771460507935,-0.00020257166813983363,-0.00024017801360495046,-0.0001536847803223155,-0.00016665959821522173,-0.0001982245567053609,7.4431436351083626e-06,2.9460145597249754e-05,-0.00027514759695729973,-0.0001234347222615138,-5.715386807867628e-05,-0.00016340061921049575,-3.872571587055246e-05,-0.0003119172531590536,-0.00020615632716707269,-0.0002181640659012008,-0.0004981725005436383,-0.00013875611626845344,-0.00033754314920968323,-0.0002524624534320161,-0.00042486608106227645,-0.00020098667551525127,-0.00013632213658176575,-0.00041535776304538874,-0.00042098879091736574,-2.951395225380507e-05,-0.0003361162826868157,-7.038760411038554e-05,0.0001899812976653629,7.503387020851846e-05,-0.0001238083871216783,0.00012750790725499705,0.00021562510299144358,0.0001866393792623026,8.226860792766152e-05,7.457283889780581e-05,7.213437611872011e-05,-0.0001385390750380744,-0.00048548631620115915,-2.6723540483422705e-05,-0.0001643952877344223,-0.00018117293170702545,-0.00020791363694535944,-0.00010179895877046489,7.032627063698402e-05,0.00018159437156162463,-5.315123994371778e-05,-1.5379836042763563e-05,-0.0001541415728615228,-0.0002601263599675672,-0.00018189966923083705,-0.00013149670092551307,-9.083992672633662e-05,-6.863369776931434e-05,-0.00029846856469921515,-0.00022008526013147557,-0.0002833958564349987,-0.00014799996788868853,9.360246089001374e-05,-3.606899120426493e-05,-0.0003201688434038584,-0.00022374818906921985,-0.0003760595519997447,-0.00038981374821570915,-0.0002050506420883556,-0.00035128679339182465,-0.0003770788727761817,-0.00024332023989116896,-0.0003162548244082806,-0.00023586104752364143,-0.00025002303336598797,-0.00026216479120079364,-0.00015577511931612128,-0.0003175176813223196,-0.00022769233931905814,-0.0006139538412437586,-0.00012147142708105225,-0.0002726111467625791,-0.00022487163508115454,-0.00041876239106713103,-0.00019964364206114617,-0.00039954400320107346,-0.00045405148067351,-0.0004823990883759569,-0.0003595179384213246,0.0002080955565672311,-0.00019076576809282688,-0.00034699091058548504,-0.0002484448719047729,-0.0002626315375280526,-0.0004488058175471176,-0.0003344207899983106,-0.00034956440732476925,-0.0003376301404353545,-0.0003585257288591132,-0.0002001029646203143,-0.0002928384259975679,-0.00010839594273148083,4.908486943638635e-05,-0.0002993962315588591,0.00021439949766215695,0.00034402719622792297,0.00010110139150223937,3.4439272414753576e-05,-0.00013093636995879372,-0.00033042544531508767,-0.0002525652932182505,-0.0005367800797615469,-0.0002165550820017152,-0.00022895768492227535,-0.0006044782736701917,-4.001772452171517e-05,-0.00022152959559908179,-0.0003440032557269352,-0.00019412224860689242,-0.00020405184265250972,0.0002648329745956147,7.692162565131838e-05,-0.00015621904082096253,-0.0001574696416789665,-0.00019662184566555035,-0.0003449627923826001,-0.00023092477185204655,-0.00021337684471149385,-0.0002565017894986562,-0.00013238349793236837,-0.00018524692117872992,-0.00037471534494187283,-0.0003184617923482062,-0.00014532306884862956,-6.30804050061268e-05,-0.00025249783671038226,-0.00013038137894430288,0.00013839932735131155,-0.00011542651181260616,6.807017064060006e-05,-5.62350651511251e-05,3.9993970611073205e-05,-5.7009117554901656e-06,0.00012653879546918901,-0.00037094872585308197,-0.00014518238582460373,-0.00047764161426003444,-5.643889227972885e-05,-0.000329242809927068,-0.0004757556350293276,-0.00011009862321782468,-0.00010928705231653127,-7.001328618979001e-05,-0.00019843735374986397,-0.0001561480558433833,-0.00020215373839957242,-3.73830500494319e-05,-0.0002929765611596227,-0.00012724624875437397,-0.0004385226097725959,0.0001950549365103591,-0.00016317666990373989,-0.00016655613829532349,-1.579809104186797e-05,-0.00019932275963903414,-0.00026327417413655487,-0.0001124252149605937,-0.00044290697485297473,0.0002966920317859783,-7.148808221133804e-05,-1.6817887454695358e-05,0.0002757999218725936,0.0002449410658812825,-5.196612199683076e-05,0.0003616299383600172,4.251814037938004e-06,0.00040087512188495967,0.00023437014319540537,0.00010703830964321611,0.00012140383639209137,0.00027150247548043456
