train_task,test_task,sub,acc,features,Null_Network
semantic,glass,MSC07,0.905,14808,unassign
semantic,motor,MSC07,0.5499999999999999,14808,unassign
semantic,mem,MSC07,0.7150000000000001,14808,unassign
glass,semantic,MSC07,0.9949999999999999,14808,unassign
glass,motor,MSC07,0.6250000000000001,14808,unassign
glass,mem,MSC07,0.8150000000000001,14808,unassign
motor,semantic,MSC07,0.5549999999999999,14808,unassign
motor,glass,MSC07,0.515,14808,unassign
motor,mem,MSC07,0.52,14808,unassign
mem,semantic,MSC07,0.975,14808,unassign
mem,glass,MSC07,0.9000000000000001,14808,unassign
mem,motor,MSC07,0.82,14808,unassign
semantic,glass,MSC10,0.875,14808,unassign
semantic,motor,MSC10,0.675,14808,unassign
semantic,mem,MSC10,0.9100000000000001,14808,unassign
glass,semantic,MSC10,0.945,14808,unassign
glass,motor,MSC10,0.8950000000000001,14808,unassign
glass,mem,MSC10,0.8850000000000001,14808,unassign
motor,semantic,MSC10,0.585,14808,unassign
motor,glass,MSC10,0.68,14808,unassign
motor,mem,MSC10,0.7300000000000001,14808,unassign
mem,semantic,MSC10,0.9000000000000001,14808,unassign
mem,glass,MSC10,0.835,14808,unassign
mem,motor,MSC10,0.9349999999999999,14808,unassign
semantic,glass,MSC01,0.9000000000000001,14808,unassign
semantic,motor,MSC01,0.89,14808,unassign
semantic,mem,MSC01,0.68,14808,unassign
glass,semantic,MSC01,0.95,14808,unassign
glass,motor,MSC01,0.9600000000000002,14808,unassign
glass,mem,MSC01,0.82,14808,unassign
motor,semantic,MSC01,0.9099999999999998,14808,unassign
motor,glass,MSC01,0.9200000000000002,14808,unassign
motor,mem,MSC01,0.655,14808,unassign
mem,semantic,MSC01,0.9949999999999999,14808,unassign
mem,glass,MSC01,0.9650000000000001,14808,unassign
mem,motor,MSC01,1.0,14808,unassign
semantic,glass,MSC02,0.6900000000000001,14808,unassign
semantic,motor,MSC02,0.5,14808,unassign
semantic,mem,MSC02,0.515,14808,unassign
glass,semantic,MSC02,0.885,14808,unassign
glass,motor,MSC02,0.72,14808,unassign
