train_task,test_task,sub,acc,features
semantic,motor,MSC04,0.5149999999999999,6084
semantic,mem,MSC04,0.85,6084
glass,semantic,MSC04,0.9650000000000001,6084
glass,motor,MSC04,0.8850000000000001,6084
glass,mem,MSC04,0.865,6084
motor,semantic,MSC04,0.625,6084
motor,glass,MSC04,0.9649999999999999,6084
motor,mem,MSC04,0.7899999999999999,6084
mem,semantic,MSC04,0.915,6084
mem,glass,MSC04,0.9499999999999998,6084
mem,motor,MSC04,0.925,6084
semantic,glass,MSC05,0.8950000000000001,6084
semantic,motor,MSC05,0.82,6084
semantic,mem,MSC05,0.95,6084
glass,semantic,MSC05,0.9,6084
glass,motor,MSC05,0.8850000000000001,6084
glass,mem,MSC05,1.0,6084
motor,semantic,MSC05,0.62,6084
motor,glass,MSC05,0.78,6084
motor,mem,MSC05,0.8850000000000001,6084
mem,semantic,MSC05,0.9549999999999998,6084
mem,glass,MSC05,0.875,6084
mem,motor,MSC05,1.0,6084
semantic,glass,MSC06,0.7555555555555554,6084
semantic,motor,MSC06,0.8399999999999999,6084
semantic,mem,MSC06,0.865,6084
glass,semantic,MSC06,0.8666666666666667,6084
glass,motor,MSC06,0.8999999999999999,6084
glass,mem,MSC06,0.9055555555555556,6084
motor,semantic,MSC06,0.7949999999999999,6084
motor,glass,MSC06,0.611111111111111,6084
motor,mem,MSC06,0.8899999999999999,6084
mem,semantic,MSC06,0.9349999999999999,6084
mem,glass,MSC06,0.8111111111111111,6084
mem,motor,MSC06,0.9450000000000001,6084
semantic,glass,MSC07,0.9349999999999999,6084
semantic,motor,MSC07,0.5499999999999999,6084
semantic,mem,MSC07,0.635,6084
glass,semantic,MSC07,0.9850000000000001,6084
glass,motor,MSC07,0.6050000000000001,6084
glass,mem,MSC07,0.78,6084
motor,semantic,MSC07,0.5499999999999999,6084
motor,glass,MSC07,0.6299999999999999,6084
motor,mem,MSC07,0.5,6084
mem,semantic,MSC07,0.8699999999999999,6084
mem,glass,MSC07,0.945,6084
mem,motor,MSC07,0.93,6084
semantic,glass,MSC10,0.8950000000000001,6084
semantic,motor,MSC10,0.7000000000000001,6084
semantic,mem,MSC10,0.9,6084
glass,semantic,MSC10,0.8299999999999998,6084
glass,motor,MSC10,0.85,6084
glass,mem,MSC10,0.9349999999999999,6084
motor,semantic,MSC10,0.65,6084
motor,glass,MSC10,0.745,6084
motor,mem,MSC10,0.8099999999999999,6084
mem,semantic,MSC10,0.8699999999999999,6084
mem,glass,MSC10,0.9000000000000001,6084
mem,motor,MSC10,0.9549999999999998,6084
semantic,glass,MSC01,0.8800000000000001,33245
semantic,motor,MSC01,0.8099999999999999,33245
semantic,mem,MSC01,0.685,33245
glass,semantic,MSC01,0.95,33245
glass,motor,MSC01,0.945,33245
glass,mem,MSC01,0.8299999999999998,33245
motor,semantic,MSC01,0.905,33245
motor,glass,MSC01,0.795,33245
motor,mem,MSC01,0.63,33245
mem,semantic,MSC01,0.9550000000000001,33245
mem,glass,MSC01,0.925,33245
mem,motor,MSC01,1.0,33245
semantic,glass,MSC02,0.6950000000000001,33245
