train_task,test_task,sub,acc
semantic,glass,MSC01,0.8499999999999999
semantic,motor,MSC01,0.7999999999999999
semantic,mem,MSC01,0.665
glass,semantic,MSC01,0.95
glass,motor,MSC01,0.9050000000000002
glass,mem,MSC01,0.8399999999999999
motor,semantic,MSC01,0.9349999999999999
motor,glass,MSC01,0.8800000000000001
motor,mem,MSC01,0.6700000000000002
mem,semantic,MSC01,1.0
mem,glass,MSC01,0.99
mem,motor,MSC01,1.0
semantic,glass,MSC02,0.68
semantic,motor,MSC02,0.5
semantic,mem,MSC02,0.565
glass,semantic,MSC02,0.8699999999999999
glass,motor,MSC02,0.595
glass,mem,MSC02,0.6399999999999999
motor,semantic,MSC02,0.5449999999999999
motor,glass,MSC02,0.5349999999999999
motor,mem,MSC02,0.5
mem,semantic,MSC02,0.8700000000000001
mem,glass,MSC02,0.86
mem,motor,MSC02,0.6950000000000001
semantic,glass,MSC03,0.7899999999999999
semantic,motor,MSC03,0.7849999999999999
semantic,mem,MSC03,0.675
glass,semantic,MSC03,0.82
glass,motor,MSC03,0.97
glass,mem,MSC03,0.6550000000000001
motor,semantic,MSC03,0.53
motor,glass,MSC03,0.7949999999999999
motor,mem,MSC03,0.6950000000000001
mem,semantic,MSC03,0.74
mem,glass,MSC03,0.665
mem,motor,MSC03,0.8549999999999999
semantic,glass,MSC04,0.9
semantic,motor,MSC04,0.505
semantic,mem,MSC04,0.8399999999999999
glass,semantic,MSC04,0.9850000000000001
glass,motor,MSC04,0.9000000000000001
glass,mem,MSC04,0.925
motor,semantic,MSC04,0.8949999999999999
motor,glass,MSC04,0.9399999999999998
motor,mem,MSC04,0.8400000000000001
mem,semantic,MSC04,0.945
mem,glass,MSC04,0.96
mem,motor,MSC04,0.925
semantic,glass,MSC05,0.865
semantic,motor,MSC05,0.82
semantic,mem,MSC05,0.925
glass,semantic,MSC05,0.9949999999999999
glass,motor,MSC05,0.845
glass,mem,MSC05,0.96
motor,semantic,MSC05,0.655
motor,glass,MSC05,0.725
motor,mem,MSC05,0.9650000000000001
mem,semantic,MSC05,0.96
mem,glass,MSC05,0.89
mem,motor,MSC05,0.96
semantic,glass,MSC06,0.7611111111111111
semantic,motor,MSC06,0.885
semantic,mem,MSC06,0.9450000000000001
glass,semantic,MSC06,0.9166666666666666
glass,motor,MSC06,0.8444444444444443
glass,mem,MSC06,0.9000000000000001
motor,semantic,MSC06,0.8049999999999999
motor,glass,MSC06,0.5944444444444444
motor,mem,MSC06,0.79
mem,semantic,MSC06,0.9650000000000001
mem,glass,MSC06,0.8444444444444444
mem,motor,MSC06,0.975
semantic,glass,MSC07,0.9400000000000001
semantic,motor,MSC07,0.5499999999999999
semantic,mem,MSC07,0.59
glass,semantic,MSC07,1.0
glass,motor,MSC07,0.6250000000000002
glass,mem,MSC07,0.8450000000000001
motor,semantic,MSC07,0.5549999999999999
motor,glass,MSC07,0.5599999999999999
motor,mem,MSC07,0.5499999999999999
mem,semantic,MSC07,0.9800000000000001
mem,glass,MSC07,0.9949999999999999
mem,motor,MSC07,0.82
semantic,glass,MSC10,0.9200000000000002
semantic,motor,MSC10,0.665
semantic,mem,MSC10,0.905
glass,semantic,MSC10,0.945
glass,motor,MSC10,0.945
glass,mem,MSC10,0.9100000000000001
motor,semantic,MSC10,0.6599999999999999
motor,glass,MSC10,0.65
motor,mem,MSC10,0.82
mem,semantic,MSC10,0.9000000000000001
mem,glass,MSC10,0.9150000000000003
mem,motor,MSC10,0.9549999999999998
