train_task,test_task,sub,acc,features
semantic,mem,MSC06,0.8900000000000002,92
glass,semantic,MSC06,0.8444444444444444,92
glass,motor,MSC06,0.6888888888888889,92
glass,mem,MSC06,0.9777777777777779,92
motor,semantic,MSC06,0.7150000000000001,92
motor,glass,MSC06,0.711111111111111,92
motor,mem,MSC06,0.915,92
mem,semantic,MSC06,0.85,92
mem,glass,MSC06,0.8388888888888889,92
mem,motor,MSC06,0.835,92
semantic,glass,MSC07,0.905,92
semantic,motor,MSC07,0.625,92
semantic,mem,MSC07,0.72,92
glass,semantic,MSC07,0.9000000000000001,92
glass,motor,MSC07,0.5449999999999999,92
glass,mem,MSC07,0.5999999999999999,92
motor,semantic,MSC07,0.58,92
motor,glass,MSC07,0.505,92
motor,mem,MSC07,0.43500000000000005,92
mem,semantic,MSC07,0.7799999999999999,92
mem,glass,MSC07,0.8699999999999998,92
mem,motor,MSC07,0.635,92
semantic,glass,MSC10,0.7750000000000001,92
semantic,motor,MSC10,0.585,92
semantic,mem,MSC10,0.74,92
glass,semantic,MSC10,0.8249999999999998,92
glass,motor,MSC10,0.8850000000000001,92
glass,mem,MSC10,0.82,92
motor,semantic,MSC10,0.5999999999999999,92
motor,glass,MSC10,0.75,92
motor,mem,MSC10,0.7350000000000001,92
mem,semantic,MSC10,0.7649999999999999,92
mem,glass,MSC10,0.7849999999999999,92
mem,motor,MSC10,0.9099999999999999,92
semantic,glass,MSC01,0.7999999999999999,99
semantic,motor,MSC01,0.8249999999999998,99
semantic,mem,MSC01,0.6300000000000001,99
glass,semantic,MSC01,0.8599999999999998,99
glass,motor,MSC01,0.9199999999999999,99
glass,mem,MSC01,0.7150000000000001,99
motor,semantic,MSC01,0.8949999999999999,99
motor,glass,MSC01,0.9100000000000001,99
motor,mem,MSC01,0.6650000000000001,99
mem,semantic,MSC01,0.905,99
mem,glass,MSC01,0.915,99
mem,motor,MSC01,0.945,99
semantic,glass,MSC02,0.665,99
semantic,motor,MSC02,0.5399999999999999,99
semantic,mem,MSC02,0.57,99
glass,semantic,MSC02,0.9,99
glass,motor,MSC02,0.7300000000000001,99
glass,mem,MSC02,0.6900000000000001,99
motor,semantic,MSC02,0.59,99
motor,glass,MSC02,0.615,99
motor,mem,MSC02,0.525,99
mem,semantic,MSC02,0.835,99
mem,glass,MSC02,0.7649999999999999,99
mem,motor,MSC02,0.7150000000000001,99
semantic,glass,MSC03,0.7200000000000001,99
semantic,motor,MSC03,0.825,99
semantic,mem,MSC03,0.775,99
glass,semantic,MSC03,0.8149999999999998,99
glass,motor,MSC03,0.715,99
glass,mem,MSC03,0.725,99
motor,semantic,MSC03,0.7849999999999999,99
motor,glass,MSC03,0.625,99
motor,mem,MSC03,0.9,99
mem,semantic,MSC03,0.9299999999999999,99
mem,glass,MSC03,0.835,99
mem,motor,MSC03,0.9200000000000002,99
semantic,glass,MSC04,0.96,99
semantic,motor,MSC04,0.8949999999999999,99
semantic,mem,MSC04,0.8700000000000001,99
glass,semantic,MSC04,0.9649999999999999,99
glass,motor,MSC04,0.865,99
glass,mem,MSC04,0.8550000000000001,99
motor,semantic,MSC04,0.89,99
motor,glass,MSC04,0.8700000000000001,99
motor,mem,MSC04,0.8800000000000001,99
mem,semantic,MSC04,0.8549999999999999,99
mem,glass,MSC04,0.875,99
mem,motor,MSC04,0.7899999999999999,99
semantic,glass,MSC05,0.8950000000000001,99
semantic,motor,MSC05,0.7000000000000001,99
semantic,mem,MSC05,0.8549999999999999,99
glass,semantic,MSC05,0.9100000000000001,99
glass,motor,MSC05,0.875,99
glass,mem,MSC05,0.8949999999999999,99
motor,semantic,MSC05,0.7799999999999999,99
motor,glass,MSC05,0.7799999999999999,99
motor,mem,MSC05,0.8349999999999997,99
mem,semantic,MSC05,0.9899999999999999,99
mem,glass,MSC05,0.8149999999999998,99
mem,motor,MSC05,0.915,99
semantic,glass,MSC06,0.8944444444444446,99
semantic,motor,MSC06,0.8649999999999999,99
semantic,mem,MSC06,0.7899999999999999,99
glass,semantic,MSC06,0.8944444444444445,99
glass,motor,MSC06,0.8611111111111112,99
glass,mem,MSC06,0.8555555555555554,99
motor,semantic,MSC06,0.775,99
motor,glass,MSC06,0.6944444444444445,99
motor,mem,MSC06,0.7899999999999999,99
mem,semantic,MSC06,0.7949999999999999,99
mem,glass,MSC06,0.8722222222222221,99
mem,motor,MSC06,0.97,99
semantic,glass,MSC07,0.885,99
semantic,motor,MSC07,0.62,99
semantic,mem,MSC07,0.6950000000000001,99
glass,semantic,MSC07,0.9649999999999999,99
glass,motor,MSC07,0.7899999999999999,99
glass,mem,MSC07,0.8649999999999999,99
motor,semantic,MSC07,0.635,99
motor,glass,MSC07,0.5999999999999999,99
motor,mem,MSC07,0.6000000000000001,99
mem,semantic,MSC07,0.8800000000000002,99
mem,glass,MSC07,0.825,99
mem,motor,MSC07,0.9199999999999999,99
semantic,glass,MSC10,0.945,99
semantic,motor,MSC10,0.7149999999999999,99
semantic,mem,MSC10,0.925,99
glass,semantic,MSC10,0.835,99
glass,motor,MSC10,0.8399999999999999,99
glass,mem,MSC10,0.95,99
motor,semantic,MSC10,0.8299999999999998,99
motor,glass,MSC10,0.7899999999999999,99
motor,mem,MSC10,0.9399999999999998,99
mem,semantic,MSC10,0.915,99
mem,glass,MSC10,0.89,99
mem,motor,MSC10,0.8700000000000001,99
semantic,glass,MSC01,0.755,23
semantic,motor,MSC01,0.595,23
semantic,mem,MSC01,0.7799999999999999,23
glass,semantic,MSC01,0.8149999999999998,23
glass,motor,MSC01,0.7699999999999999,23
glass,mem,MSC01,0.7150000000000001,23
motor,semantic,MSC01,0.8399999999999999,23
motor,glass,MSC01,0.8099999999999999,23
motor,mem,MSC01,0.745,23
mem,semantic,MSC01,0.95,23
mem,glass,MSC01,0.905,23
mem,motor,MSC01,0.69,23
semantic,glass,MSC02,0.665,23
semantic,motor,MSC02,0.6250000000000001,23
semantic,mem,MSC02,0.72,23
glass,semantic,MSC02,0.595,23
glass,motor,MSC02,0.615,23
glass,mem,MSC02,0.6649999999999998,23
motor,semantic,MSC02,0.7000000000000001,23
motor,glass,MSC02,0.51,23
motor,mem,MSC02,0.5199999999999999,23
mem,semantic,MSC02,0.6099999999999999,23
mem,glass,MSC02,0.655,23
mem,motor,MSC02,0.525,23
semantic,glass,MSC03,0.65,23
semantic,motor,MSC03,0.715,23
semantic,mem,MSC03,0.61,23
glass,semantic,MSC03,0.6700000000000002,23
glass,motor,MSC03,0.6950000000000001,23
glass,mem,MSC03,0.55,23
motor,semantic,MSC03,0.61,23
motor,glass,MSC03,0.755,23
motor,mem,MSC03,0.52,23
mem,semantic,MSC03,0.6849999999999998,23
mem,glass,MSC03,0.6050000000000002,23
mem,motor,MSC03,0.7000000000000001,23
semantic,glass,MSC04,0.7250000000000001,23
semantic,motor,MSC04,0.61,23
semantic,mem,MSC04,0.6650000000000001,23
glass,semantic,MSC04,0.8349999999999997,23
glass,motor,MSC04,0.6100000000000001,23
glass,mem,MSC04,0.7250000000000001,23
motor,semantic,MSC04,0.82,23
motor,glass,MSC04,0.745,23
motor,mem,MSC04,0.7499999999999999,23
mem,semantic,MSC04,0.78,23
mem,glass,MSC04,0.7849999999999999,23
mem,motor,MSC04,0.6950000000000001,23
semantic,glass,MSC05,0.6700000000000002,23
semantic,motor,MSC05,0.635,23
semantic,mem,MSC05,0.645,23
glass,semantic,MSC05,0.6950000000000001,23
glass,motor,MSC05,0.61,23
glass,mem,MSC05,0.655,23
motor,semantic,MSC05,0.5599999999999999,23
motor,glass,MSC05,0.52,23
motor,mem,MSC05,0.6450000000000001,23
mem,semantic,MSC05,0.7999999999999999,23
mem,glass,MSC05,0.5900000000000001,23
mem,motor,MSC05,0.93,23
semantic,glass,MSC06,0.7166666666666667,23
semantic,motor,MSC06,0.655,23
semantic,mem,MSC06,0.7899999999999999,23
glass,semantic,MSC06,0.75,23
glass,motor,MSC06,0.8777777777777778,23
glass,mem,MSC06,0.8944444444444445,23
motor,semantic,MSC06,0.725,23
motor,glass,MSC06,0.5666666666666667,23
motor,mem,MSC06,0.8400000000000001,23
mem,semantic,MSC06,0.7699999999999999,23
mem,glass,MSC06,0.8111111111111111,23
mem,motor,MSC06,0.9,23
semantic,glass,MSC07,0.76,23
semantic,motor,MSC07,0.8649999999999999,23
semantic,mem,MSC07,0.7699999999999999,23
glass,semantic,MSC07,0.74,23
glass,motor,MSC07,0.835,23
glass,mem,MSC07,0.8049999999999999,23
motor,semantic,MSC07,0.595,23
motor,glass,MSC07,0.7899999999999999,23
motor,mem,MSC07,0.765,23
mem,semantic,MSC07,0.5999999999999999,23
mem,glass,MSC07,0.78,23
mem,motor,MSC07,0.7649999999999999,23
semantic,glass,MSC10,0.8699999999999999,23
semantic,motor,MSC10,0.665,23
semantic,mem,MSC10,0.9400000000000001,23
glass,semantic,MSC10,0.7350000000000001,23
glass,motor,MSC10,0.7200000000000001,23
glass,mem,MSC10,0.7250000000000001,23
motor,semantic,MSC10,0.75,23
motor,glass,MSC10,0.6950000000000001,23
motor,mem,MSC10,0.8149999999999998,23
mem,semantic,MSC10,0.74,23
mem,glass,MSC10,0.96,23
mem,motor,MSC10,0.8249999999999998,23
semantic,glass,MSC01,0.7899999999999998,23
semantic,motor,MSC01,0.575,23
semantic,mem,MSC01,0.635,23
glass,semantic,MSC01,0.82,23
glass,motor,MSC01,0.685,23
glass,mem,MSC01,0.72,23
motor,semantic,MSC01,0.76,23
motor,glass,MSC01,0.8299999999999998,23
motor,mem,MSC01,0.7350000000000001,23
mem,semantic,MSC01,0.8100000000000002,23
mem,glass,MSC01,0.685,23
mem,motor,MSC01,0.625,23
semantic,glass,MSC02,0.8099999999999999,23
semantic,motor,MSC02,0.565,23
semantic,mem,MSC02,0.585,23
glass,semantic,MSC02,0.7150000000000001,23
glass,motor,MSC02,0.615,23
glass,mem,MSC02,0.5349999999999999,23
motor,semantic,MSC02,0.76,23
motor,glass,MSC02,0.5149999999999999,23
motor,mem,MSC02,0.47000000000000003,23
mem,semantic,MSC02,0.6950000000000001,23
mem,glass,MSC02,0.6300000000000001,23
mem,motor,MSC02,0.445,23
semantic,glass,MSC03,0.62,23
semantic,motor,MSC03,0.6950000000000001,23
semantic,mem,MSC03,0.66,23
glass,semantic,MSC03,0.53,23
glass,motor,MSC03,0.8950000000000001,23
glass,mem,MSC03,0.515,23
motor,semantic,MSC03,0.645,23
motor,glass,MSC03,0.6950000000000001,23
motor,mem,MSC03,0.7000000000000001,23
mem,semantic,MSC03,0.635,23
mem,glass,MSC03,0.62,23
mem,motor,MSC03,0.8699999999999999,23
semantic,glass,MSC04,0.5999999999999999,23
semantic,motor,MSC04,0.55,23
semantic,mem,MSC04,0.67,23
glass,semantic,MSC04,0.6149999999999999,23
glass,motor,MSC04,0.45,23
glass,mem,MSC04,0.5900000000000001,23
motor,semantic,MSC04,0.4800000000000001,23
motor,glass,MSC04,0.4000000000000001,23
motor,mem,MSC04,0.575,23
mem,semantic,MSC04,0.78,23
mem,glass,MSC04,0.475,23
mem,motor,MSC04,0.51,23
semantic,glass,MSC05,0.66,23
semantic,motor,MSC05,0.8399999999999999,23
semantic,mem,MSC05,0.8399999999999999,23
glass,semantic,MSC05,0.8049999999999999,23
glass,motor,MSC05,0.875,23
glass,mem,MSC05,0.8850000000000001,23
motor,semantic,MSC05,0.78,23
motor,glass,MSC05,0.7250000000000001,23
motor,mem,MSC05,0.8700000000000001,23
mem,semantic,MSC05,0.7999999999999999,23
mem,glass,MSC05,0.7949999999999999,23
mem,motor,MSC05,0.7849999999999999,23
semantic,glass,MSC06,0.7833333333333333,23
semantic,motor,MSC06,0.77,23
semantic,mem,MSC06,0.8400000000000001,23
glass,semantic,MSC06,0.5944444444444444,23
glass,motor,MSC06,0.6888888888888889,23
glass,mem,MSC06,0.7277777777777777,23
motor,semantic,MSC06,0.685,23
motor,glass,MSC06,0.761111111111111,23
motor,mem,MSC06,0.63,23
mem,semantic,MSC06,0.68,23
mem,glass,MSC06,0.688888888888889,23
mem,motor,MSC06,0.7649999999999999,23
semantic,glass,MSC07,0.835,23
semantic,motor,MSC07,0.495,23
semantic,mem,MSC07,0.625,23
glass,semantic,MSC07,0.8150000000000001,23
glass,motor,MSC07,0.675,23
glass,mem,MSC07,0.74,23
motor,semantic,MSC07,0.595,23
motor,glass,MSC07,0.6950000000000001,23
motor,mem,MSC07,0.5900000000000001,23
mem,semantic,MSC07,0.72,23
mem,glass,MSC07,0.655,23
mem,motor,MSC07,0.5050000000000001,23
semantic,glass,MSC10,0.9649999999999999,23
semantic,motor,MSC10,0.7899999999999999,23
semantic,mem,MSC10,0.905,23
glass,semantic,MSC10,0.9000000000000001,23
glass,motor,MSC10,0.7100000000000001,23
glass,mem,MSC10,0.9000000000000001,23
motor,semantic,MSC10,0.8900000000000002,23
motor,glass,MSC10,0.7200000000000001,23
motor,mem,MSC10,0.8550000000000001,23
mem,semantic,MSC10,0.885,23
mem,glass,MSC10,0.8950000000000001,23
mem,motor,MSC10,0.875,23
semantic,glass,MSC01,0.845,75
semantic,motor,MSC01,0.72,75
semantic,mem,MSC01,0.685,75
glass,semantic,MSC01,0.85,75
glass,motor,MSC01,0.875,75
glass,mem,MSC01,0.68,75
motor,semantic,MSC01,0.8950000000000001,75
motor,glass,MSC01,0.8499999999999999,75
motor,mem,MSC01,0.6950000000000001,75
mem,semantic,MSC01,0.875,75
mem,glass,MSC01,0.885,75
mem,motor,MSC01,0.875,75
semantic,glass,MSC02,0.74,75
semantic,motor,MSC02,0.51,75
semantic,mem,MSC02,0.59,75
glass,semantic,MSC02,0.7100000000000001,75
glass,motor,MSC02,0.5599999999999999,75
glass,mem,MSC02,0.5649999999999998,75
motor,semantic,MSC02,0.6,75
motor,glass,MSC02,0.665,75
motor,mem,MSC02,0.5,75
mem,semantic,MSC02,0.885,75
mem,glass,MSC02,0.8099999999999999,75
mem,motor,MSC02,0.53,75
semantic,glass,MSC03,0.7250000000000001,75
semantic,motor,MSC03,0.6250000000000001,75
semantic,mem,MSC03,0.6950000000000001,75
glass,semantic,MSC03,0.68,75
glass,motor,MSC03,0.765,75
glass,mem,MSC03,0.6249999999999999,75
motor,semantic,MSC03,0.74,75
motor,glass,MSC03,0.78,75
motor,mem,MSC03,0.52,75
mem,semantic,MSC03,0.77,75
mem,glass,MSC03,0.7,75
mem,motor,MSC03,0.67,75
semantic,glass,MSC04,0.755,75
semantic,motor,MSC04,0.59,75
semantic,mem,MSC04,0.805,75
glass,semantic,MSC04,0.75,75
glass,motor,MSC04,0.835,75
glass,mem,MSC04,0.72,75
motor,semantic,MSC04,0.7300000000000001,75
motor,glass,MSC04,0.845,75
motor,mem,MSC04,0.57,75
mem,semantic,MSC04,0.8400000000000001,75
mem,glass,MSC04,0.835,75
mem,motor,MSC04,0.72,75
semantic,glass,MSC05,0.7849999999999999,75
semantic,motor,MSC05,0.8049999999999999,75
semantic,mem,MSC05,0.8850000000000001,75
glass,semantic,MSC05,0.76,75
glass,motor,MSC05,0.8399999999999999,75
glass,mem,MSC05,0.89,75
motor,semantic,MSC05,0.6399999999999999,75
motor,glass,MSC05,0.7649999999999999,75
motor,mem,MSC05,0.7799999999999999,75
mem,semantic,MSC05,0.8399999999999999,75
mem,glass,MSC05,0.7050000000000001,75
mem,motor,MSC05,0.8400000000000001,75
semantic,glass,MSC06,0.8,75
semantic,motor,MSC06,0.7250000000000001,75
semantic,mem,MSC06,0.7999999999999999,75
glass,semantic,MSC06,0.75,75
glass,motor,MSC06,0.6944444444444444,75
glass,mem,MSC06,0.8388888888888889,75
motor,semantic,MSC06,0.8099999999999999,75
motor,glass,MSC06,0.7055555555555555,75
motor,mem,MSC06,0.665,75
mem,semantic,MSC06,0.735,75
mem,glass,MSC06,0.8055555555555556,75
mem,motor,MSC06,0.625,75
semantic,glass,MSC07,0.845,75
semantic,motor,MSC07,0.6950000000000001,75
semantic,mem,MSC07,0.7649999999999999,75
glass,semantic,MSC07,0.845,75
glass,motor,MSC07,0.705,75
glass,mem,MSC07,0.7250000000000001,75
motor,semantic,MSC07,0.5999999999999999,75
motor,glass,MSC07,0.6599999999999999,75
motor,mem,MSC07,0.58,75
mem,semantic,MSC07,0.76,75
mem,glass,MSC07,0.835,75
mem,motor,MSC07,0.76,75
semantic,glass,MSC10,0.7849999999999999,75
semantic,motor,MSC10,0.6850000000000002,75
semantic,mem,MSC10,0.645,75
glass,semantic,MSC10,0.745,75
glass,motor,MSC10,0.96,75
glass,mem,MSC10,0.8399999999999999,75
motor,semantic,MSC10,0.7100000000000001,75
motor,glass,MSC10,0.8850000000000001,75
motor,mem,MSC10,0.7999999999999999,75
mem,semantic,MSC10,0.7999999999999999,75
mem,glass,MSC10,0.9400000000000001,75
mem,motor,MSC10,0.865,75
semantic,glass,MSC01,0.8049999999999999,62
semantic,motor,MSC01,0.77,62
semantic,mem,MSC01,0.575,62
glass,semantic,MSC01,0.85,62
glass,motor,MSC01,0.7549999999999999,62
glass,mem,MSC01,0.6950000000000001,62
motor,semantic,MSC01,0.7899999999999999,62
motor,glass,MSC01,0.755,62
motor,mem,MSC01,0.6850000000000002,62
mem,semantic,MSC01,0.8099999999999999,62
mem,glass,MSC01,0.8749999999999998,62
mem,motor,MSC01,0.86,62
semantic,glass,MSC02,0.7350000000000001,62
semantic,motor,MSC02,0.7200000000000001,62
semantic,mem,MSC02,0.66,62
glass,semantic,MSC02,0.8249999999999998,62
glass,motor,MSC02,0.65,62
glass,mem,MSC02,0.63,62
motor,semantic,MSC02,0.6049999999999999,62
motor,glass,MSC02,0.5349999999999999,62
motor,mem,MSC02,0.53,62
mem,semantic,MSC02,0.785,62
mem,glass,MSC02,0.755,62
mem,motor,MSC02,0.6850000000000002,62
semantic,glass,MSC03,0.7200000000000001,62
semantic,motor,MSC03,0.755,62
semantic,mem,MSC03,0.7899999999999999,62
glass,semantic,MSC03,0.7000000000000001,62
glass,motor,MSC03,0.89,62
glass,mem,MSC03,0.7,62
motor,semantic,MSC03,0.5899999999999999,62
motor,glass,MSC03,0.7949999999999998,62
motor,mem,MSC03,0.7300000000000001,62
mem,semantic,MSC03,0.7200000000000001,62
mem,glass,MSC03,0.5599999999999999,62
mem,motor,MSC03,0.6850000000000002,62
semantic,glass,MSC04,0.755,62
semantic,motor,MSC04,0.62,62
semantic,mem,MSC04,0.61,62
glass,semantic,MSC04,0.8299999999999998,62
glass,motor,MSC04,0.85,62
glass,mem,MSC04,0.7749999999999999,62
motor,semantic,MSC04,0.63,62
motor,glass,MSC04,0.765,62
motor,mem,MSC04,0.6700000000000002,62
mem,semantic,MSC04,0.8399999999999999,62
mem,glass,MSC04,0.8399999999999999,62
mem,motor,MSC04,0.8599999999999998,62
semantic,glass,MSC05,0.6700000000000002,62
semantic,motor,MSC05,0.625,62
semantic,mem,MSC05,0.6,62
glass,semantic,MSC05,0.7649999999999999,62
glass,motor,MSC05,0.72,62
glass,mem,MSC05,0.765,62
motor,semantic,MSC05,0.6950000000000001,62
motor,glass,MSC05,0.7050000000000001,62
motor,mem,MSC05,0.865,62
mem,semantic,MSC05,0.845,62
mem,glass,MSC05,0.6950000000000001,62
mem,motor,MSC05,0.76,62
semantic,glass,MSC06,0.6166666666666668,62
semantic,motor,MSC06,0.8299999999999998,62
semantic,mem,MSC06,0.655,62
glass,semantic,MSC06,0.7999999999999999,62
glass,motor,MSC06,0.7222222222222222,62
glass,mem,MSC06,0.8888888888888891,62
motor,semantic,MSC06,0.86,62
motor,glass,MSC06,0.5833333333333333,62
motor,mem,MSC06,0.575,62
mem,semantic,MSC06,0.8349999999999997,62
mem,glass,MSC06,0.7888888888888889,62
mem,motor,MSC06,0.5900000000000001,62
semantic,glass,MSC07,0.75,62
semantic,motor,MSC07,0.675,62
semantic,mem,MSC07,0.74,62
glass,semantic,MSC07,0.875,62
glass,motor,MSC07,0.7849999999999999,62
glass,mem,MSC07,0.72,62
motor,semantic,MSC07,0.6099999999999999,62
motor,glass,MSC07,0.5999999999999999,62
motor,mem,MSC07,0.6199999999999999,62
mem,semantic,MSC07,0.8550000000000001,62
mem,glass,MSC07,0.8299999999999998,62
mem,motor,MSC07,0.825,62
semantic,glass,MSC10,0.8049999999999999,62
semantic,motor,MSC10,0.89,62
semantic,mem,MSC10,0.9,62
glass,semantic,MSC10,0.7350000000000001,62
glass,motor,MSC10,0.6500000000000001,62
glass,mem,MSC10,0.865,62
motor,semantic,MSC10,0.59,62
motor,glass,MSC10,0.5149999999999999,62
motor,mem,MSC10,0.715,62
mem,semantic,MSC10,0.75,62
mem,glass,MSC10,0.7350000000000001,62
mem,motor,MSC10,0.775,62
semantic,glass,MSC01,0.7,46
semantic,motor,MSC01,0.6950000000000001,46
semantic,mem,MSC01,0.6199999999999999,46
glass,semantic,MSC01,0.8099999999999999,46
glass,motor,MSC01,0.5999999999999999,46
glass,mem,MSC01,0.7000000000000001,46
motor,semantic,MSC01,0.74,46
motor,glass,MSC01,0.6699999999999999,46
motor,mem,MSC01,0.6950000000000001,46
mem,semantic,MSC01,0.645,46
mem,glass,MSC01,0.7100000000000001,46
mem,motor,MSC01,0.67,46
semantic,glass,MSC02,0.7949999999999999,46
semantic,motor,MSC02,0.74,46
semantic,mem,MSC02,0.6049999999999999,46
glass,semantic,MSC02,0.8550000000000001,46
glass,motor,MSC02,0.6700000000000002,46
glass,mem,MSC02,0.775,46
