,train_task,test_task,sub,acc,Features
0,semantic,glass,MSC01,0.7699999999999999,10
1,semantic,motor,MSC01,0.68,10
2,semantic,mem,MSC01,0.4999999999999999,10
3,glass,semantic,MSC01,0.72,10
4,glass,motor,MSC01,0.695,10
5,glass,mem,MSC01,0.5149999999999999,10
6,motor,semantic,MSC01,0.715,10
7,motor,glass,MSC01,0.785,10
8,motor,mem,MSC01,0.525,10
9,mem,semantic,MSC01,0.5150000000000001,10
10,mem,glass,MSC01,0.59,10
11,mem,motor,MSC01,0.55,10
12,semantic,glass,MSC02,0.5700000000000001,10
13,semantic,motor,MSC02,0.5750000000000001,10
14,semantic,mem,MSC02,0.51,10
15,glass,semantic,MSC02,0.595,10
16,glass,motor,MSC02,0.505,10
17,glass,mem,MSC02,0.53,10
18,motor,semantic,MSC02,0.515,10
19,motor,glass,MSC02,0.43,10
20,motor,mem,MSC02,0.4,10
21,mem,semantic,MSC02,0.51,10
22,mem,glass,MSC02,0.57,10
23,mem,motor,MSC02,0.4600000000000001,10
24,semantic,glass,MSC03,0.4550000000000001,10
25,semantic,motor,MSC03,0.46,10
26,semantic,mem,MSC03,0.5449999999999999,10
27,glass,semantic,MSC03,0.545,10
28,glass,motor,MSC03,0.705,10
29,glass,mem,MSC03,0.635,10
30,motor,semantic,MSC03,0.49,10
31,motor,glass,MSC03,0.645,10
32,motor,mem,MSC03,0.6300000000000001,10
33,mem,semantic,MSC03,0.65,10
34,mem,glass,MSC03,0.6799999999999999,10
35,mem,motor,MSC03,0.6949999999999998,10
36,semantic,glass,MSC04,0.495,10
37,semantic,motor,MSC04,0.51,10
38,semantic,mem,MSC04,0.41,10
39,glass,semantic,MSC04,0.37,10
40,glass,motor,MSC04,0.55,10
41,glass,mem,MSC04,0.545,10
42,motor,semantic,MSC04,0.56,10
43,motor,glass,MSC04,0.645,10
44,motor,mem,MSC04,0.655,10
45,mem,semantic,MSC04,0.525,10
46,mem,glass,MSC04,0.6100000000000001,10
47,mem,motor,MSC04,0.6000000000000001,10
48,semantic,glass,MSC05,0.7050000000000001,10
49,semantic,motor,MSC05,0.735,10
50,semantic,mem,MSC05,0.8349999999999997,10
51,glass,semantic,MSC05,0.6599999999999999,10
52,glass,motor,MSC05,0.765,10
53,glass,mem,MSC05,0.74,10
54,motor,semantic,MSC05,0.655,10
55,motor,glass,MSC05,0.5999999999999999,10
56,motor,mem,MSC05,0.655,10
57,mem,semantic,MSC05,0.7349999999999999,10
58,mem,glass,MSC05,0.7050000000000001,10
59,mem,motor,MSC05,0.7749999999999999,10
60,semantic,glass,MSC06,0.5444444444444445,10
61,semantic,motor,MSC06,0.5349999999999999,10
62,semantic,mem,MSC06,0.5149999999999999,10
63,glass,semantic,MSC06,0.5055555555555555,10
64,glass,motor,MSC06,0.5722222222222223,10
65,glass,mem,MSC06,0.7166666666666667,10
66,motor,semantic,MSC06,0.55,10
67,motor,glass,MSC06,0.6666666666666666,10
68,motor,mem,MSC06,0.59,10
69,mem,semantic,MSC06,0.54,10
70,mem,glass,MSC06,0.7555555555555555,10
71,mem,motor,MSC06,0.635,10
72,semantic,glass,MSC07,0.9000000000000001,10
73,semantic,motor,MSC07,0.5,10
74,semantic,mem,MSC07,0.76,10
75,glass,semantic,MSC07,0.825,10
76,glass,motor,MSC07,0.45,10
77,glass,mem,MSC07,0.7599999999999999,10
78,motor,semantic,MSC07,0.435,10
79,motor,glass,MSC07,0.405,10
80,motor,mem,MSC07,0.48,10
81,mem,semantic,MSC07,0.78,10
82,mem,glass,MSC07,0.935,10
83,mem,motor,MSC07,0.535,10
84,semantic,glass,MSC10,0.8750000000000002,10
85,semantic,motor,MSC10,0.89,10
86,semantic,mem,MSC10,0.7249999999999999,10
87,glass,semantic,MSC10,0.8149999999999998,10
88,glass,motor,MSC10,0.9000000000000001,10
89,glass,mem,MSC10,0.7649999999999999,10
90,motor,semantic,MSC10,0.845,10
91,motor,glass,MSC10,0.8149999999999998,10
92,motor,mem,MSC10,0.725,10
93,mem,semantic,MSC10,0.7000000000000001,10
94,mem,glass,MSC10,0.7550000000000001,10
95,mem,motor,MSC10,0.68,10
0,semantic,glass,MSC01,0.8450000000000001,20
1,semantic,motor,MSC01,0.8450000000000001,20
2,semantic,mem,MSC01,0.6150000000000001,20
3,glass,semantic,MSC01,0.8400000000000001,20
4,glass,motor,MSC01,0.8450000000000001,20
5,glass,mem,MSC01,0.6950000000000001,20
6,motor,semantic,MSC01,0.8149999999999998,20
7,motor,glass,MSC01,0.8550000000000001,20
8,motor,mem,MSC01,0.6400000000000001,20
9,mem,semantic,MSC01,0.7499999999999998,20
10,mem,glass,MSC01,0.79,20
11,mem,motor,MSC01,0.715,20
12,semantic,glass,MSC02,0.64,20
13,semantic,motor,MSC02,0.5,20
14,semantic,mem,MSC02,0.505,20
15,glass,semantic,MSC02,0.5650000000000001,20
16,glass,motor,MSC02,0.39,20
17,glass,mem,MSC02,0.49,20
18,motor,semantic,MSC02,0.495,20
19,motor,glass,MSC02,0.515,20
20,motor,mem,MSC02,0.595,20
21,mem,semantic,MSC02,0.555,20
22,mem,glass,MSC02,0.6449999999999999,20
23,mem,motor,MSC02,0.475,20
24,semantic,glass,MSC03,0.7100000000000001,20
25,semantic,motor,MSC03,0.68,20
26,semantic,mem,MSC03,0.8149999999999998,20
27,glass,semantic,MSC03,0.64,20
28,glass,motor,MSC03,0.475,20
29,glass,mem,MSC03,0.545,20
30,motor,semantic,MSC03,0.55,20
31,motor,glass,MSC03,0.455,20
32,motor,mem,MSC03,0.825,20
33,mem,semantic,MSC03,0.7000000000000001,20
34,mem,glass,MSC03,0.5649999999999998,20
35,mem,motor,MSC03,0.8099999999999999,20
36,semantic,glass,MSC04,0.8300000000000001,20
37,semantic,motor,MSC04,0.7649999999999999,20
38,semantic,mem,MSC04,0.8099999999999999,20
39,glass,semantic,MSC04,0.6400000000000001,20
40,glass,motor,MSC04,0.75,20
41,glass,mem,MSC04,0.7000000000000001,20
42,motor,semantic,MSC04,0.6600000000000001,20
43,motor,glass,MSC04,0.8300000000000001,20
44,motor,mem,MSC04,0.82,20
45,mem,semantic,MSC04,0.8700000000000001,20
46,mem,glass,MSC04,0.8450000000000001,20
47,mem,motor,MSC04,0.865,20
48,semantic,glass,MSC05,0.8950000000000001,20
49,semantic,motor,MSC05,0.675,20
50,semantic,mem,MSC05,0.72,20
51,glass,semantic,MSC05,0.7050000000000001,20
52,glass,motor,MSC05,0.7000000000000001,20
53,glass,mem,MSC05,0.76,20
54,motor,semantic,MSC05,0.655,20
55,motor,glass,MSC05,0.735,20
56,motor,mem,MSC05,0.8149999999999998,20
57,mem,semantic,MSC05,0.685,20
58,mem,glass,MSC05,0.805,20
59,mem,motor,MSC05,0.8099999999999999,20
60,semantic,glass,MSC06,0.5666666666666667,20
61,semantic,motor,MSC06,0.7,20
62,semantic,mem,MSC06,0.6400000000000001,20
63,glass,semantic,MSC06,0.5444444444444444,20
