,test_task,train_task,Mean,Std
0,mem,mixed,0.9175,0.06902380541730309
1,mem,motor,0.6787500000000001,0.12969056579853008
2,mixed,mem,0.8331250000000001,0.13019045115302652
3,mixed,motor,0.64,0.09595385795861917
4,motor,mem,0.90375,0.10105691465703863
5,motor,mixed,0.89625,0.09307255234493142
