sess,MSC01,MSC02,MSC03,MSC04,MSC05,MSC06,MSC07,MSC10
0,160,176,176,157,174,169,85,135
1,180,157,181,151,175,169,116,104
2,138,190,125,96,168,173,93,175
3,146,191,167,162,191,199,116,163
4,135,184,106,192,159,186,106,113
5,142,198,96,133,98,194,0,176
6,113,197,102,182,172,195,115,119
7,165,201,137,195,117,0,150,143
8,54,179,123,183,171,173,156,198
9,158,190,148,198,122,180,87,172
