sess,MSC01,MSC02,MSC03,MSC04,MSC05,MSC06,MSC07,MSC10
0,523,531,699,722,685,662,455,511
1,717,793,796,739,740,806,691,158
2,732,780,756,183,645,812,666,433
3,778,789,645,360,767,818,399,743
4,710,650,534,728,769,812,623,628
5,531,535,364,695,642,791,430,336
6,551,812,475,780,768,808,796,545
7,670,795,535,772,712,723,804,526
8,420,798,661,744,744,643,645,766
9,635,767,710,643,789,792,554,643
