train_sub,test_sub,cv_acc,acc,var
MSC10,MSC06,0.8875,0.6757142857142856,0.1
MSC10,MSC07,0.9,0.6242857142857142,0.1
MSC01,MSC02,0.925,0.5974999999999999,0.15
MSC01,MSC03,0.9125,0.5914285714285714,0.15
MSC01,MSC04,0.875,0.7125,0.15
MSC01,MSC05,0.875,0.5650000000000001,0.15
MSC01,MSC06,0.875,0.5992857142857142,0.15
MSC01,MSC07,0.925,0.7353571428571428,0.15
MSC01,MSC10,0.8625,0.6725,0.15
MSC02,MSC01,0.85,0.5824999999999999,0.15
MSC02,MSC03,0.875,0.6332142857142857,0.15
MSC02,MSC04,0.8625,0.5874999999999999,0.15
MSC02,MSC05,0.875,0.7275,0.15
MSC02,MSC06,0.8625,0.6532142857142856,0.15
MSC02,MSC07,0.8625,0.582857142857143,0.15
MSC02,MSC10,0.85,0.5375,0.15
MSC03,MSC01,0.6,0.525,0.15
MSC03,MSC02,0.5625,0.5075,0.15
MSC03,MSC04,0.65,0.5574999999999999,0.15
MSC03,MSC05,0.5125,0.675,0.15
MSC03,MSC06,0.6,0.5610714285714286,0.15
MSC03,MSC07,0.6375,0.5464285714285714,0.15
MSC03,MSC10,0.6,0.605,0.15
MSC04,MSC01,0.9375,0.5225,0.15
MSC04,MSC02,0.95,0.6325000000000001,0.15
MSC04,MSC03,0.9375,0.6135714285714285,0.15
MSC04,MSC05,0.9375,0.735,0.15
MSC04,MSC06,0.95,0.8292857142857143,0.15
MSC04,MSC07,0.9625,0.5457142857142857,0.15
MSC04,MSC10,0.925,0.635,0.15
MSC05,MSC01,0.975,0.6975,0.15
MSC05,MSC02,0.975,0.5475,0.15
MSC05,MSC03,0.9875,0.7432142857142857,0.15
MSC05,MSC04,0.9875,0.7425,0.15
MSC05,MSC06,1.0,0.7407142857142857,0.15
MSC05,MSC07,0.975,0.6582142857142858,0.15
MSC05,MSC10,0.9875,0.6375,0.15
MSC06,MSC01,0.8625,0.6825000000000001,0.15
MSC06,MSC02,0.95,0.61,0.15
MSC06,MSC03,0.95,0.6307142857142857,0.15
MSC06,MSC04,0.925,0.7825,0.15
MSC06,MSC05,0.9,0.85,0.15
MSC06,MSC07,0.925,0.5235714285714286,0.15
MSC06,MSC10,0.875,0.5325,0.15
MSC07,MSC01,0.8125,0.8825,0.15
MSC07,MSC02,0.8375,0.6074999999999999,0.15
MSC07,MSC03,0.7625,0.5964285714285714,0.15
MSC07,MSC04,0.725,0.6399999999999999,0.15
MSC07,MSC05,0.6625,0.5349999999999999,0.15
MSC07,MSC06,0.8375,0.5239285714285714,0.15
MSC07,MSC10,0.775,0.6575,0.15
MSC10,MSC01,0.8875,0.5075,0.15
MSC10,MSC02,0.8875,0.5025000000000001,0.15
MSC10,MSC03,0.9125,0.5810714285714286,0.15
MSC10,MSC04,0.8875,0.605,0.15
MSC10,MSC05,0.875,0.625,0.15
MSC10,MSC06,0.9,0.6817857142857143,0.15
MSC10,MSC07,0.875,0.6135714285714287,0.15
MSC01,MSC02,0.8625,0.5624999999999999,0.2
MSC01,MSC03,0.875,0.57,0.2
MSC01,MSC04,0.875,0.7049999999999998,0.2
MSC01,MSC05,0.875,0.5575,0.2
MSC01,MSC06,0.8625,0.5957142857142858,0.2
MSC01,MSC07,0.875,0.7292857142857143,0.2
MSC01,MSC10,0.8625,0.6875000000000001,0.2
MSC02,MSC01,0.9125,0.73,0.2
MSC02,MSC03,0.9125,0.800357142857143,0.2
MSC02,MSC04,0.9125,0.7875,0.2
MSC02,MSC05,0.9125,0.915,0.2
MSC02,MSC06,0.9,0.8074999999999999,0.2
MSC02,MSC07,0.9125,0.7232142857142858,0.2
MSC02,MSC10,0.925,0.7050000000000001,0.2
MSC03,MSC01,0.6375,0.5825,0.2
MSC03,MSC02,0.6375,0.545,0.2
MSC03,MSC04,0.725,0.6174999999999999,0.2
MSC03,MSC05,0.625,0.7125,0.2
MSC03,MSC06,0.7125,0.6196428571428572,0.2
MSC03,MSC07,0.75,0.5639285714285714,0.2
MSC03,MSC10,0.6625,0.6625,0.2
MSC04,MSC01,0.975,0.55,0.2
MSC04,MSC02,0.9625,0.6175,0.2
MSC04,MSC03,0.975,0.6089285714285714,0.2
MSC04,MSC05,0.9375,0.755,0.2
MSC04,MSC06,0.9375,0.8382142857142858,0.2
MSC04,MSC07,0.9625,0.5235714285714286,0.2
MSC04,MSC10,0.95,0.6500000000000001,0.2
MSC05,MSC01,0.975,0.58,0.2
MSC05,MSC02,0.9625,0.5125,0.2
MSC05,MSC03,0.9875,0.6028571428571429,0.2
MSC05,MSC04,0.9875,0.7150000000000001,0.2
MSC05,MSC06,0.975,0.6525000000000001,0.2
MSC05,MSC07,0.9875,0.5639285714285714,0.2
MSC05,MSC10,0.9875,0.5375,0.2
MSC06,MSC01,0.925,0.6775,0.2
MSC06,MSC02,0.9625,0.5925,0.2
MSC06,MSC03,0.925,0.6167857142857143,0.2
MSC06,MSC04,0.9375,0.7325,0.2
MSC06,MSC05,0.975,0.8525,0.2
MSC06,MSC07,0.95,0.5282142857142856,0.2
MSC06,MSC10,0.9,0.5399999999999999,0.2
MSC07,MSC01,0.925,0.8400000000000001,0.2
MSC07,MSC02,0.95,0.6975,0.2
MSC07,MSC03,0.95,0.6596428571428572,0.2
MSC07,MSC04,0.9375,0.7275,0.2
MSC07,MSC05,0.8625,0.655,0.2
MSC07,MSC06,0.9375,0.6235714285714286,0.2
MSC07,MSC10,0.9375,0.7450000000000001,0.2
MSC10,MSC01,0.9,0.5075,0.2
MSC10,MSC02,0.9,0.5125,0.2
MSC10,MSC03,0.875,0.5814285714285714,0.2
MSC10,MSC04,0.9,0.61,0.2
MSC10,MSC05,0.8875,0.625,0.2
MSC10,MSC06,0.9,0.7121428571428571,0.2
MSC10,MSC07,0.9,0.6167857142857143,0.2
MSC01,MSC02,0.95,0.635,0.25
MSC01,MSC03,0.9,0.6178571428571428,0.25
MSC01,MSC04,0.9625,0.7849999999999999,0.25
MSC01,MSC05,0.9125,0.7775000000000001,0.25
MSC01,MSC06,0.9625,0.8371428571428572,0.25
MSC01,MSC07,0.9,0.5750000000000001,0.25
MSC01,MSC10,0.9625,0.615,0.25
MSC02,MSC01,0.9125,0.76,0.25
MSC02,MSC03,0.925,0.7817857142857143,0.25
MSC02,MSC04,0.95,0.7775000000000001,0.25
MSC02,MSC05,0.9,0.8975,0.25
MSC02,MSC06,0.9125,0.8117857142857143,0.25
MSC02,MSC07,0.925,0.7121428571428572,0.25
MSC02,MSC10,0.9125,0.6775,0.25
MSC03,MSC01,0.9125,0.6950000000000001,0.25
MSC03,MSC02,0.8,0.55,0.25
MSC03,MSC04,0.8625,0.7024999999999999,0.25
MSC03,MSC05,0.8125,0.7475,0.25
MSC03,MSC06,0.875,0.6721428571428572,0.25
MSC03,MSC07,0.85,0.6103571428571428,0.25
MSC03,MSC10,0.8375,0.74,0.25
MSC04,MSC01,0.9625,0.5825,0.25
MSC04,MSC02,0.95,0.6449999999999999,0.25
MSC04,MSC03,0.95,0.632142857142857,0.25
MSC04,MSC05,0.9375,0.8074999999999999,0.25
MSC04,MSC06,0.925,0.8621428571428572,0.25
MSC04,MSC07,0.95,0.5260714285714286,0.25
MSC04,MSC10,0.95,0.6375,0.25
MSC05,MSC01,1.0,0.59,0.25
MSC05,MSC02,0.9875,0.505,0.25
MSC05,MSC03,0.9875,0.5789285714285715,0.25
MSC05,MSC04,0.9875,0.7025,0.25
MSC05,MSC06,0.975,0.6607142857142857,0.25
MSC05,MSC07,0.9875,0.5589285714285714,0.25
MSC05,MSC10,0.9875,0.5475,0.25
MSC06,MSC01,0.9375,0.6325,0.25
MSC06,MSC02,0.95,0.625,0.25
MSC06,MSC03,0.9,0.6389285714285714,0.25
MSC06,MSC04,0.9375,0.7825,0.25
MSC06,MSC05,0.95,0.8875,0.25
MSC06,MSC07,0.95,0.5175000000000001,0.25
MSC06,MSC10,0.9625,0.5375,0.25
MSC07,MSC01,0.9625,0.7699999999999999,0.25
MSC07,MSC02,0.925,0.7125,0.25
MSC07,MSC03,0.9375,0.6382142857142858,0.25
MSC07,MSC04,0.9375,0.7449999999999999,0.25
MSC07,MSC05,0.9625,0.74,0.25
MSC07,MSC06,0.925,0.6421428571428571,0.25
MSC07,MSC10,0.95,0.76,0.25
MSC10,MSC01,0.8875,0.5199999999999999,0.25
MSC10,MSC02,0.9,0.5,0.25
MSC10,MSC03,0.9,0.5832142857142857,0.25
MSC10,MSC04,0.8875,0.625,0.25
MSC10,MSC05,0.9,0.635,0.25
MSC10,MSC06,0.9,0.7260714285714285,0.25
MSC10,MSC07,0.9,0.6128571428571428,0.25
MSC01,MSC02,0.95,0.6125,0.3
MSC01,MSC03,0.95,0.6542857142857141,0.3
MSC01,MSC04,0.9125,0.7425,0.3
MSC01,MSC05,0.9625,0.8400000000000001,0.3
MSC01,MSC06,0.9625,0.8389285714285715,0.3
MSC01,MSC07,0.975,0.6103571428571428,0.3
MSC01,MSC10,0.9625,0.655,0.3
MSC02,MSC01,0.95,0.8150000000000001,0.3
MSC02,MSC03,0.9125,0.7932142857142856,0.3
MSC02,MSC04,0.925,0.7775000000000001,0.3
MSC02,MSC05,0.925,0.9099999999999999,0.3
MSC02,MSC06,0.9125,0.8171428571428571,0.3
MSC02,MSC07,0.9,0.7678571428571429,0.3
MSC02,MSC10,0.9,0.6874999999999999,0.3
MSC03,MSC01,0.9,0.6799999999999999,0.3
MSC03,MSC02,0.8375,0.5924999999999999,0.3
MSC03,MSC04,0.85,0.6825,0.3
MSC03,MSC05,0.875,0.745,0.3
MSC03,MSC06,0.8375,0.6864285714285714,0.3
MSC03,MSC07,0.85,0.6064285714285714,0.3
MSC03,MSC10,0.8625,0.7925,0.3
MSC04,MSC01,0.9625,0.5575,0.3
MSC04,MSC02,0.9375,0.6225,0.3
MSC04,MSC03,0.95,0.6389285714285714,0.3
MSC04,MSC05,0.9125,0.8125,0.3
MSC04,MSC06,0.95,0.854642857142857,0.3
MSC04,MSC07,0.9375,0.5560714285714285,0.3
MSC04,MSC10,0.975,0.635,0.3
MSC05,MSC01,0.9875,0.5900000000000001,0.3
MSC05,MSC02,0.9875,0.505,0.3
MSC05,MSC03,0.9875,0.5842857142857143,0.3
MSC05,MSC04,1.0,0.7275,0.3
MSC05,MSC06,0.9875,0.6742857142857143,0.3
MSC05,MSC07,0.975,0.5717857142857142,0.3
MSC05,MSC10,0.9875,0.5574999999999999,0.3
MSC06,MSC01,0.9625,0.665,0.3
MSC06,MSC02,0.95,0.65,0.3
MSC06,MSC03,0.9375,0.6428571428571429,0.3
MSC06,MSC04,0.9,0.7949999999999999,0.3
MSC06,MSC05,0.9625,0.8800000000000001,0.3
MSC06,MSC07,0.9375,0.5385714285714286,0.3
MSC06,MSC10,0.95,0.5525,0.3
MSC07,MSC01,0.9375,0.7675,0.3
MSC07,MSC02,0.975,0.7174999999999999,0.3
MSC07,MSC03,0.95,0.6267857142857143,0.3
MSC07,MSC04,0.975,0.745,0.3
MSC07,MSC05,0.9625,0.7775000000000001,0.3
MSC07,MSC06,0.975,0.6814285714285714,0.3
MSC07,MSC10,0.9375,0.75,0.3
MSC10,MSC01,0.9,0.52,0.3
MSC10,MSC02,0.9,0.5125,0.3
MSC10,MSC03,0.8625,0.5839285714285716,0.3
MSC10,MSC04,0.9,0.6424999999999998,0.3
MSC10,MSC05,0.8875,0.6174999999999999,0.3
MSC10,MSC06,0.8625,0.7185714285714285,0.3
MSC10,MSC07,0.8875,0.6224999999999999,0.3
MSC01,MSC02,0.9625,0.5900000000000001,0.35
MSC01,MSC03,0.95,0.6142857142857142,0.35
MSC01,MSC04,0.9625,0.75,0.35
MSC01,MSC05,0.975,0.7849999999999999,0.35
MSC01,MSC06,0.975,0.8264285714285714,0.35
MSC01,MSC07,0.95,0.6332142857142858,0.35
MSC01,MSC10,0.9875,0.6275,0.35
MSC02,MSC01,0.9375,0.8099999999999999,0.35
MSC02,MSC03,0.925,0.7889285714285714,0.35
MSC02,MSC04,0.925,0.7849999999999999,0.35
MSC02,MSC05,0.9,0.9125,0.35
MSC02,MSC06,0.95,0.8532142857142858,0.35
MSC02,MSC07,0.9375,0.7510714285714287,0.35
MSC02,MSC10,0.9,0.6699999999999999,0.35
MSC03,MSC01,0.875,0.67,0.35
MSC03,MSC02,0.8625,0.61,0.35
MSC03,MSC04,0.8625,0.7150000000000001,0.35
MSC03,MSC05,0.9375,0.8075000000000001,0.35
MSC03,MSC06,0.9625,0.667142857142857,0.35
MSC03,MSC07,0.925,0.6257142857142857,0.35
MSC03,MSC10,0.8875,0.76,0.35
MSC04,MSC01,0.95,0.6375000000000001,0.35
MSC04,MSC02,0.9375,0.635,0.35
MSC04,MSC03,0.9125,0.6492857142857142,0.35
MSC04,MSC05,0.9375,0.8424999999999999,0.35
MSC04,MSC06,0.95,0.8739285714285714,0.35
MSC04,MSC07,0.9625,0.5521428571428573,0.35
MSC04,MSC10,0.9625,0.65,0.35
MSC05,MSC01,0.9875,0.6024999999999999,0.35
MSC05,MSC02,1.0,0.51,0.35
MSC05,MSC03,0.975,0.6028571428571429,0.35
MSC05,MSC04,0.9875,0.75,0.35
MSC05,MSC06,0.9875,0.7064285714285713,0.35
MSC05,MSC07,0.9875,0.584642857142857,0.35
MSC05,MSC10,0.9875,0.5675000000000001,0.35
MSC06,MSC01,0.9125,0.7200000000000001,0.35
MSC06,MSC02,0.925,0.7275,0.35
MSC06,MSC03,0.9375,0.6900000000000001,0.35
MSC06,MSC04,0.95,0.8400000000000001,0.35
MSC06,MSC05,0.925,0.9125,0.35
MSC06,MSC07,0.9625,0.6007142857142856,0.35
MSC06,MSC10,0.9125,0.5675000000000001,0.35
MSC07,MSC01,0.9625,0.74,0.35
MSC07,MSC02,0.9375,0.6849999999999999,0.35
MSC07,MSC03,0.95,0.6053571428571429,0.35
MSC07,MSC04,0.95,0.7425,0.35
MSC07,MSC05,0.9125,0.765,0.35
MSC07,MSC06,0.975,0.7614285714285713,0.35
MSC07,MSC10,0.95,0.6975,0.35
MSC10,MSC01,0.8625,0.5225000000000001,0.35
MSC10,MSC02,0.8875,0.51,0.35
MSC10,MSC03,0.8875,0.5696428571428572,0.35
MSC10,MSC04,0.875,0.66,0.35
MSC10,MSC05,0.8875,0.6399999999999999,0.35
MSC10,MSC06,0.8875,0.7453571428571429,0.35
MSC10,MSC07,0.875,0.635,0.35
MSC01,MSC02,0.95,0.5974999999999999,0.4
MSC01,MSC03,0.9875,0.5967857142857143,0.4
MSC01,MSC04,0.9875,0.7475,0.4
MSC01,MSC05,0.975,0.785,0.4
MSC01,MSC06,0.975,0.8260714285714286,0.4
MSC01,MSC07,0.9875,0.5928571428571427,0.4
MSC01,MSC10,0.975,0.61,0.4
MSC02,MSC01,0.9625,0.82,0.4
MSC02,MSC03,0.95,0.775,0.4
MSC02,MSC04,0.9125,0.8,0.4
MSC02,MSC05,0.9625,0.8850000000000001,0.4
MSC02,MSC06,0.975,0.8699999999999999,0.4
MSC02,MSC07,0.975,0.7142857142857142,0.4
MSC02,MSC10,0.9625,0.7275,0.4
MSC03,MSC01,0.9625,0.71,0.4
MSC03,MSC02,0.925,0.6725000000000001,0.4
MSC03,MSC04,0.975,0.7299999999999999,0.4
MSC03,MSC05,0.975,0.8350000000000002,0.4
MSC03,MSC06,0.9625,0.6475,0.4
MSC03,MSC07,0.9125,0.6892857142857143,0.4
MSC03,MSC10,0.9625,0.7649999999999999,0.4
MSC04,MSC01,0.9625,0.6175,0.4
MSC04,MSC02,0.9375,0.6050000000000001,0.4
MSC04,MSC03,0.975,0.65,0.4
MSC04,MSC05,0.975,0.8325000000000001,0.4
MSC04,MSC06,0.9625,0.8125,0.4
MSC04,MSC07,0.9625,0.5821428571428571,0.4
MSC04,MSC10,0.9875,0.66,0.4
MSC05,MSC01,0.9875,0.6275000000000001,0.4
MSC05,MSC02,0.9875,0.51,0.4
MSC05,MSC03,0.9875,0.6157142857142858,0.4
MSC05,MSC04,0.9875,0.7175,0.4
MSC05,MSC06,0.9875,0.6710714285714285,0.4
