train,same_subT,diff_subT,same_subR,diff_subR
MSC01,1.0,0.9963636363636363,1.0,0.15107142857142858
MSC02,1.0,0.9530909090909091,0.975,0.7525
MSC03,1.0,0.8605595667870036,0.9375,0.7674107142857143
MSC04,1.0,1.0,0.975,0.30428571428571427
MSC05,1.0,0.9563636363636363,0.975,0.5042857142857143
MSC06,1.0,0.9414360208584035,0.9444444444444444,0.719047619047619
MSC07,1.0,0.8896940418679549,0.9722222222222222,0.7488095238095238
MSC10,0.975,0.9963636363636363,0.95,0.1975
