train,same_sub,diff_sub,MCC_CV,MCC_DS,rest_CV,mem_CV,sem_CV,mot_CV,glass_CV,rest_DS,mem_DS,sem_DS,mot_DS,glass_DS
MSC01,0.84,0.6104347826086957,0.8232845688140846,0.5494935331745724,0.9166666666666666,0.8666666666666666,0.8666666666666668,0.5,0.9,0.7477676225700504,0.6683837565971749,0.49048620360778994,0.002857142857142857,0.7396427113529527
MSC02,0.8200000000000001,0.4315942028985507,0.8070881063960369,0.36395471122065814,0.9333333333333332,0.9,0.7333333333333333,0.36666666666666664,0.8666666666666666,0.748199236418724,0.4752108588261737,0.14469623239776472,0.002816901408450705,0.22065311598295506
MSC03,0.85,0.43011527377521613,0.8368071071637795,0.3743654608097986,0.9166666666666666,0.875,0.625,0.6666666666666667,0.9375,0.4555003216893669,0.5247314334504092,0.0035211267605633804,0.025,0.7101662445460026
MSC04,0.9,0.636231884057971,0.8952847075210474,0.5813700419992543,0.9666666666666668,0.9333333333333332,0.8666666666666668,0.6,0.9666666666666666,0.7103236809854592,0.765872821918258,0.3628148094260273,0.19272768650477629,0.7750788530045497
MSC05,0.88,0.5599999999999999,0.8759891964835576,0.4831303136800291,0.8833333333333332,0.9666666666666666,0.9,0.5,0.9666666666666668,0.6378955160677968,0.6345505310462354,0.5573101576344431,0.022776659959758555,0.6376560813024861
MSC06,0.8,0.5408261287223823,0.7899420415836242,0.48212415123549185,0.8333333333333335,0.9259259259259258,0.5555555555555556,0.4074074074074074,0.9629629629629631,0.6282491750225733,0.621609463326992,0.3686867700795913,0.003129890453834116,0.7055397455401874
MSC07,0.8666666666666667,0.5398201669877971,0.8603796100280632,0.4684127370497044,1.0,0.8518518518518519,0.9259259259259258,0.3333333333333333,1.0,0.6243476273493996,0.6836206818987678,0.16019832861938127,0.046565610473257274,0.682441323192382
MSC10,0.72,0.5408695652173913,0.7005899831253414,0.46641399185801136,0.8333333333333333,0.6833333333333333,0.36666666666666664,0.4333333333333333,0.9,0.6025210825194534,0.6398338896882316,0.3637358986649203,0.05610663983903421,0.6908819471447938
