,train_sub,Analysis,acc,Network_A,Network_B
1,MSC02,Same Subject,0.9196428571428571,unassign,co
2,MSC03,Same Subject,0.8267857142857142,unassign,co
3,MSC04,Same Subject,0.8892857142857142,unassign,co
4,MSC05,Same Subject,0.942857142857143,unassign,co
5,MSC06,Same Subject,0.7928571428571427,unassign,co
6,MSC07,Same Subject,0.9357142857142857,unassign,co
7,MSC10,Same Subject,0.8589285714285715,unassign,co
8,MSC01,Different Subject,0.607704081632653,unassign,co
9,MSC02,Different Subject,0.6383673469387754,unassign,co
10,MSC03,Different Subject,0.601326530612245,unassign,co
11,MSC04,Different Subject,0.5286224489795918,unassign,co
12,MSC05,Different Subject,0.5892857142857143,unassign,co
13,MSC06,Different Subject,0.5376020408163265,unassign,co
14,MSC07,Different Subject,0.6060204081632653,unassign,co
15,MSC10,Different Subject,0.5801020408163265,unassign,co
0,MSC01,Same Subject,0.8678571428571428,unassign,sm
1,MSC02,Same Subject,0.8535714285714285,unassign,sm
2,MSC03,Same Subject,0.7982142857142858,unassign,sm
3,MSC04,Same Subject,0.8339285714285715,unassign,sm
4,MSC05,Same Subject,0.9053571428571427,unassign,sm
5,MSC06,Same Subject,0.8089285714285716,unassign,sm
6,MSC07,Same Subject,0.8339285714285715,unassign,sm
7,MSC10,Same Subject,0.8803571428571428,unassign,sm
8,MSC01,Different Subject,0.5515816326530613,unassign,sm
9,MSC02,Different Subject,0.5512244897959183,unassign,sm
10,MSC03,Different Subject,0.5265816326530613,unassign,sm
11,MSC04,Different Subject,0.5424489795918367,unassign,sm
12,MSC05,Different Subject,0.5136734693877552,unassign,sm
13,MSC06,Different Subject,0.5444897959183673,unassign,sm
14,MSC07,Different Subject,0.5684183673469387,unassign,sm
15,MSC10,Different Subject,0.5868877551020407,unassign,sm
0,MSC01,Same Subject,0.7874999999999999,unassign,sm-lat
1,MSC02,Same Subject,0.744642857142857,unassign,sm-lat
2,MSC03,Same Subject,0.5732142857142858,unassign,sm-lat
3,MSC04,Same Subject,0.7392857142857142,unassign,sm-lat
4,MSC05,Same Subject,0.6535714285714286,unassign,sm-lat
5,MSC06,Same Subject,0.65,unassign,sm-lat
6,MSC07,Same Subject,0.7589285714285715,unassign,sm-lat
7,MSC10,Same Subject,0.8678571428571428,unassign,sm-lat
8,MSC01,Different Subject,0.5516326530612244,unassign,sm-lat
9,MSC02,Different Subject,0.5150510204081632,unassign,sm-lat
10,MSC03,Different Subject,0.5420408163265306,unassign,sm-lat
11,MSC04,Different Subject,0.5375,unassign,sm-lat
12,MSC05,Different Subject,0.5331122448979592,unassign,sm-lat
13,MSC06,Different Subject,0.478469387755102,unassign,sm-lat
14,MSC07,Different Subject,0.5581122448979593,unassign,sm-lat
15,MSC10,Different Subject,0.5602551020408164,unassign,sm-lat
0,MSC01,Same Subject,0.7750000000000001,unassign,auditory
1,MSC02,Same Subject,0.8678571428571428,unassign,auditory
2,MSC03,Same Subject,0.8714285714285713,unassign,auditory
3,MSC04,Same Subject,0.7357142857142857,unassign,auditory
4,MSC05,Same Subject,0.7875,unassign,auditory
5,MSC06,Same Subject,0.8482142857142856,unassign,auditory
6,MSC07,Same Subject,0.85,unassign,auditory
7,MSC10,Same Subject,0.7982142857142857,unassign,auditory
8,MSC01,Different Subject,0.5395408163265306,unassign,auditory
9,MSC02,Different Subject,0.5392857142857143,unassign,auditory
10,MSC03,Different Subject,0.5421938775510204,unassign,auditory
11,MSC04,Different Subject,0.5453061224489796,unassign,auditory
12,MSC05,Different Subject,0.49668367346938774,unassign,auditory
13,MSC06,Different Subject,0.49586734693877554,unassign,auditory
14,MSC07,Different Subject,0.5632142857142858,unassign,auditory
15,MSC10,Different Subject,0.5615306122448979,unassign,auditory
0,MSC01,Same Subject,0.8660714285714286,unassign,pmn
1,MSC02,Same Subject,0.7892857142857144,unassign,pmn
2,MSC03,Same Subject,0.7178571428571429,unassign,pmn
3,MSC04,Same Subject,0.8321428571428571,unassign,pmn
4,MSC05,Same Subject,0.8285714285714286,unassign,pmn
5,MSC06,Same Subject,0.7375,unassign,pmn
6,MSC07,Same Subject,0.75,unassign,pmn
7,MSC10,Same Subject,0.7500000000000001,unassign,pmn
8,MSC01,Different Subject,0.5620918367346939,unassign,pmn
9,MSC02,Different Subject,0.5888775510204082,unassign,pmn
10,MSC03,Different Subject,0.5336224489795919,unassign,pmn
11,MSC04,Different Subject,0.5491326530612245,unassign,pmn
12,MSC05,Different Subject,0.5807653061224489,unassign,pmn
13,MSC06,Different Subject,0.5320408163265306,unassign,pmn
14,MSC07,Different Subject,0.6035204081632652,unassign,pmn
15,MSC10,Different Subject,0.6190306122448979,unassign,pmn
0,MSC01,Same Subject,0.8375000000000001,unassign,pon
1,MSC02,Same Subject,0.7142857142857143,unassign,pon
2,MSC03,Same Subject,0.6767857142857142,unassign,pon
3,MSC04,Same Subject,0.8142857142857143,unassign,pon
4,MSC05,Same Subject,0.7678571428571429,unassign,pon
5,MSC06,Same Subject,0.8660714285714286,unassign,pon
6,MSC07,Same Subject,0.7000000000000001,unassign,pon
7,MSC10,Same Subject,0.7285714285714286,unassign,pon
8,MSC01,Different Subject,0.5265816326530612,unassign,pon
9,MSC02,Different Subject,0.5314795918367347,unassign,pon
10,MSC03,Different Subject,0.5153061224489796,unassign,pon
11,MSC04,Different Subject,0.5475510204081633,unassign,pon
12,MSC05,Different Subject,0.530765306122449,unassign,pon
13,MSC06,Different Subject,0.5491836734693878,unassign,pon
14,MSC07,Different Subject,0.5156122448979591,unassign,pon
15,MSC10,Different Subject,0.5283163265306122,unassign,pon
0,MSC01,Same Subject,0.9410714285714284,default,visual
1,MSC02,Same Subject,0.8910714285714285,default,visual
2,MSC03,Same Subject,0.9357142857142857,default,visual
3,MSC04,Same Subject,0.9625000000000001,default,visual
4,MSC05,Same Subject,0.9839285714285714,default,visual
5,MSC06,Same Subject,0.9285714285714286,default,visual
6,MSC07,Same Subject,0.9267857142857142,default,visual
7,MSC10,Same Subject,0.8589285714285714,default,visual
8,MSC01,Different Subject,0.7268367346938776,default,visual
9,MSC02,Different Subject,0.6615816326530612,default,visual
10,MSC03,Different Subject,0.686122448979592,default,visual
11,MSC04,Different Subject,0.7197448979591837,default,visual
12,MSC05,Different Subject,0.6794897959183672,default,visual
13,MSC06,Different Subject,0.7214285714285714,default,visual
14,MSC07,Different Subject,0.6923469387755102,default,visual
15,MSC10,Different Subject,0.570969387755102,default,visual
0,MSC01,Same Subject,0.9625000000000001,default,fp
1,MSC02,Same Subject,0.9035714285714286,default,fp
2,MSC03,Same Subject,0.8392857142857142,default,fp
3,MSC04,Same Subject,0.9107142857142856,default,fp
4,MSC05,Same Subject,0.975,default,fp
5,MSC06,Same Subject,0.9982142857142857,default,fp
