,train_sub,test_sub,task,acc,Features
0,MSC01,MSC02,mixed,0.4500000000000001,10
1,MSC01,MSC02,motor,0.65,10
2,MSC01,MSC02,mem,0.4400000000000001,10
3,MSC01,MSC03,mixed,0.6400000000000001,10
4,MSC01,MSC03,motor,0.555,10
5,MSC01,MSC03,mem,0.48125,10
6,MSC01,MSC04,mixed,0.6550000000000001,10
7,MSC01,MSC04,motor,0.645,10
8,MSC01,MSC04,mem,0.58,10
9,MSC01,MSC05,mixed,0.4900000000000001,10
10,MSC01,MSC05,motor,0.42,10
11,MSC01,MSC05,mem,0.495,10
12,MSC01,MSC06,mixed,0.5,10
13,MSC01,MSC06,motor,0.3222222222222222,10
14,MSC01,MSC06,mem,0.74,10
15,MSC01,MSC07,mixed,0.6250000000000001,10
16,MSC01,MSC07,motor,0.4444444444444445,10
17,MSC01,MSC07,mem,0.495,10
18,MSC01,MSC10,mixed,0.345,10
19,MSC01,MSC10,motor,0.5549999999999999,10
20,MSC01,MSC10,mem,0.445,10
21,MSC02,MSC01,mixed,0.61,10
22,MSC02,MSC01,motor,0.575,10
23,MSC02,MSC01,mem,0.45,10
24,MSC02,MSC03,mixed,0.51,10
25,MSC02,MSC03,motor,0.7050000000000001,10
26,MSC02,MSC03,mem,0.44375,10
27,MSC02,MSC04,mixed,0.4600000000000001,10
28,MSC02,MSC04,motor,0.5599999999999999,10
29,MSC02,MSC04,mem,0.4900000000000001,10
30,MSC02,MSC05,mixed,0.535,10
31,MSC02,MSC05,motor,0.4900000000000001,10
32,MSC02,MSC05,mem,0.505,10
33,MSC02,MSC06,mixed,0.415,10
34,MSC02,MSC06,motor,0.5055555555555555,10
35,MSC02,MSC06,mem,0.4450000000000001,10
36,MSC02,MSC07,mixed,0.435,10
37,MSC02,MSC07,motor,0.5111111111111111,10
38,MSC02,MSC07,mem,0.35,10
39,MSC02,MSC10,mixed,0.5399999999999999,10
40,MSC02,MSC10,motor,0.5,10
41,MSC02,MSC10,mem,0.47,10
