train_sub,test_sub,task,acc
MSC07,MSC05,mixed,0.58
MSC07,MSC05,motor,0.9055555555555556
MSC07,MSC05,mem,0.9400000000000001
MSC07,MSC06,mixed,0.5499999999999999
MSC07,MSC06,motor,0.845679012345679
MSC07,MSC06,mem,0.96
MSC07,MSC10,mixed,0.675
MSC07,MSC10,motor,0.9111111111111112
MSC07,MSC10,mem,0.8699999999999999
MSC10,MSC01,mixed,0.515
MSC10,MSC01,motor,0.95
MSC10,MSC01,mem,0.9199999999999999
MSC10,MSC02,mixed,0.6849999999999999
MSC10,MSC02,motor,0.82
MSC10,MSC02,mem,0.78
MSC10,MSC03,mixed,0.625
MSC10,MSC03,motor,0.85
MSC10,MSC03,mem,0.76875
MSC10,MSC04,mixed,0.8549999999999999
MSC10,MSC04,motor,0.89
MSC10,MSC04,mem,0.8950000000000001
MSC10,MSC05,mixed,0.6900000000000002
MSC10,MSC05,motor,0.7799999999999999
MSC10,MSC05,mem,0.875
MSC10,MSC06,mixed,0.755
MSC10,MSC06,motor,0.5555555555555556
MSC10,MSC06,mem,0.975
MSC10,MSC07,mixed,0.6500000000000001
MSC10,MSC07,motor,0.8833333333333335
MSC10,MSC07,mem,0.7749999999999999
