Test_variables,MSC01,MSC02,MSC03,MSC04,MSC05,MSC06,MSC07,MSC10
MSC01,1.0,0.95,0.55,0.95,1.0,0.95,0.95,0.9
MSC02,0.9,1.0,0.6,0.95,0.8,1.0,0.75,0.8
MSC03,0.75,0.7,1.0,0.7,0.95,0.85,0.75,0.9
MSC04,0.9,1.0,0.85,1.0,0.8,1.0,1.0,0.9
MSC05,1.0,0.95,0.85,0.95,1.0,1.0,1.0,0.95
MSC06,0.95,0.95,0.95,1.0,1.0,1.0,1.0,1.0
MSC07,0.7,0.9,0.9,0.85,0.9,0.75,1.0,0.8
MSC08,0.75,0.75,0.8,0.75,0.55,0.85,0.65,0.85
MSC10,0.95,1.0,0.9,0.95,0.9,0.9,0.95,1.0
