Test_variables,MSC01,MSC02,MSC03,MSC04,MSC05,MSC06,MSC07,MSC10
MSC01,1.0,0.5,0.8,1.0,0.65,0.55,0.55,0.95
MSC02,0.95,1.0,1.0,1.0,0.9,0.8,0.6,0.9
MSC03,0.95,0.75,1.0,0.95,0.85,0.75,0.7,0.9
MSC04,1.0,0.6,0.95,1.0,0.75,0.75,0.8,1.0
MSC05,0.9,0.55,0.9,1.0,1.0,1.0,0.85,0.85
MSC06,0.8,0.55,0.8,0.95,0.75,1.0,0.85,0.7
MSC07,0.95,0.5,0.8,0.95,0.65,0.55,1.0,0.9
MSC10,1.0,0.5,0.75,1.0,0.7,0.55,0.85,1.0
