Test_variables,MSC01,MSC02,MSC03,MSC04,MSC05,MSC06,MSC07,MSC10
MSC01,1.0,0.7,0.5,0.75,0.85,0.6,0.95,0.5
MSC02,0.85,1.0,0.7,0.8,0.55,0.6,0.75,0.65
MSC03,0.55,0.75,1.0,0.75,0.75,0.55,0.6,0.6
MSC04,0.9,0.5,0.5,1.0,0.8,0.7,0.65,0.8
MSC05,0.9,0.65,0.85,0.9,1.0,0.65,0.5,0.75
MSC06,0.7,0.65,0.5,0.95,0.95,1.0,0.55,0.75
MSC07,0.55,0.85,0.55,0.5,0.9,0.95,1.0,0.6
MSC10,0.8,0.6,0.5,0.85,0.85,0.8,0.6,1.0
