train_task,test_task,train_sub,test_sub,acc,spec,sen
glass,semantic,MSC01,MSC02,0.5349999999999999,1.0,0.06999999999999999
glass,motor,MSC01,MSC02,0.5,1.0,0.0
glass,mem,MSC01,MSC02,0.5,1.0,0.0
semantic,glass,MSC01,MSC02,0.575,0.9700000000000001,0.18
semantic,motor,MSC01,MSC02,0.48500000000000004,0.9700000000000001,0.0
semantic,mem,MSC01,MSC02,0.5599999999999999,0.9700000000000001,0.14999999999999997
motor,glass,MSC01,MSC02,0.6799999999999999,0.9000000000000001,0.4600000000000001
motor,semantic,MSC01,MSC02,0.765,0.9000000000000001,0.6300000000000001
motor,mem,MSC01,MSC02,0.7150000000000001,0.9000000000000001,0.53
mem,glass,MSC01,MSC02,0.8099999999999999,0.8,0.8200000000000001
mem,semantic,MSC01,MSC02,0.7449999999999999,0.8,0.6899999999999998
mem,motor,MSC01,MSC02,0.7250000000000001,0.8,0.65
glass,semantic,MSC01,MSC03,0.59,1.0,0.18
glass,motor,MSC01,MSC03,0.53,1.0,0.06000000000000001
glass,mem,MSC01,MSC03,0.605,1.0,0.21000000000000002
semantic,glass,MSC01,MSC03,0.5,1.0,0.0
semantic,motor,MSC01,MSC03,0.5349999999999999,1.0,0.06999999999999999
semantic,mem,MSC01,MSC03,0.595,1.0,0.19
motor,glass,MSC01,MSC03,0.645,1.0,0.29
motor,semantic,MSC01,MSC03,0.8700000000000001,1.0,0.74
motor,mem,MSC01,MSC03,0.725,1.0,0.45
mem,glass,MSC01,MSC03,0.7000000000000001,0.5599999999999999,0.8400000000000001
mem,semantic,MSC01,MSC03,0.7000000000000001,0.5599999999999999,0.8400000000000002
mem,motor,MSC01,MSC03,0.76,0.5599999999999999,0.96
glass,semantic,MSC01,MSC04,0.655,1.0,0.31
glass,motor,MSC01,MSC04,0.545,1.0,0.09
glass,mem,MSC01,MSC04,0.5449999999999999,1.0,0.09000000000000001
semantic,glass,MSC01,MSC04,0.505,1.0,0.01
semantic,motor,MSC01,MSC04,0.5,1.0,0.0
semantic,mem,MSC01,MSC04,0.5,1.0,0.0
motor,glass,MSC01,MSC04,0.75,1.0,0.5
motor,semantic,MSC01,MSC04,0.7050000000000001,1.0,0.41
motor,mem,MSC01,MSC04,0.66,1.0,0.31999999999999995
mem,glass,MSC01,MSC04,0.8950000000000001,0.7999999999999999,0.99
mem,semantic,MSC01,MSC04,0.825,0.7999999999999999,0.8500000000000002
mem,motor,MSC01,MSC04,0.9000000000000001,0.7999999999999999,1.0
glass,semantic,MSC01,MSC05,0.62,1.0,0.24000000000000005
glass,motor,MSC01,MSC05,0.5449999999999999,1.0,0.09
glass,mem,MSC01,MSC05,0.5499999999999999,1.0,0.09999999999999999
semantic,glass,MSC01,MSC05,0.505,1.0,0.01
semantic,motor,MSC01,MSC05,0.505,1.0,0.01
semantic,mem,MSC01,MSC05,0.505,1.0,0.01
motor,glass,MSC01,MSC05,0.66,1.0,0.31999999999999995
motor,semantic,MSC01,MSC05,0.7699999999999999,1.0,0.5399999999999999
motor,mem,MSC01,MSC05,0.78,1.0,0.5599999999999999
mem,glass,MSC01,MSC05,0.5900000000000001,1.0,0.18
mem,semantic,MSC01,MSC05,0.8699999999999999,1.0,0.7400000000000001
mem,motor,MSC01,MSC05,0.7699999999999999,1.0,0.5400000000000001
glass,semantic,MSC01,MSC06,0.5299999999999999,1.0,0.06
glass,motor,MSC01,MSC06,0.5449999999999999,1.0,0.09
glass,mem,MSC01,MSC06,0.5,1.0,0.0
semantic,glass,MSC01,MSC06,0.5,1.0,0.0
semantic,motor,MSC01,MSC06,0.5449999999999999,1.0,0.09
