sub,mixed,motor,mem
MSC01,0.9,0.7,0.95
MSC02,0.7,0.8,0.65
MSC03,0.8,0.9,0.85
MSC04,0.9,0.85,1.0
MSC05,0.65,0.85,0.8
MSC06,0.85,0.9,0.75
MSC07,0.7,0.75,0.55
MSC10,0.9,0.95,0.7
