sub,glass,semantic,motor,mem
MSC01,0.85,1.0,0.95,1.0
MSC02,0.85,0.8,1.0,0.95
MSC03,0.85,0.85,1.0,1.0
MSC04,0.85,0.9,0.95,0.95
MSC05,0.9,0.85,1.0,1.0
MSC06,0.7777777777777778,0.8,0.95,0.85
MSC07,0.95,1.0,1.0,0.95
MSC10,0.9,0.8,0.95,0.95
