train_task,test_task,train_acc,test_acc
glass,semantic,0.5214285714285715,0.07142857142857142
glass,motor,0.5214285714285715,0.07142857142857142
glass,mem,0.5214285714285715,0.0
semantic,glass,0.6142857142857144,0.04285714285714286
semantic,motor,0.6142857142857144,0.02857142857142857
semantic,mem,0.6142857142857144,0.02857142857142857
motor,glass,0.742857142857143,0.04285714285714286
motor,semantic,0.742857142857143,0.0857142857142857
motor,mem,0.742857142857143,0.05714285714285714
mem,glass,0.8857142857142858,0.2857142857142857
mem,semantic,0.8857142857142858,0.41428571428571426
mem,motor,0.8857142857142858,0.37142857142857133
