sub,glass,semantic,motor,mem
MSC01,0.8,0.85,0.7,0.95
MSC02,0.7,0.65,0.8,0.65
MSC03,0.75,0.7,0.9,0.75
MSC04,0.95,0.95,0.85,1.0
MSC05,0.7,0.75,0.85,0.8
MSC06,0.7037037037037037,0.85,0.85,0.75
MSC07,0.65,0.8,0.7,0.55
MSC10,0.7,0.85,0.95,0.7
