,test_task,train_task,Mean,Std
0,glass,mem,0.5769742063492063,0.10368480032609803
1,glass,motor,0.5434325396825398,0.08583184478738404
2,glass,semantic,0.571954365079365,0.07157628715542985
3,mem,glass,0.5527777777777779,0.07628973362642003
4,mem,motor,0.5648214285714285,0.0893662753438408
5,mem,semantic,0.5998214285714285,0.09641748373003292
6,motor,glass,0.5879464285714288,0.1028979052075595
7,motor,mem,0.6025892857142857,0.1283142133111618
8,motor,semantic,0.5795535714285716,0.09707671186753794
9,semantic,glass,0.568769841269841,0.08304892303409851
10,semantic,mem,0.625625,0.13333506154183017
11,semantic,motor,0.5408928571428572,0.07670550023455792
