train_task,test_task,train_sub,test_sub,acc
mixed,motor,MSC01,MSC02,0.5849999999999999
mixed,mem,MSC01,MSC02,0.64
motor,mixed,MSC01,MSC02,0.5799999999999998
motor,mem,MSC01,MSC02,0.5349999999999999
mem,mixed,MSC01,MSC02,0.6199999999999999
mem,motor,MSC01,MSC02,0.49000000000000005
mixed,motor,MSC01,MSC03,0.5199999999999999
mixed,mem,MSC01,MSC03,0.55
motor,mixed,MSC01,MSC03,0.5
motor,mem,MSC01,MSC03,0.5125
mem,mixed,MSC01,MSC03,0.51
mem,motor,MSC01,MSC03,0.475
mixed,motor,MSC01,MSC04,0.55
mixed,mem,MSC01,MSC04,0.6199999999999999
motor,mixed,MSC01,MSC04,0.5850000000000001
motor,mem,MSC01,MSC04,0.635
mem,mixed,MSC01,MSC04,0.595
mem,motor,MSC01,MSC04,0.505
mixed,motor,MSC01,MSC05,0.5199999999999999
mixed,mem,MSC01,MSC05,0.5050000000000001
motor,mixed,MSC01,MSC05,0.525
motor,mem,MSC01,MSC05,0.5
mem,mixed,MSC01,MSC05,0.58
mem,motor,MSC01,MSC05,0.465
mixed,motor,MSC01,MSC06,0.5833333333333333
mixed,mem,MSC01,MSC06,0.5849999999999999
motor,mixed,MSC01,MSC06,0.55
motor,mem,MSC01,MSC06,0.5
mem,mixed,MSC01,MSC06,0.37
mem,motor,MSC01,MSC06,0.4722222222222222
mixed,motor,MSC01,MSC07,0.4722222222222222
mixed,mem,MSC01,MSC07,0.5399999999999999
motor,mixed,MSC01,MSC07,0.505
motor,mem,MSC01,MSC07,0.505
mem,mixed,MSC01,MSC07,0.575
mem,motor,MSC01,MSC07,0.55
mixed,motor,MSC01,MSC10,0.4950000000000001
mixed,mem,MSC01,MSC10,0.5449999999999999
motor,mixed,MSC01,MSC10,0.465
motor,mem,MSC01,MSC10,0.465
mem,mixed,MSC01,MSC10,0.4800000000000001
mem,motor,MSC01,MSC10,0.48500000000000004
mixed,motor,MSC02,MSC01,0.5549999999999999
mixed,mem,MSC02,MSC01,0.5199999999999999
motor,mixed,MSC02,MSC01,0.685
motor,mem,MSC02,MSC01,0.545
mem,mixed,MSC02,MSC01,0.5050000000000001
mem,motor,MSC02,MSC01,0.495
mixed,motor,MSC02,MSC03,0.5449999999999999
mixed,mem,MSC02,MSC03,0.55625
motor,mixed,MSC02,MSC03,0.6
motor,mem,MSC02,MSC03,0.6375
mem,mixed,MSC02,MSC03,0.43500000000000005
mem,motor,MSC02,MSC03,0.625
mixed,motor,MSC02,MSC04,0.75
mixed,mem,MSC02,MSC04,0.6799999999999999
motor,mixed,MSC02,MSC04,0.5200000000000001
motor,mem,MSC02,MSC04,0.58
mem,mixed,MSC02,MSC04,0.615
mem,motor,MSC02,MSC04,0.575
mixed,motor,MSC02,MSC05,0.5900000000000001
mixed,mem,MSC02,MSC05,0.6250000000000001
motor,mixed,MSC02,MSC05,0.6599999999999999
motor,mem,MSC02,MSC05,0.6900000000000002
mem,mixed,MSC02,MSC05,0.5599999999999999
mem,motor,MSC02,MSC05,0.45000000000000007
mixed,motor,MSC02,MSC06,0.75
mixed,mem,MSC02,MSC06,0.775
motor,mixed,MSC02,MSC06,0.665
motor,mem,MSC02,MSC06,0.72
mem,mixed,MSC02,MSC06,0.6650000000000001
mem,motor,MSC02,MSC06,0.6
mixed,motor,MSC02,MSC07,0.4833333333333334
mixed,mem,MSC02,MSC07,0.5149999999999999
motor,mixed,MSC02,MSC07,0.6500000000000001
motor,mem,MSC02,MSC07,0.505
mem,mixed,MSC02,MSC07,0.475
mem,motor,MSC02,MSC07,0.47222222222222215
mixed,motor,MSC02,MSC10,0.5499999999999999
mixed,mem,MSC02,MSC10,0.53
motor,mixed,MSC02,MSC10,0.7150000000000001
motor,mem,MSC02,MSC10,0.615
mem,mixed,MSC02,MSC10,0.45999999999999996
mem,motor,MSC02,MSC10,0.485
mixed,motor,MSC03,MSC01,0.505
mixed,mem,MSC03,MSC01,0.655
motor,mixed,MSC03,MSC01,0.41
motor,mem,MSC03,MSC01,0.53
mem,mixed,MSC03,MSC01,0.42500000000000004
mem,motor,MSC03,MSC01,0.45
mixed,motor,MSC03,MSC02,0.58
mixed,mem,MSC03,MSC02,0.5149999999999999
motor,mixed,MSC03,MSC02,0.645
motor,mem,MSC03,MSC02,0.615
mem,mixed,MSC03,MSC02,0.5625
mem,motor,MSC03,MSC02,0.59375
mixed,motor,MSC03,MSC04,0.5800000000000001
mixed,mem,MSC03,MSC04,0.5599999999999999
motor,mixed,MSC03,MSC04,0.58
motor,mem,MSC03,MSC04,0.6050000000000001
mem,mixed,MSC03,MSC04,0.475
mem,motor,MSC03,MSC04,0.475
mixed,motor,MSC03,MSC05,0.6499999999999999
mixed,mem,MSC03,MSC05,0.615
motor,mixed,MSC03,MSC05,0.57
motor,mem,MSC03,MSC05,0.6050000000000001
mem,mixed,MSC03,MSC05,0.5
mem,motor,MSC03,MSC05,0.49375
mixed,motor,MSC03,MSC06,0.6055555555555555
mixed,mem,MSC03,MSC06,0.67
motor,mixed,MSC03,MSC06,0.465
motor,mem,MSC03,MSC06,0.595
mem,mixed,MSC03,MSC06,0.48749999999999993
mem,motor,MSC03,MSC06,0.5833333333333333
mixed,motor,MSC03,MSC07,0.39999999999999997
mixed,mem,MSC03,MSC07,0.43500000000000005
motor,mixed,MSC03,MSC07,0.77
motor,mem,MSC03,MSC07,0.575
mem,mixed,MSC03,MSC07,0.70625
mem,motor,MSC03,MSC07,0.5208333333333334
mixed,motor,MSC03,MSC10,0.515
mixed,mem,MSC03,MSC10,0.45000000000000007
motor,mixed,MSC03,MSC10,0.465
motor,mem,MSC03,MSC10,0.5349999999999999
mem,mixed,MSC03,MSC10,0.56875
mem,motor,MSC03,MSC10,0.5375000000000001
mixed,motor,MSC04,MSC01,0.6549999999999999
mixed,mem,MSC04,MSC01,0.6699999999999999
motor,mixed,MSC04,MSC01,0.57
motor,mem,MSC04,MSC01,0.565
mem,mixed,MSC04,MSC01,0.505
mem,motor,MSC04,MSC01,0.5
mixed,motor,MSC04,MSC02,0.5000000000000001
mixed,mem,MSC04,MSC02,0.5549999999999999
motor,mixed,MSC04,MSC02,0.5249999999999999
motor,mem,MSC04,MSC02,0.48500000000000004
mem,mixed,MSC04,MSC02,0.575
mem,motor,MSC04,MSC02,0.515
mixed,motor,MSC04,MSC03,0.6199999999999999
mixed,mem,MSC04,MSC03,0.6125
motor,mixed,MSC04,MSC03,0.5449999999999999
motor,mem,MSC04,MSC03,0.49375
mem,mixed,MSC04,MSC03,0.5
mem,motor,MSC04,MSC03,0.56
mixed,motor,MSC04,MSC05,0.7799999999999999
mixed,mem,MSC04,MSC05,0.7749999999999999
motor,mixed,MSC04,MSC05,0.585
motor,mem,MSC04,MSC05,0.615
mem,mixed,MSC04,MSC05,0.5499999999999999
mem,motor,MSC04,MSC05,0.51
mixed,motor,MSC04,MSC06,0.5833333333333333
mixed,mem,MSC04,MSC06,0.665
motor,mixed,MSC04,MSC06,0.625
motor,mem,MSC04,MSC06,0.585
mem,mixed,MSC04,MSC06,0.6100000000000001
mem,motor,MSC04,MSC06,0.6111111111111112
mixed,motor,MSC04,MSC07,0.5611111111111111
mixed,mem,MSC04,MSC07,0.525
motor,mixed,MSC04,MSC07,0.625
motor,mem,MSC04,MSC07,0.53
mem,mixed,MSC04,MSC07,0.5349999999999999
mem,motor,MSC04,MSC07,0.43888888888888894
mixed,motor,MSC04,MSC10,0.575
mixed,mem,MSC04,MSC10,0.575
motor,mixed,MSC04,MSC10,0.6599999999999999
motor,mem,MSC04,MSC10,0.6900000000000001
mem,mixed,MSC04,MSC10,0.585
mem,motor,MSC04,MSC10,0.565
mixed,motor,MSC05,MSC01,0.55
mixed,mem,MSC05,MSC01,0.68
motor,mixed,MSC05,MSC01,0.63
motor,mem,MSC05,MSC01,0.51
mem,mixed,MSC05,MSC01,0.68
mem,motor,MSC05,MSC01,0.5549999999999999
mixed,motor,MSC05,MSC02,0.6699999999999999
mixed,mem,MSC05,MSC02,0.645
motor,mixed,MSC05,MSC02,0.51
motor,mem,MSC05,MSC02,0.44000000000000006
mem,mixed,MSC05,MSC02,0.62
mem,motor,MSC05,MSC02,0.6499999999999999
mixed,motor,MSC05,MSC03,0.51
mixed,mem,MSC05,MSC03,0.5
motor,mixed,MSC05,MSC03,0.6
motor,mem,MSC05,MSC03,0.60625
mem,mixed,MSC05,MSC03,0.605
mem,motor,MSC05,MSC03,0.5549999999999999
mixed,motor,MSC05,MSC04,0.64
mixed,mem,MSC05,MSC04,0.575
motor,mixed,MSC05,MSC04,0.6849999999999999
motor,mem,MSC05,MSC04,0.685
mem,mixed,MSC05,MSC04,0.6600000000000001
mem,motor,MSC05,MSC04,0.58
mixed,motor,MSC05,MSC06,0.5277777777777777
mixed,mem,MSC05,MSC06,0.605
motor,mixed,MSC05,MSC06,0.655
motor,mem,MSC05,MSC06,0.57
mem,mixed,MSC05,MSC06,0.655
mem,motor,MSC05,MSC06,0.5277777777777778
mixed,motor,MSC05,MSC07,0.40555555555555556
mixed,mem,MSC05,MSC07,0.51
motor,mixed,MSC05,MSC07,0.465
motor,mem,MSC05,MSC07,0.43499999999999994
mem,mixed,MSC05,MSC07,0.45500000000000007
mem,motor,MSC05,MSC07,0.3388888888888889
mixed,motor,MSC05,MSC10,0.575
mixed,mem,MSC05,MSC10,0.485
motor,mixed,MSC05,MSC10,0.595
motor,mem,MSC05,MSC10,0.48
mem,mixed,MSC05,MSC10,0.67
mem,motor,MSC05,MSC10,0.61
mixed,motor,MSC06,MSC01,0.5149999999999999
mixed,mem,MSC06,MSC01,0.5199999999999999
motor,mixed,MSC06,MSC01,0.5
motor,mem,MSC06,MSC01,0.5055555555555555
mem,mixed,MSC06,MSC01,0.6300000000000001
mem,motor,MSC06,MSC01,0.5399999999999999
mixed,motor,MSC06,MSC02,0.5
mixed,mem,MSC06,MSC02,0.5800000000000001
motor,mixed,MSC06,MSC02,0.5611111111111111
motor,mem,MSC06,MSC02,0.5388888888888889
