train_task,test_task,train_sub,test_sub,acc
mixed,motor,MSC01,MSC02,0.535
mixed,mem,MSC01,MSC02,0.5599999999999999
motor,mixed,MSC01,MSC02,0.64
motor,mem,MSC01,MSC02,0.635
mem,mixed,MSC01,MSC02,0.5250000000000001
mem,motor,MSC01,MSC02,0.56
mixed,motor,MSC01,MSC03,0.53
mixed,mem,MSC01,MSC03,0.6625
motor,mixed,MSC01,MSC03,0.5
motor,mem,MSC01,MSC03,0.575
mem,mixed,MSC01,MSC03,0.36999999999999994
mem,motor,MSC01,MSC03,0.475
mixed,motor,MSC01,MSC04,0.45500000000000007
mixed,mem,MSC01,MSC04,0.615
motor,mixed,MSC01,MSC04,0.5249999999999999
motor,mem,MSC01,MSC04,0.5449999999999999
mem,mixed,MSC01,MSC04,0.5050000000000001
mem,motor,MSC01,MSC04,0.53
mixed,motor,MSC01,MSC05,0.5000000000000001
mixed,mem,MSC01,MSC05,0.5650000000000001
motor,mixed,MSC01,MSC05,0.595
motor,mem,MSC01,MSC05,0.6599999999999999
mem,mixed,MSC01,MSC05,0.6450000000000002
mem,motor,MSC01,MSC05,0.725
mixed,motor,MSC01,MSC06,0.42222222222222217
mixed,mem,MSC01,MSC06,0.6
motor,mixed,MSC01,MSC06,0.485
motor,mem,MSC01,MSC06,0.5349999999999999
mem,mixed,MSC01,MSC06,0.505
mem,motor,MSC01,MSC06,0.5777777777777777
mixed,motor,MSC01,MSC07,0.5388888888888889
mixed,mem,MSC01,MSC07,0.52
motor,mixed,MSC01,MSC07,0.535
motor,mem,MSC01,MSC07,0.535
mem,mixed,MSC01,MSC07,0.46500000000000014
mem,motor,MSC01,MSC07,0.6833333333333333
mixed,motor,MSC01,MSC10,0.43
mixed,mem,MSC01,MSC10,0.4600000000000001
motor,mixed,MSC01,MSC10,0.5499999999999999
motor,mem,MSC01,MSC10,0.4600000000000001
mem,mixed,MSC01,MSC10,0.5899999999999999
mem,motor,MSC01,MSC10,0.6049999999999999
mixed,motor,MSC02,MSC01,0.665
mixed,mem,MSC02,MSC01,0.595
motor,mixed,MSC02,MSC01,0.73
motor,mem,MSC02,MSC01,0.625
mem,mixed,MSC02,MSC01,0.59
mem,motor,MSC02,MSC01,0.595
mixed,motor,MSC02,MSC03,0.5549999999999999
mixed,mem,MSC02,MSC03,0.46875
motor,mixed,MSC02,MSC03,0.5549999999999999
motor,mem,MSC02,MSC03,0.45
mem,mixed,MSC02,MSC03,0.48999999999999994
mem,motor,MSC02,MSC03,0.545
mixed,motor,MSC02,MSC04,0.7050000000000001
mixed,mem,MSC02,MSC04,0.55
motor,mixed,MSC02,MSC04,0.5050000000000001
motor,mem,MSC02,MSC04,0.495
mem,mixed,MSC02,MSC04,0.4800000000000001
mem,motor,MSC02,MSC04,0.49000000000000005
mixed,motor,MSC02,MSC05,0.69
mixed,mem,MSC02,MSC05,0.755
motor,mixed,MSC02,MSC05,0.6299999999999999
motor,mem,MSC02,MSC05,0.7050000000000002
mem,mixed,MSC02,MSC05,0.6900000000000001
mem,motor,MSC02,MSC05,0.6799999999999999
mixed,motor,MSC02,MSC06,0.6611111111111111
mixed,mem,MSC02,MSC06,0.71
motor,mixed,MSC02,MSC06,0.45
motor,mem,MSC02,MSC06,0.475
mem,mixed,MSC02,MSC06,0.5849999999999999
mem,motor,MSC02,MSC06,0.6166666666666666
mixed,motor,MSC02,MSC07,0.5555555555555556
mixed,mem,MSC02,MSC07,0.5449999999999999
motor,mixed,MSC02,MSC07,0.53
motor,mem,MSC02,MSC07,0.5349999999999999
mem,mixed,MSC02,MSC07,0.38500000000000006
mem,motor,MSC02,MSC07,0.55
mixed,motor,MSC02,MSC10,0.595
mixed,mem,MSC02,MSC10,0.585
motor,mixed,MSC02,MSC10,0.5199999999999999
motor,mem,MSC02,MSC10,0.6900000000000001
mem,mixed,MSC02,MSC10,0.5149999999999999
mem,motor,MSC02,MSC10,0.5449999999999999
mixed,motor,MSC03,MSC01,0.43500000000000005
mixed,mem,MSC03,MSC01,0.35
motor,mixed,MSC03,MSC01,0.44000000000000006
motor,mem,MSC03,MSC01,0.4000000000000001
mem,mixed,MSC03,MSC01,0.7
mem,motor,MSC03,MSC01,0.6875000000000001
mixed,motor,MSC03,MSC02,0.515
mixed,mem,MSC03,MSC02,0.43000000000000005
motor,mixed,MSC03,MSC02,0.48500000000000004
motor,mem,MSC03,MSC02,0.4600000000000001
mem,mixed,MSC03,MSC02,0.55625
mem,motor,MSC03,MSC02,0.55
mixed,motor,MSC03,MSC04,0.635
mixed,mem,MSC03,MSC04,0.4900000000000001
motor,mixed,MSC03,MSC04,0.45499999999999996
motor,mem,MSC03,MSC04,0.47000000000000003
mem,mixed,MSC03,MSC04,0.4875
mem,motor,MSC03,MSC04,0.525
mixed,motor,MSC03,MSC05,0.565
mixed,mem,MSC03,MSC05,0.545
motor,mixed,MSC03,MSC05,0.545
motor,mem,MSC03,MSC05,0.565
mem,mixed,MSC03,MSC05,0.45000000000000007
mem,motor,MSC03,MSC05,0.5125000000000001
mixed,motor,MSC03,MSC06,0.5333333333333333
mixed,mem,MSC03,MSC06,0.56
motor,mixed,MSC03,MSC06,0.36
motor,mem,MSC03,MSC06,0.49000000000000005
mem,mixed,MSC03,MSC06,0.48125
mem,motor,MSC03,MSC06,0.4652777777777778
mixed,motor,MSC03,MSC07,0.43888888888888883
mixed,mem,MSC03,MSC07,0.41000000000000003
motor,mixed,MSC03,MSC07,0.61
motor,mem,MSC03,MSC07,0.525
mem,mixed,MSC03,MSC07,0.5062499999999999
mem,motor,MSC03,MSC07,0.5902777777777779
mixed,motor,MSC03,MSC10,0.54
mixed,mem,MSC03,MSC10,0.45000000000000007
