train_task,test_task,train_sub,test_sub,acc
mem,motor,MSC03,MSC07,0.5069444444444445
mixed,motor,MSC03,MSC10,0.6299999999999999
mixed,mem,MSC03,MSC10,0.585
motor,mixed,MSC03,MSC10,0.5949999999999999
motor,mem,MSC03,MSC10,0.5199999999999999
mem,mixed,MSC03,MSC10,0.50625
mem,motor,MSC03,MSC10,0.5062500000000001
mixed,motor,MSC04,MSC01,0.6450000000000001
mixed,mem,MSC04,MSC01,0.6600000000000001
motor,mixed,MSC04,MSC01,0.44499999999999995
motor,mem,MSC04,MSC01,0.43000000000000005
mem,mixed,MSC04,MSC01,0.6700000000000002
mem,motor,MSC04,MSC01,0.5900000000000001
mixed,motor,MSC04,MSC02,0.41500000000000004
mixed,mem,MSC04,MSC02,0.52
motor,mixed,MSC04,MSC02,0.32999999999999996
motor,mem,MSC04,MSC02,0.265
mem,mixed,MSC04,MSC02,0.54
mem,motor,MSC04,MSC02,0.5399999999999999
mixed,motor,MSC04,MSC03,0.7150000000000001
mixed,mem,MSC04,MSC03,0.68125
motor,mixed,MSC04,MSC03,0.635
motor,mem,MSC04,MSC03,0.30625
mem,mixed,MSC04,MSC03,0.42000000000000004
mem,motor,MSC04,MSC03,0.51
mixed,motor,MSC04,MSC05,0.39
mixed,mem,MSC04,MSC05,0.43000000000000005
motor,mixed,MSC04,MSC05,0.4800000000000001
motor,mem,MSC04,MSC05,0.445
mem,mixed,MSC04,MSC05,0.545
mem,motor,MSC04,MSC05,0.445
mixed,motor,MSC04,MSC06,0.5888888888888889
mixed,mem,MSC04,MSC06,0.715
motor,mixed,MSC04,MSC06,0.5750000000000001
motor,mem,MSC04,MSC06,0.58
mem,mixed,MSC04,MSC06,0.42000000000000004
mem,motor,MSC04,MSC06,0.6611111111111112
mixed,motor,MSC04,MSC07,0.3722222222222222
mixed,mem,MSC04,MSC07,0.42000000000000004
motor,mixed,MSC04,MSC07,0.58
motor,mem,MSC04,MSC07,0.48999999999999994
mem,mixed,MSC04,MSC07,0.46500000000000014
mem,motor,MSC04,MSC07,0.5111111111111112
mixed,motor,MSC04,MSC10,0.62
mixed,mem,MSC04,MSC10,0.5599999999999999
motor,mixed,MSC04,MSC10,0.535
motor,mem,MSC04,MSC10,0.39
mem,mixed,MSC04,MSC10,0.45500000000000007
mem,motor,MSC04,MSC10,0.53
mixed,motor,MSC05,MSC01,0.6199999999999999
mixed,mem,MSC05,MSC01,0.575
motor,mixed,MSC05,MSC01,0.67
motor,mem,MSC05,MSC01,0.5750000000000001
mem,mixed,MSC05,MSC01,0.6449999999999999
mem,motor,MSC05,MSC01,0.7100000000000001
mixed,motor,MSC05,MSC02,0.4800000000000001
mixed,mem,MSC05,MSC02,0.565
motor,mixed,MSC05,MSC02,0.575
motor,mem,MSC05,MSC02,0.5700000000000001
mem,mixed,MSC05,MSC02,0.365
mem,motor,MSC05,MSC02,0.475
mixed,motor,MSC05,MSC03,0.66
mixed,mem,MSC05,MSC03,0.53125
motor,mixed,MSC05,MSC03,0.6149999999999999
motor,mem,MSC05,MSC03,0.7
mem,mixed,MSC05,MSC03,0.5599999999999999
mem,motor,MSC05,MSC03,0.665
mixed,motor,MSC05,MSC04,0.485
mixed,mem,MSC05,MSC04,0.5400000000000001
motor,mixed,MSC05,MSC04,0.445
motor,mem,MSC05,MSC04,0.53
mem,mixed,MSC05,MSC04,0.48500000000000004
mem,motor,MSC05,MSC04,0.40499999999999997
mixed,motor,MSC05,MSC06,0.4333333333333334
mixed,mem,MSC05,MSC06,0.45000000000000007
motor,mixed,MSC05,MSC06,0.6300000000000001
motor,mem,MSC05,MSC06,0.4950000000000001
mem,mixed,MSC05,MSC06,0.615
mem,motor,MSC05,MSC06,0.45000000000000007
mixed,motor,MSC05,MSC07,0.34444444444444444
mixed,mem,MSC05,MSC07,0.41500000000000004
motor,mixed,MSC05,MSC07,0.5199999999999999
motor,mem,MSC05,MSC07,0.54
mem,mixed,MSC05,MSC07,0.55
mem,motor,MSC05,MSC07,0.4166666666666667
mixed,motor,MSC05,MSC10,0.49000000000000005
mixed,mem,MSC05,MSC10,0.495
motor,mixed,MSC05,MSC10,0.52
motor,mem,MSC05,MSC10,0.565
mem,mixed,MSC05,MSC10,0.655
mem,motor,MSC05,MSC10,0.7150000000000001
mixed,motor,MSC06,MSC01,0.43000000000000005
mixed,mem,MSC06,MSC01,0.53
motor,mixed,MSC06,MSC01,0.41111111111111115
motor,mem,MSC06,MSC01,0.42777777777777776
mem,mixed,MSC06,MSC01,0.4600000000000001
mem,motor,MSC06,MSC01,0.515
mixed,motor,MSC06,MSC02,0.5799999999999998
mixed,mem,MSC06,MSC02,0.49000000000000005
motor,mixed,MSC06,MSC02,0.46111111111111114
motor,mem,MSC06,MSC02,0.5111111111111111
mem,mixed,MSC06,MSC02,0.49000000000000005
mem,motor,MSC06,MSC02,0.5249999999999999
mixed,motor,MSC06,MSC03,0.595
mixed,mem,MSC06,MSC03,0.5375
motor,mixed,MSC06,MSC03,0.46111111111111114
motor,mem,MSC06,MSC03,0.4513888888888889
mem,mixed,MSC06,MSC03,0.5250000000000001
mem,motor,MSC06,MSC03,0.59
