train,test,task,acc
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
MSC01,MSC02,Motor,
