,acc,train,test,train_task,test_task
0,0.9,MSC03,MSC04,motor,motor
1,0.95,MSC03,MSC04,motor,motor
2,0.95,MSC03,MSC04,motor,motor
3,0.95,MSC03,MSC04,motor,motor
4,0.95,MSC03,MSC04,motor,motor
5,0.95,MSC03,MSC04,motor,motor
6,0.95,MSC03,MSC04,motor,motor
7,0.95,MSC03,MSC04,motor,motor
8,0.95,MSC03,MSC04,motor,motor
9,0.85,MSC03,MSC04,motor,motor
