sub,mixed,motor,mem
MSC01,0.9,0.95,0.75
MSC02,0.75,0.5,0.75
MSC03,0.85,0.75,0.8
MSC04,0.9,0.85,0.7
MSC05,0.75,0.4,0.5
MSC06,0.7,0.85,0.7
MSC07,0.6,0.7,0.4
MSC10,0.85,0.5,0.65
