sub,task,acc,features
MSC10,glass,0.7,62
MSC10,motor,0.85,62
MSC10,mem,0.95,62
MSC01,semantic,0.8,46
MSC01,glass,0.75,46
MSC01,motor,0.75,46
MSC01,mem,0.8,46
MSC02,semantic,0.85,46
MSC02,glass,0.75,46
MSC02,motor,0.95,46
MSC02,mem,0.85,46
MSC03,semantic,0.75,46
MSC03,glass,0.75,46
MSC03,motor,0.9,46
MSC03,mem,0.85,46
MSC04,semantic,0.9,46
MSC04,glass,0.85,46
MSC04,motor,0.85,46
MSC04,mem,0.85,46
MSC05,semantic,0.9,46
MSC05,glass,0.8,46
MSC05,motor,0.95,46
MSC05,mem,0.95,46
MSC06,semantic,0.95,46
MSC06,glass,0.7222222222222222,46
MSC06,motor,0.75,46
MSC06,mem,0.85,46
MSC07,semantic,0.85,46
MSC07,glass,0.85,46
MSC07,motor,0.7,46
MSC07,mem,0.85,46
MSC10,semantic,0.65,46
MSC10,glass,0.85,46
MSC10,motor,0.9,46
MSC10,mem,0.8,46
MSC01,semantic,0.95,36
MSC01,glass,0.8,36
MSC01,motor,0.9,36
MSC01,mem,0.9,36
MSC02,semantic,0.75,36
MSC02,glass,0.85,36
MSC02,motor,1.0,36
MSC02,mem,0.9,36
MSC03,semantic,0.8,36
MSC03,glass,0.75,36
MSC03,motor,0.9,36
MSC03,mem,0.8,36
MSC04,semantic,0.9,36
MSC04,glass,0.9,36
MSC04,motor,0.95,36
MSC04,mem,0.95,36
MSC05,semantic,0.9,36
MSC05,glass,0.7,36
MSC05,motor,0.95,36
MSC05,mem,0.95,36
MSC06,semantic,0.9,36
MSC06,glass,0.8888888888888888,36
MSC06,motor,0.85,36
MSC06,mem,0.95,36
MSC07,semantic,0.75,36
MSC07,glass,0.75,36
MSC07,motor,0.85,36
MSC07,mem,0.55,36
MSC10,semantic,0.95,36
MSC10,glass,0.8,36
MSC10,motor,1.0,36
MSC10,mem,1.0,36
MSC01,semantic,1.0,121
MSC01,glass,0.7,121
MSC01,motor,0.85,121
MSC01,mem,1.0,121
MSC02,semantic,0.9,121
MSC02,glass,0.7,121
MSC02,motor,0.95,121
MSC02,mem,0.9,121
MSC03,semantic,0.9,121
MSC03,glass,0.9,121
MSC03,motor,1.0,121
MSC03,mem,0.95,121
MSC04,semantic,0.85,121
MSC04,glass,0.85,121
MSC04,motor,0.9,121
MSC04,mem,1.0,121
MSC05,semantic,0.9,121
MSC05,glass,0.9,121
MSC05,motor,1.0,121
MSC05,mem,1.0,121
MSC06,semantic,0.85,121
MSC06,glass,0.7777777777777778,121
MSC06,motor,0.9,121
MSC06,mem,1.0,121
MSC07,semantic,0.95,121
MSC07,glass,0.8,121
MSC07,motor,0.9,121
MSC07,mem,0.85,121
MSC10,semantic,0.95,121
MSC10,glass,0.8,121
MSC10,motor,0.85,121
MSC10,mem,0.85,121
MSC01,semantic,0.95,88
MSC01,glass,0.9,88
MSC01,motor,1.0,88
MSC01,mem,1.0,88
MSC02,semantic,0.85,88
MSC02,glass,0.9,88
MSC02,motor,0.9,88
MSC02,mem,0.95,88
MSC03,semantic,0.85,88
MSC03,glass,0.8,88
MSC03,motor,0.9,88
MSC03,mem,0.95,88
MSC04,semantic,1.0,88
MSC04,glass,0.95,88
MSC04,motor,1.0,88
MSC04,mem,1.0,88
MSC05,semantic,1.0,88
MSC05,glass,0.85,88
MSC05,motor,0.9,88
MSC05,mem,0.95,88
MSC06,semantic,0.8,88
MSC06,glass,0.7407407407407407,88
MSC06,motor,1.0,88
MSC06,mem,1.0,88
MSC07,semantic,0.9,88
MSC07,glass,0.9,88
MSC07,motor,0.9,88
MSC07,mem,0.95,88
