sub,semantic,glass,motor,mem
MSC01,0.8,0.9,0.95,0.85
MSC02,0.75,0.75,0.85,0.7
MSC03,0.6,0.6,0.95,0.8
MSC04,0.9,0.9,0.85,0.8
MSC05,0.85,0.95,0.8,1.0
MSC06,0.8,0.7407407407407407,0.85,0.9
MSC07,0.85,0.8,0.75,0.75
MSC10,0.85,0.75,0.75,0.85
