sub,semantic,glass,motor,mem
MSC01,0.7,0.75,0.65,0.65
MSC02,0.55,0.5,0.5,0.55
MSC03,0.6,0.7,0.75,0.6
MSC04,0.5,0.4,0.75,0.8
MSC05,0.8,0.65,0.85,0.8
MSC06,0.65,0.6851851851851851,0.65,0.7
MSC07,0.95,0.85,0.8,0.8
MSC10,0.8,0.9,1.0,0.6
