sub,task,acc,features
MSC04,glass,0.9,10
MSC04,motor,0.7,10
MSC04,mem,0.85,10
MSC05,semantic,0.7,10
MSC05,glass,0.75,10
MSC05,motor,0.85,10
MSC05,mem,0.85,10
MSC06,semantic,0.75,10
MSC06,glass,0.5,10
MSC06,motor,0.9444444444444444,10
MSC06,mem,0.8,10
MSC07,semantic,0.8,10
MSC07,glass,0.7,10
MSC07,motor,0.8888888888888888,10
MSC07,mem,0.4,10
MSC10,semantic,0.85,10
MSC10,glass,0.8,10
MSC10,motor,0.8,10
MSC10,mem,0.7,10
MSC01,semantic,0.8,10
MSC01,glass,0.75,10
MSC01,motor,0.9,10
MSC01,mem,0.95,10
MSC02,semantic,0.8,10
MSC02,glass,0.6,10
MSC02,motor,0.85,10
MSC02,mem,0.55,10
MSC03,semantic,0.8,10
MSC03,glass,0.65,10
MSC03,motor,0.9,10
MSC03,mem,0.8125,10
MSC04,semantic,0.85,10
MSC04,glass,0.8,10
MSC04,motor,0.9,10
MSC04,mem,0.9,10
MSC05,semantic,1.0,10
MSC05,glass,0.65,10
MSC05,motor,0.8,10
MSC05,mem,0.95,10
MSC06,semantic,0.65,10
MSC06,glass,0.7777777777777778,10
MSC06,motor,0.7777777777777778,10
MSC06,mem,0.8,10
MSC07,semantic,0.6,10
MSC07,glass,0.75,10
MSC07,motor,0.6851851851851851,10
MSC07,mem,0.45,10
MSC10,semantic,0.65,10
MSC10,glass,0.75,10
MSC10,motor,0.8,10
MSC10,mem,0.65,10
MSC01,semantic,0.95,10
MSC01,glass,0.7,10
MSC01,motor,0.75,10
MSC01,mem,0.7,10
MSC02,semantic,0.95,10
MSC02,glass,0.5,10
MSC02,motor,0.85,10
MSC02,mem,0.85,10
MSC03,semantic,0.9,10
MSC03,glass,0.9,10
MSC03,motor,1.0,10
MSC03,mem,0.8333333333333333,10
MSC04,semantic,0.85,10
MSC04,glass,0.6,10
MSC04,motor,0.75,10
MSC04,mem,0.95,10
MSC05,semantic,0.95,10
MSC05,glass,0.9,10
MSC05,motor,0.95,10
MSC05,mem,0.95,10
MSC06,semantic,0.7,10
MSC06,glass,0.6851851851851851,10
MSC06,motor,0.8888888888888888,10
MSC06,mem,0.85,10
MSC07,semantic,0.8,10
MSC07,glass,0.6,10
MSC07,motor,0.9444444444444444,10
MSC07,mem,0.7,10
MSC10,semantic,0.75,10
MSC10,glass,0.85,10
MSC10,motor,0.9,10
MSC10,mem,0.85,10
MSC01,semantic,1.0,10
MSC01,glass,0.75,10
MSC01,motor,0.8,10
MSC01,mem,0.7,10
MSC02,semantic,0.65,10
MSC02,glass,0.7,10
MSC02,motor,0.95,10
MSC02,mem,0.8,10
MSC03,semantic,0.85,10
MSC03,glass,0.75,10
MSC03,motor,0.85,10
MSC03,mem,0.75,10
MSC04,semantic,0.85,10
MSC04,glass,0.8,10
MSC04,motor,0.75,10
MSC04,mem,0.7,10
MSC05,semantic,0.95,10
MSC05,glass,0.85,10
MSC05,motor,0.75,10
MSC05,mem,0.95,10
MSC06,semantic,0.75,10
MSC06,glass,0.7222222222222222,10
MSC06,motor,0.9444444444444444,10
MSC06,mem,0.8,10
MSC07,semantic,0.9,10
MSC07,glass,0.9,10
MSC07,motor,0.9074074074074073,10
MSC07,mem,0.75,10
MSC10,semantic,0.5,10
MSC10,glass,0.4,10
MSC10,motor,0.85,10
MSC10,mem,0.45,10
MSC01,semantic,0.95,10
MSC01,glass,0.9,10
MSC01,motor,0.85,10
MSC01,mem,0.9,10
MSC02,semantic,0.9,10
MSC02,glass,0.5,10
MSC02,motor,0.7,10
MSC02,mem,0.95,10
MSC03,semantic,0.75,10
MSC03,glass,0.7,10
MSC03,motor,0.85,10
MSC03,mem,0.8125,10
MSC04,semantic,0.9,10
MSC04,glass,0.55,10
MSC04,motor,0.5,10
MSC04,mem,0.85,10
MSC05,semantic,0.95,10
MSC05,glass,0.8,10
MSC05,motor,0.9,10
MSC05,mem,0.95,10
MSC06,semantic,0.8,10
MSC06,glass,0.6666666666666666,10
MSC06,motor,0.7222222222222222,10
MSC06,mem,0.75,10
MSC07,semantic,0.8,10
MSC07,glass,0.7,10
MSC07,motor,0.6296296296296295,10
MSC07,mem,0.95,10
MSC10,semantic,0.7,10
MSC10,glass,0.5,10
MSC10,motor,0.5,10
MSC10,mem,0.6,10
MSC01,semantic,0.8,10
MSC01,glass,0.7,10
MSC01,motor,0.8,10
MSC01,mem,0.7,10
MSC02,semantic,0.85,10
