sub,semantic,glass,motor,mem
MSC01,0.9,0.75,0.8,0.95
MSC02,0.85,0.7,0.9,0.9
MSC03,0.9,0.9,0.9,0.75
MSC04,0.95,0.9,0.8,1.0
MSC05,0.95,0.85,0.95,0.95
MSC06,0.85,0.7222222222222222,0.95,0.85
MSC07,0.9,0.9,1.0,0.8
MSC10,0.85,0.85,1.0,0.95
