sub,semantic,glass,motor,mem
MSC01,0.95,0.7,0.95,1.0
MSC02,0.8,0.85,0.85,0.95
MSC03,0.7,0.9,0.9,0.8
MSC04,0.9,0.9,0.8,1.0
MSC05,0.85,0.95,0.95,1.0
MSC06,0.8,0.7222222222222222,0.9,0.9
MSC07,0.95,0.95,0.95,1.0
MSC10,0.85,0.85,0.9,0.95
