sub,task,acc,features,Null_Network
MSC03,motor,0.95,10824,default
MSC03,mem,1.0,10824,default
MSC04,semantic,0.95,10824,default
MSC04,glass,1.0,10824,default
MSC04,motor,1.0,10824,default
MSC04,mem,1.0,10824,default
MSC05,semantic,0.95,10824,default
MSC05,glass,0.9,10824,default
MSC05,motor,1.0,10824,default
MSC05,mem,1.0,10824,default
MSC06,semantic,0.95,10824,default
MSC06,glass,0.7777777777777778,10824,default
MSC06,motor,1.0,10824,default
MSC06,mem,1.0,10824,default
MSC07,semantic,1.0,10824,default
MSC07,glass,0.95,10824,default
MSC07,motor,1.0,10824,default
MSC07,mem,1.0,10824,default
MSC10,semantic,0.9,10824,default
MSC10,glass,0.85,10824,default
MSC10,motor,0.95,10824,default
MSC10,mem,1.0,10824,default
MSC01,semantic,0.95,10824,default
MSC01,glass,0.9,10824,default
MSC01,motor,1.0,10824,default
MSC01,mem,1.0,10824,default
MSC02,semantic,0.95,10824,default
MSC02,glass,0.8,10824,default
MSC02,motor,0.95,10824,default
MSC02,mem,1.0,10824,default
MSC03,semantic,0.9,10824,default
MSC03,glass,0.95,10824,default
MSC03,motor,0.95,10824,default
MSC03,mem,1.0,10824,default
MSC04,semantic,0.95,10824,default
MSC04,glass,0.95,10824,default
MSC04,motor,1.0,10824,default
MSC04,mem,1.0,10824,default
MSC05,semantic,0.95,10824,default
MSC05,glass,0.95,10824,default
MSC05,motor,1.0,10824,default
MSC05,mem,1.0,10824,default
MSC06,semantic,0.9,10824,default
MSC06,glass,0.7777777777777778,10824,default
MSC06,motor,1.0,10824,default
MSC06,mem,1.0,10824,default
MSC07,semantic,1.0,10824,default
MSC07,glass,0.9,10824,default
MSC07,motor,1.0,10824,default
MSC07,mem,1.0,10824,default
MSC10,semantic,0.9,10824,default
MSC10,glass,0.85,10824,default
MSC10,motor,0.95,10824,default
MSC10,mem,0.95,10824,default
MSC01,semantic,0.95,8736,visual
MSC01,glass,0.9,8736,visual
MSC01,motor,1.0,8736,visual
MSC01,mem,1.0,8736,visual
MSC02,semantic,0.95,8736,visual
MSC02,glass,0.85,8736,visual
MSC02,motor,0.95,8736,visual
MSC02,mem,1.0,8736,visual
MSC03,semantic,0.9,8736,visual
MSC03,glass,0.9,8736,visual
MSC03,motor,0.95,8736,visual
MSC03,mem,1.0,8736,visual
MSC04,semantic,0.95,8736,visual
MSC04,glass,1.0,8736,visual
MSC04,motor,1.0,8736,visual
MSC04,mem,1.0,8736,visual
MSC05,semantic,0.95,8736,visual
MSC05,glass,0.9,8736,visual
MSC05,motor,1.0,8736,visual
MSC05,mem,1.0,8736,visual
MSC06,semantic,0.95,8736,visual
MSC06,glass,0.7777777777777778,8736,visual
MSC06,motor,1.0,8736,visual
MSC06,mem,1.0,8736,visual
MSC07,semantic,1.0,8736,visual
MSC07,glass,0.95,8736,visual
MSC07,motor,1.0,8736,visual
MSC07,mem,1.0,8736,visual
MSC10,semantic,0.9,8736,visual
MSC10,glass,0.85,8736,visual
MSC10,motor,0.95,8736,visual
MSC10,mem,1.0,8736,visual
MSC01,semantic,0.95,8736,visual
MSC01,glass,0.9,8736,visual
MSC01,motor,1.0,8736,visual
MSC01,mem,1.0,8736,visual
MSC02,semantic,0.95,8736,visual
MSC02,glass,0.85,8736,visual
MSC02,motor,0.95,8736,visual
MSC02,mem,1.0,8736,visual
MSC03,semantic,0.9,8736,visual
MSC03,glass,0.85,8736,visual
MSC03,motor,0.95,8736,visual
MSC03,mem,1.0,8736,visual
MSC04,semantic,0.95,8736,visual
MSC04,glass,0.95,8736,visual
MSC04,motor,1.0,8736,visual
MSC04,mem,1.0,8736,visual
MSC05,semantic,0.95,8736,visual
MSC05,glass,0.95,8736,visual
MSC05,motor,1.0,8736,visual
MSC05,mem,1.0,8736,visual
MSC06,semantic,1.0,8736,visual
MSC06,glass,0.8333333333333334,8736,visual
MSC06,motor,1.0,8736,visual
MSC06,mem,1.0,8736,visual
MSC07,semantic,1.0,8736,visual
MSC07,glass,0.85,8736,visual
MSC07,motor,1.0,8736,visual
MSC07,mem,0.95,8736,visual
MSC10,semantic,0.9,8736,visual
MSC10,glass,0.85,8736,visual
MSC10,motor,0.95,8736,visual
MSC10,mem,1.0,8736,visual
MSC01,semantic,0.95,8736,visual
MSC01,glass,0.85,8736,visual
MSC01,motor,1.0,8736,visual
MSC01,mem,1.0,8736,visual
MSC02,semantic,0.95,8736,visual
MSC02,glass,0.8,8736,visual
MSC02,motor,0.95,8736,visual
MSC02,mem,1.0,8736,visual
MSC03,semantic,0.9,8736,visual
MSC03,glass,0.9,8736,visual
MSC03,motor,0.95,8736,visual
MSC03,mem,0.95,8736,visual
MSC04,semantic,0.95,8736,visual
MSC04,glass,0.95,8736,visual
MSC04,motor,1.0,8736,visual
MSC04,mem,1.0,8736,visual
MSC05,semantic,0.95,8736,visual
MSC05,glass,0.95,8736,visual
MSC05,motor,1.0,8736,visual
MSC05,mem,1.0,8736,visual
MSC06,semantic,1.0,8736,visual
MSC06,glass,0.8333333333333334,8736,visual
MSC06,motor,1.0,8736,visual
MSC06,mem,1.0,8736,visual
MSC07,semantic,1.0,8736,visual
MSC07,glass,0.9,8736,visual
MSC07,motor,1.0,8736,visual
MSC07,mem,1.0,8736,visual
MSC10,semantic,0.9,8736,visual
MSC10,glass,0.8,8736,visual
MSC10,motor,0.95,8736,visual
MSC10,mem,1.0,8736,visual
MSC01,semantic,0.95,8736,visual
MSC01,glass,0.9,8736,visual
MSC01,motor,1.0,8736,visual
MSC01,mem,1.0,8736,visual
MSC02,semantic,0.9,8736,visual
MSC02,glass,0.8,8736,visual
MSC02,motor,0.95,8736,visual
MSC02,mem,1.0,8736,visual
MSC03,semantic,0.9,8736,visual
MSC03,glass,0.9,8736,visual
MSC03,motor,0.95,8736,visual
MSC03,mem,0.95,8736,visual
MSC04,semantic,0.95,8736,visual
MSC04,glass,0.95,8736,visual
MSC04,motor,1.0,8736,visual
MSC04,mem,1.0,8736,visual
MSC05,semantic,0.95,8736,visual
MSC05,glass,0.9,8736,visual
MSC05,motor,1.0,8736,visual
MSC05,mem,1.0,8736,visual
MSC06,semantic,1.0,8736,visual
