Network,task,train,same_sub,feature,mu,std,z_score
pmn,semantic,MSC02,0.65,45,0.833,0.085640781373966,-2.136832442021953
pmn,semantic,MSC03,0.7,45,0.8144999999999999,0.08235639475824424,-1.3902988387982824
pmn,semantic,MSC04,0.95,45,0.8720000000000004,0.07531750973530173,1.0356157588603927
pmn,semantic,MSC05,0.75,45,0.8895000000000004,0.0697379655452024,-2.0003451335209945
pmn,semantic,MSC06,0.85,45,0.8095000000000003,0.09839494731217482,0.41160650121094594
pmn,semantic,MSC07,0.8,45,0.8785000000000006,0.08048307432327155,-0.9753603557027943
pmn,semantic,MSC10,0.85,45,0.7610000000000001,0.10114995368912992,0.879881767158577
sm-lat,glass,MSC01,0.75,316,0.8734999999999996,0.04684759299790085,-2.636208011915007
sm-lat,glass,MSC02,0.7,316,0.8059999999999996,0.07081060241334917,-1.4969509704385255
sm-lat,glass,MSC03,0.6,316,0.8594999999999996,0.05109656138977053,-5.078619635879279
sm-lat,glass,MSC04,0.7,316,0.9315000000000008,0.04854186987862264,-4.769078747457793
sm-lat,glass,MSC05,0.75,316,0.9205000000000005,0.052269213759829077,-3.2619583830632712
sm-lat,glass,MSC06,0.5,316,0.8049999999999996,0.06292086134477282,-4.847358943940103
sm-lat,glass,MSC07,0.95,316,0.8895000000000006,0.054260408394997524,1.1149934508339798
sm-lat,glass,MSC10,0.85,316,0.8344999999999996,0.061830249861858054,0.2506863555400585
sm-lat,mem,MSC01,0.95,316,0.9915000000000004,0.022535045658446856,-1.8415760335699562
sm-lat,mem,MSC02,0.9,316,0.9580000000000006,0.04065126384905213,-1.4267699084429082
sm-lat,mem,MSC03,0.85,316,0.92375,0.057966922821675995,-1.2722772990189175
sm-lat,mem,MSC04,0.75,316,0.9830000000000001,0.031956409704660536,-7.291182024306669
sm-lat,mem,MSC05,0.9,316,1.0,0.0,0.0
sm-lat,mem,MSC06,0.75,316,0.9770000000000006,0.03788605990801282,-5.991649713671879
sm-lat,mem,MSC07,0.75,316,0.9520000000000012,0.04199567077254943,-4.810019611165228
sm-lat,mem,MSC10,1.0,316,0.9525000000000007,0.04626177163870308,1.0267656926536797
sm-lat,motor,MSC01,1.0,316,0.9870000000000005,0.0231595258233764,0.5613241004648601
sm-lat,motor,MSC02,0.85,316,0.9285000000000012,0.034999999999999976,-2.2428571428571797
sm-lat,motor,MSC03,0.95,316,0.9675000000000011,0.02694457461178597,-0.6494813984684847
sm-lat,motor,MSC04,0.8,316,0.9815000000000006,0.02811861599824155,-6.4547984869294766
sm-lat,motor,MSC05,1.0,316,0.9870000000000004,0.02315952582337637,0.5613241004648656
sm-lat,motor,MSC06,0.8,316,0.9877777777777775,0.025684299723290994,-7.310994646566017
sm-lat,motor,MSC07,0.85,316,0.9344444444444433,0.04891897859870484,-1.72621029431467
sm-lat,motor,MSC10,1.0,316,0.952500000000001,0.03579896166882018,1.326854126089642
sm-lat,semantic,MSC01,0.85,316,0.9465000000000015,0.028652392499747676,-3.367956096540674
sm-lat,semantic,MSC02,0.8,316,0.8895000000000003,0.04454880424428874,-2.0090325996005687
sm-lat,semantic,MSC03,0.65,316,0.8624999999999997,0.06251262498750379,-3.399313339385096
sm-lat,semantic,MSC04,0.6,316,0.9300000000000014,0.030151134457776337,-10.944861808172876
sm-lat,semantic,MSC05,0.75,316,0.9555000000000012,0.03473928873506452,-5.915492443360745
sm-lat,semantic,MSC06,0.6,316,0.8930000000000002,0.05861188902734269,-4.998985783640492
sm-lat,semantic,MSC07,0.85,316,0.9810000000000003,0.033166247903554005,-3.9497986139687127
sm-lat,semantic,MSC10,0.85,316,0.8304999999999996,0.06509317331426707,0.2995705848577275
salience,glass,MSC01,0.8,494,0.8740000000000001,0.0429234695990928,-1.7239985651477734
salience,glass,MSC02,0.7,494,0.8194999999999993,0.05360489575108646,-2.229273993086301
salience,glass,MSC03,0.85,494,0.8589999999999999,0.04891757652346744,-0.1839829492714605
salience,glass,MSC04,0.9,494,0.9465000000000012,0.03973078596674562,-1.1703770481389764
salience,glass,MSC05,0.85,494,0.9145000000000009,0.04729821573929836,-1.3636878049589976
salience,glass,MSC06,0.7222222222222222,494,0.8099999999999992,0.06567728240888576,-1.3365013678748243
salience,glass,MSC07,0.95,494,0.8950000000000001,0.04578165130223675,1.20135465706351
salience,glass,MSC10,0.65,494,0.8369999999999996,0.05578638912961844,-3.352072125792355
salience,mem,MSC01,0.85,494,0.9975,0.010952145677879513,-13.467680611472483
salience,mem,MSC02,0.9,494,0.9750000000000008,0.03295236844080539,-2.2760124248649505
salience,mem,MSC03,1.0,494,0.936875,0.053665366773265326,1.1762707272029156
salience,mem,MSC04,0.9,494,0.9925000000000003,0.020566472667421558,-4.49761130631435
salience,mem,MSC05,1.0,494,1.0,0.0,0.0
salience,mem,MSC06,0.9,494,0.9820000000000004,0.029746402889231596,-2.7566358293925
salience,mem,MSC07,0.95,494,0.958000000000001,0.03673547263197999,-0.21777316111176487
salience,mem,MSC10,0.75,494,0.9560000000000006,0.03974667256259298,-5.182823786710503
salience,motor,MSC01,0.9,494,0.9945000000000002,0.018660983983496773,-5.0640416434403015
salience,motor,MSC02,0.9,494,0.9305000000000014,0.030063065026505152,-1.0145339463261993
salience,motor,MSC03,0.95,494,0.968500000000001,0.02811861599824157,-0.6579271185024893
salience,motor,MSC04,0.8,494,0.9930000000000001,0.018829377433825435,-10.249940587695233
salience,motor,MSC05,0.95,494,0.9940000000000003,0.016329931618554547,-2.6944387170615145
salience,motor,MSC06,0.85,494,0.9966666666666666,0.013260180920885664,-11.060683677072376
salience,motor,MSC07,0.85,494,0.9416666666666658,0.04891579200595164,-1.8739687717928106
salience,motor,MSC10,0.8,494,0.959500000000001,0.02532116932848122,-6.299077184425112
salience,semantic,MSC01,0.9,494,0.9480000000000015,0.02651471861118467,-1.8103152706947345
salience,semantic,MSC02,0.85,494,0.9050000000000002,0.042935234288802256,-1.28099918193167
salience,semantic,MSC03,0.8,494,0.8800000000000004,0.0492365963917331,-1.6248076809272
salience,semantic,MSC04,0.9,494,0.9335000000000013,0.027574508796233053,-1.214890181636807
salience,semantic,MSC05,1.0,494,0.9660000000000012,0.027413776673693702,1.2402523156404515
salience,semantic,MSC06,0.8,494,0.9170000000000009,0.054225492532609075,-2.157656750275559
salience,semantic,MSC07,0.9,494,0.9835000000000005,0.027574508796233084,-3.028159109452832
salience,semantic,MSC10,0.75,494,0.8454999999999997,0.05463145577042551,-1.7480771590878637
auditory,glass,MSC01,0.95,564,0.8870000000000001,0.03932511470376973,1.602029656482111
auditory,glass,MSC02,0.75,564,0.8225,0.06793304784785524,-1.067227252373146
auditory,glass,MSC03,0.75,564,0.8634999999999995,0.05358604899098876,-2.1180886095760876
auditory,glass,MSC04,0.75,564,0.9475000000000009,0.041056133044967365,-4.810487139246309
auditory,glass,MSC05,0.7,564,0.9200000000000008,0.04082482904638632,-5.38887743412301
auditory,glass,MSC06,0.8333333333333334,564,0.808333333333333,0.05548536531204376,0.45056926018965593
auditory,glass,MSC07,0.9,564,0.8860000000000007,0.04554939598663711,0.3073586311464272
auditory,glass,MSC10,0.85,564,0.8369999999999993,0.05155168045346101,0.2521741267335913
auditory,mem,MSC01,0.9,564,0.9975,0.010952145677879515,-8.902365149956385
auditory,mem,MSC02,0.8,564,0.9840000000000007,0.026476595344003394,-6.94953401709462
auditory,mem,MSC03,0.85,564,0.935,0.05018903659106633,-1.6935969640654571
auditory,mem,MSC04,0.75,564,0.9970000000000002,0.011934162828797121,-20.69688536543087
auditory,mem,MSC05,0.75,564,1.0,0.0,0.0
auditory,mem,MSC06,0.85,564,0.9880000000000004,0.024741083487212382,-5.5777670396418495
auditory,mem,MSC07,0.8,564,0.9675000000000008,0.033616223836869394,-4.982713133183363
auditory,mem,MSC10,0.85,564,0.9630000000000011,0.032270948876879056,-3.501601407232293
auditory,motor,MSC01,0.9,564,0.9955000000000002,0.014381174563233085,-6.640625880736853
auditory,motor,MSC02,0.85,564,0.9330000000000014,0.02679891449633391,-3.097140371538399
auditory,motor,MSC03,0.95,564,0.9740000000000011,0.02510583657843395,-0.9559530081788735
auditory,motor,MSC04,0.9,564,0.9925000000000003,0.017943514064131832,-5.15506604054236
auditory,motor,MSC05,0.75,564,0.9965,0.014659433478105168,-16.815110922817315
auditory,motor,MSC06,0.75,564,0.9977777777777778,0.010941465864829589,-22.64575705292271
auditory,motor,MSC07,0.95,564,0.9383333333333322,0.049246093276070935,0.23690542519312163
auditory,motor,MSC10,0.85,564,0.9595000000000011,0.02532116932848119,-4.324444838210367
auditory,semantic,MSC01,0.95,564,0.9490000000000015,0.02354878881270658,0.042465029006454096
auditory,semantic,MSC02,0.65,564,0.9030000000000007,0.04071333636016281,-6.214179986672773
auditory,semantic,MSC03,0.85,564,0.879,0.052310263202966535,-0.5543845170015399
auditory,semantic,MSC04,0.8,564,0.9395000000000016,0.023884190282581177,-5.840683663525296
auditory,semantic,MSC05,0.75,564,0.9635000000000012,0.026452740401468316,-8.07099743768515
auditory,semantic,MSC06,0.75,564,0.9245000000000004,0.054353407706352073,-3.2104702789335375
auditory,semantic,MSC07,0.9,564,0.9890000000000002,0.023115869750961894,-3.8501687783691003
auditory,semantic,MSC10,0.75,564,0.8509999999999994,0.05816208630051265,-1.7365264285423199
sm,glass,MSC01,0.8,2375,0.8915000000000006,0.02138511707527532,-4.278676599147054
sm,glass,MSC02,0.65,2375,0.8304999999999991,0.03885676884210118,-4.645265300711982
sm,glass,MSC03,0.85,2375,0.9010000000000005,0.036913767927783565,-1.3815983266670202
sm,glass,MSC04,0.85,2375,0.9610000000000012,0.02893741068882525,-3.8358649705609644
sm,glass,MSC05,0.95,2375,0.9310000000000014,0.03608351704061287,0.526556210654677
sm,glass,MSC06,0.8888888888888888,2375,0.8183333333333326,0.03691478138799291,1.9113090448506767
sm,glass,MSC07,0.9,2375,0.8970000000000006,0.0361114996094098,0.08307602931055566
sm,glass,MSC10,0.7,2375,0.844499999999999,0.034004604560458146,-4.249424507880595
sm,mem,MSC01,0.9,2375,1.0,0.0,0.0
sm,mem,MSC02,0.95,2375,0.9910000000000003,0.019306145983268463,-2.1236760581595484
sm,mem,MSC03,0.85,2375,0.954375,0.045169958227373026,-2.3107172132992737
sm,mem,MSC04,1.0,2375,1.0,0.0,0.0
sm,mem,MSC05,1.0,2375,1.0,0.0,0.0
sm,mem,MSC06,1.0,2375,0.9990000000000001,0.007035264706814506,0.14214106244378677
sm,mem,MSC07,0.8,2375,0.9845000000000006,0.02724282872925862,-6.772424473008148
sm,mem,MSC10,1.0,2375,0.973500000000001,0.027019446793939094,0.9807750766364082
sm,motor,MSC01,0.95,2375,1.0,0.0,0.0
sm,motor,MSC02,1.0,2375,0.9445000000000014,0.015723301886760993,3.5297929404210895
sm,motor,MSC03,1.0,2375,0.9715000000000009,0.024878492597812153,1.1455677986899178
sm,motor,MSC04,1.0,2375,0.9995,0.005000000000000005,0.09999999999998888
sm,motor,MSC05,1.0,2375,1.0,0.0,0.0
sm,motor,MSC06,0.9,2375,1.0,0.0,0.0
sm,motor,MSC07,0.95,2375,0.9666666666666659,0.03441927323276243,-0.484224828164052
sm,motor,MSC10,0.95,2375,0.9575000000000016,0.017943514064131853,-0.41797832761163123
sm,semantic,MSC01,0.95,2375,0.9505000000000017,0.004999999999999994,-0.10000000000034438
sm,semantic,MSC02,0.7,2375,0.920500000000001,0.03105469271131078,-7.1003761669710626
sm,semantic,MSC03,0.85,2375,0.8985000000000011,0.03367626625816627,-1.4401834107200104
sm,semantic,MSC04,0.85,2375,0.9495000000000018,0.004999999999999992,-19.900000000000393
sm,semantic,MSC05,0.9,2375,0.9550000000000015,0.015075567228888224,-3.6482872693910284
sm,semantic,MSC06,0.85,2375,0.9430000000000014,0.03893792002870229,-2.3884172531929893
sm,semantic,MSC07,0.9,2375,1.0,0.0,0.0
sm,semantic,MSC10,0.9,2375,0.8744999999999995,0.03988303606367711,0.639369579569803
van,glass,MSC01,0.8,3151,0.892500000000001,0.019299604852813637,-4.792844242430983
van,glass,MSC02,0.8,3151,0.8284999999999993,0.04098225780194952,-0.6954228861115496
van,glass,MSC03,0.8,3151,0.8970000000000004,0.0368041499636312,-2.6355723497446055
van,glass,MSC04,0.9,3151,0.9585000000000012,0.02253504565844685,-2.595956577442015
van,glass,MSC05,0.75,3151,0.9315000000000014,0.03382590603652647,-5.365709932618242
van,glass,MSC06,0.7222222222222222,3151,0.8172222222222217,0.03643877073899719,-2.607113194911634
van,glass,MSC07,0.85,3151,0.902000000000001,0.03618136134933163,-1.4372040758207023
van,glass,MSC10,0.8,3151,0.8429999999999991,0.03258245174347934,-1.319728801826724
van,mem,MSC01,1.0,3151,1.0,0.0,0.0
van,mem,MSC02,0.95,3151,0.9955000000000002,0.014381174563233087,-3.163858403911285
van,mem,MSC03,0.9,3151,0.96,0.037183003611539436,-1.613640485498042
van,mem,MSC04,0.95,3151,1.0,0.0,0.0
van,mem,MSC05,1.0,3151,1.0,0.0,0.0
van,mem,MSC06,1.0,3151,0.9995,0.004999999999999998,0.09999999999998901
van,mem,MSC07,0.9,3151,0.9855000000000004,0.025912634880780595,-3.2995486716565328
van,mem,MSC10,0.9,3151,0.9695000000000009,0.026490897998514076,-2.6235426222206315
van,motor,MSC01,0.95,3151,1.0,0.0,0.0
van,motor,MSC02,0.95,3151,0.9470000000000017,0.011934162828797104,0.25137917447876895
van,motor,MSC03,1.0,3151,0.9640000000000012,0.022563042992710666,1.595529468770199
van,motor,MSC04,0.95,3151,1.0,0.0,0.0
van,motor,MSC05,1.0,3151,1.0,0.0,0.0
van,motor,MSC06,0.95,3151,1.0,0.0,0.0
van,motor,MSC07,0.95,3151,0.967777777777777,0.03458192756958804,-0.5140771214098284
van,motor,MSC10,0.95,3151,0.9570000000000014,0.017436754400988862,-0.4014508571391285
van,semantic,MSC01,0.95,3151,0.9500000000000017,0.0,0.0
van,semantic,MSC02,0.85,3151,0.9220000000000009,0.0320353340276424,-2.2475183164275467
van,semantic,MSC03,0.8,3151,0.8955000000000006,0.026680867430964216,-3.5793438967868414
van,semantic,MSC04,0.9,3151,0.9500000000000017,0.0,0.0
van,semantic,MSC05,0.9,3151,0.9505000000000017,0.005,-10.10000000000033
van,semantic,MSC06,0.85,3151,0.9470000000000011,0.040713336360162854,-2.3825116944951126
van,semantic,MSC07,1.0,3151,1.0,0.0,0.0
van,semantic,MSC10,0.8,3151,0.8845000000000002,0.031538816872181005,-2.679238106567461
co,glass,MSC01,0.85,4060,0.8900000000000007,0.021320071635561065,-1.8761663039294028
co,glass,MSC02,0.85,4060,0.8234999999999992,0.038569758394709476,0.6870667876321385
co,glass,MSC03,0.85,4060,0.8905000000000008,0.04000946857629548,-1.0122603833832478
co,glass,MSC04,0.85,4060,0.9640000000000013,0.026666666666666682,-4.275000000000047
co,glass,MSC05,0.9,4060,0.9330000000000012,0.03273709168080101,-1.0080309002938803
co,glass,MSC06,0.6666666666666666,4060,0.8105555555555551,0.03358955027262416,-4.283739666683167
co,glass,MSC07,0.95,4060,0.9065000000000011,0.0322983253154373,1.3468190556371549
co,glass,MSC10,0.9,4060,0.8434999999999995,0.02900278635168723,1.9480886875792771
co,mem,MSC01,1.0,4060,1.0,0.0,0.0
co,mem,MSC02,0.95,4060,0.9950000000000001,0.015075567228888217,-2.9849623113198627
co,mem,MSC03,1.0,4060,0.95375,0.03934838566631997,1.1753976488948426
co,mem,MSC04,0.95,4060,1.0,0.0,0.0
co,mem,MSC05,1.0,4060,1.0,0.0,0.0
co,mem,MSC06,0.85,4060,0.9990000000000001,0.007035264706814496,-21.179018304126608
co,mem,MSC07,0.95,4060,0.9860000000000005,0.024700222875533157,-1.457476727291414
co,mem,MSC10,0.95,4060,0.9705000000000008,0.025716991199664786,-0.7971383526494368
co,motor,MSC01,0.95,4060,1.0,0.0,0.0
co,motor,MSC02,1.0,4060,0.9485000000000018,0.008572330399888268,6.007701243137976
co,motor,MSC03,1.0,4060,0.9670000000000012,0.023804761428476182,1.3862772831876786
co,motor,MSC04,0.95,4060,1.0,0.0,0.0
co,motor,MSC05,1.0,4060,1.0,0.0,0.0
co,motor,MSC06,0.95,4060,1.0,0.0,0.0
co,motor,MSC07,1.0,4060,0.9711111111111105,0.030047557599088375,0.9614388388680879
co,motor,MSC10,0.95,4060,0.9520000000000016,0.009847319278346622,-0.20310096011606824
co,semantic,MSC01,1.0,4060,0.9500000000000017,0.0,0.0
co,semantic,MSC02,0.8,4060,0.9165000000000013,0.031022149141762188,-3.7553813395593645
co,semantic,MSC03,0.85,4060,0.8955000000000005,0.018929694486000907,-2.403630974268982
co,semantic,MSC04,0.9,4060,0.9500000000000017,0.0,0.0
co,semantic,MSC05,0.85,4060,0.9530000000000016,0.0119341628287971,-8.630684990442978
co,semantic,MSC06,0.8,4060,0.9495000000000009,0.03988303606367707,-3.748460868458205
co,semantic,MSC07,1.0,4060,1.0,0.0,0.0
co,semantic,MSC10,0.8,4060,0.8825000000000007,0.03207865963596989,-2.5718032154776567
fp,glass,MSC01,0.9,4620,0.8945000000000006,0.01572330188676103,0.3497993004020597
fp,glass,MSC02,0.85,4620,0.8194999999999988,0.03545875395897652,0.8601543087297348
fp,glass,MSC03,0.85,4620,0.8985000000000011,0.035855349121240755,-1.3526573074495496
fp,glass,MSC04,1.0,4620,0.9645000000000014,0.022802401078603464,1.5568535908838967
fp,glass,MSC05,0.95,4620,0.9340000000000012,0.02919803507986883,0.5479820801719055
fp,glass,MSC06,0.8888888888888888,4620,0.8111111111111104,0.034419273232762414,2.259715864765693
fp,glass,MSC07,0.95,4620,0.9005000000000011,0.032172985719404565,1.5385578581892023
fp,glass,MSC10,0.75,4620,0.8419999999999992,0.0232683076611545,-3.9538758615259963
fp,mem,MSC01,1.0,4620,1.0,0.0,0.0
fp,mem,MSC02,0.95,4620,0.9950000000000001,0.015075567228888212,-2.9849623113198636
fp,mem,MSC03,0.95,4620,0.95625,0.041190460551006725,-0.15173416165766407
fp,mem,MSC04,1.0,4620,1.0,0.0,0.0
fp,mem,MSC05,1.0,4620,1.0,0.0,0.0
fp,mem,MSC06,1.0,4620,0.9995,0.005000000000000001,0.09999999999998897
fp,mem,MSC07,0.95,4620,0.9915000000000004,0.01887625840343186,-2.1985289199291413
fp,mem,MSC10,1.0,4620,0.971000000000001,0.02480224818744294,1.169248843122268
fp,motor,MSC01,1.0,4620,1.0,0.0,0.0
fp,motor,MSC02,0.85,4620,0.9485000000000017,0.008572330399888257,-11.490457717458682
fp,motor,MSC03,0.95,4620,0.9615000000000014,0.02114762923408256,-0.5437961803050448
fp,motor,MSC04,1.0,4620,1.0,0.0,0.0
fp,motor,MSC05,1.0,4620,1.0,0.0,0.0
fp,motor,MSC06,0.95,4620,1.0,0.0,0.0
fp,motor,MSC07,0.95,4620,0.9722222222222218,0.03303268833392017,-0.6727342926976534
fp,motor,MSC10,0.95,4620,0.9530000000000015,0.011934162828797118,-0.2513791744790478
fp,semantic,MSC01,0.95,4620,0.9500000000000017,0.0,0.0
fp,semantic,MSC02,0.85,4620,0.9200000000000013,0.03481553119113955,-2.010596926288348
fp,semantic,MSC03,0.85,4620,0.9005000000000009,0.021898526309901644,-2.306091254056981
fp,semantic,MSC04,0.95,4620,0.9500000000000017,0.0,0.0
fp,semantic,MSC05,1.0,4620,0.9505000000000017,0.0050000000000000044,9.899999999999656
fp,semantic,MSC06,0.9,4620,0.9495000000000013,0.0417393305788643,-1.185931813316307
fp,semantic,MSC07,1.0,4620,1.0,0.0,0.0
fp,semantic,MSC10,0.95,4620,0.8875000000000002,0.027866021451135647,2.242874897286518
dan,glass,MSC01,0.9,5264,0.8900000000000002,0.020100756305184257,0.497493718553299
dan,glass,MSC02,0.85,5264,0.8289999999999992,0.03838928722622197,0.5470276089329591
dan,glass,MSC03,0.9,5264,0.8985000000000006,0.03367626625816628,0.04454175497070285
dan,glass,MSC04,0.95,5264,0.9620000000000012,0.022607766610417558,-0.5307910421576842
dan,glass,MSC05,1.0,5264,0.9280000000000015,0.026892979069495473,2.6772786984268184
dan,glass,MSC06,0.8888888888888888,5264,0.8055555555555551,0.032075014954979233,2.5980762113533253
dan,glass,MSC07,0.95,5264,0.905500000000001,0.034004604560458125,1.3086463017348338
dan,glass,MSC10,0.85,5264,0.8424999999999991,0.022890825651118375,0.3276421791991768
dan,mem,MSC01,1.0,5264,1.0,0.0,0.0
dan,mem,MSC02,1.0,5264,0.9970000000000002,0.011934162828797126,0.25137917447889874
dan,mem,MSC03,0.95,5264,0.954375,0.0330659255018354,-0.13231143340467433
dan,mem,MSC04,1.0,5264,1.0,0.0,0.0
dan,mem,MSC05,1.0,5264,1.0,0.0,0.0
dan,mem,MSC06,1.0,5264,1.0,0.0,0.0
dan,mem,MSC07,0.95,5264,0.9920000000000003,0.018422647458873537,-2.279802623035619
dan,mem,MSC10,1.0,5264,0.9660000000000012,0.024494897427831796,1.3880441875770848
dan,motor,MSC01,1.0,5264,1.0,0.0,0.0
dan,motor,MSC02,0.85,5264,0.9485000000000018,0.008572330399888263,-11.490457717458687
dan,motor,MSC03,0.95,5264,0.9650000000000013,0.02302830932359193,-0.6513721780102293
dan,motor,MSC04,1.0,5264,1.0,0.0,0.0
dan,motor,MSC05,1.0,5264,1.0,0.0,0.0
dan,motor,MSC06,1.0,5264,1.0,0.0,0.0
dan,motor,MSC07,0.95,5264,0.9711111111111106,0.032055569657675184,-0.6585785664256921
dan,motor,MSC10,0.9,5264,0.9510000000000016,0.007035264706814518,-7.249194184634138
dan,semantic,MSC01,1.0,5264,0.9500000000000017,0.0,0.0
dan,semantic,MSC02,0.9,5264,0.9225000000000014,0.03207865963596985,-0.7014008769484908
dan,semantic,MSC03,0.95,5264,0.8990000000000008,0.01737872843507839,2.934622069187602
dan,semantic,MSC04,0.95,5264,0.9500000000000017,0.0,0.0
dan,semantic,MSC05,0.95,5264,0.9515000000000016,0.008572330399888275,-0.17498158960615434
dan,semantic,MSC06,0.95,5264,0.9440000000000015,0.036431754380934316,0.1646914924069209
dan,semantic,MSC07,1.0,5264,0.9995,0.0049999999999999975,0.09999999999998904
dan,semantic,MSC10,0.8,5264,0.887,0.024225372791119002,-3.5912760043013283
visual,glass,MSC01,0.95,8736,0.8960000000000005,0.013632996217214558,3.960978140066745
visual,glass,MSC02,0.95,8736,0.8224999999999989,0.032078659635969876,3.974604969374562
visual,glass,MSC03,0.85,8736,0.8875000000000003,0.03508647326336185,-1.0687879547916468
visual,glass,MSC04,0.95,8736,0.9575000000000012,0.019299604852813665,-0.3886089926296013
visual,glass,MSC05,1.0,8736,0.9280000000000014,0.025936986577612852,2.775958563441769
