Network,task,train,same_sub,feature,mu,std,z_score
pon,glass,MSC01,0.85,21,0.7704999999999999,0.09537141642393214,0.8335830899964563
pon,glass,MSC02,0.85,21,0.7254999999999998,0.10062807809458602,1.237229234200176
pon,glass,MSC03,0.8,21,0.7509999999999999,0.08645078006436596,0.5667965050577652
pon,glass,MSC04,0.85,21,0.7949999999999995,0.09252354327740624,0.5944432957468805
pon,glass,MSC05,0.7,21,0.7945,0.09637233141636797,-0.9805718987094054
pon,glass,MSC06,0.7222222222222222,21,0.7311111111111113,0.11075138176187625,-0.08025984640084069
pon,glass,MSC07,0.7,21,0.7705000000000001,0.09798345562265895,-0.7195092227763479
pon,glass,MSC10,0.7,21,0.7404999999999998,0.11002639719998142,-0.3680934851151039
pon,mem,MSC01,0.8,21,0.8300000000000002,0.09770084209183942,-0.30705978943149687
pon,mem,MSC02,0.8,21,0.8104999999999997,0.10057787575261815,-0.10439671668772836
pon,mem,MSC03,0.65,21,0.765625,0.11663114989685484,-0.9913732317846075
pon,mem,MSC04,0.65,21,0.824,0.09859620743827888,-1.7647737628135824
pon,mem,MSC05,0.55,21,0.9000000000000006,0.0937436866561092,-3.7335847616484936
pon,mem,MSC06,0.75,21,0.8605000000000005,0.09164462544927214,-1.2057444662825898
pon,mem,MSC07,0.4,21,0.7989999999999998,0.10730396737372491,-3.718408645696555
pon,mem,MSC10,0.65,21,0.8265000000000002,0.09440269427759299,-1.8696500280066
pon,motor,MSC01,0.9,21,0.8485,0.10235978337474755,0.5031272859522794
pon,motor,MSC02,0.65,21,0.845,0.08804842561071292,-2.2146903666642523
pon,motor,MSC03,0.75,21,0.8350000000000002,0.0970525214468533,-0.8758144428689247
pon,motor,MSC04,0.8,21,0.8294999999999996,0.10102879877449887,-0.2919959492524992
pon,motor,MSC05,0.45,21,0.8675,0.08829902135197859,-4.728251724736072
pon,motor,MSC06,0.8,21,0.8422222222222215,0.09062557110948354,-0.4658974471036811
pon,motor,MSC07,0.75,21,0.772222222222222,0.12347081850713067,-0.17997954894045395
pon,motor,MSC10,0.45,21,0.8314999999999999,0.10387808510776739,-3.672574437661381
pon,semantic,MSC01,0.75,21,0.8555000000000001,0.08844761047071766,-1.192796497706719
pon,semantic,MSC02,0.75,21,0.7815000000000001,0.10041705959938213,-0.3136917185752161
pon,semantic,MSC03,0.75,21,0.7649999999999997,0.09782999065065412,-0.15332721489838338
pon,semantic,MSC04,0.95,21,0.8275000000000002,0.09701999169180947,1.262626370749744
pon,semantic,MSC05,0.9,21,0.8504999999999997,0.09224884001898609,0.5365921131345667
pon,semantic,MSC06,0.7,21,0.7609999999999998,0.1072097915021729,-0.5689778810806054
pon,semantic,MSC07,0.7,21,0.8385000000000004,0.10750968948580092,-1.2882559763907835
pon,semantic,MSC10,0.75,21,0.7515,0.10575725015144805,-0.014183424756713076
pmn,glass,MSC01,0.8,45,0.8160000000000001,0.08222904694580964,-0.19457844392315882
pmn,glass,MSC02,0.7,45,0.7374999999999998,0.09491490074713446,-0.395090757139437
pmn,glass,MSC03,0.75,45,0.7885000000000001,0.10416939390369237,-0.3695903235800187
pmn,glass,MSC04,0.95,45,0.8600000000000001,0.07106690545187015,1.2664122551523238
pmn,glass,MSC05,0.7,45,0.86,0.0837866458345363,-1.9096121870777778
pmn,glass,MSC06,0.7222222222222222,45,0.7649999999999997,0.0899817082463432,-0.47540526415285
pmn,glass,MSC07,0.65,45,0.8090000000000002,0.08971897764405783,-1.7722003100704176
pmn,glass,MSC10,0.7,45,0.755,0.08423751893283422,-0.652915716141327
pmn,mem,MSC01,0.95,45,0.9045000000000006,0.0755769057772855,0.6020357612162823
pmn,mem,MSC02,0.65,45,0.8645000000000002,0.07463547779343645,-2.8739683370642743
pmn,mem,MSC03,0.75,45,0.813125,0.11667173960832301,-0.541047902533347
pmn,mem,MSC04,1.0,45,0.9080000000000001,0.07237668021112764,1.2711276578537407
pmn,mem,MSC05,0.8,45,0.9755000000000004,0.03588350961968831,-4.890825949302022
pmn,mem,MSC06,0.75,45,0.9020000000000006,0.0791112246055252,-1.9213455582052104
pmn,mem,MSC07,0.55,45,0.8345000000000001,0.09736295730176572,-2.9220558607132667
pmn,mem,MSC10,0.7,45,0.866,0.0912538915733062,-1.8191005023237687
pmn,motor,MSC01,0.7,45,0.9035000000000002,0.07728178794175729,-2.633220651589559
pmn,motor,MSC02,0.8,45,0.8880000000000003,0.0590839156700797,-1.4894070408499314
pmn,motor,MSC03,0.9,45,0.8920000000000006,0.08156301399853522,0.0980836730744541
pmn,motor,MSC04,0.85,45,0.8990000000000004,0.08256616569256268,-0.5934634312855604
pmn,motor,MSC05,0.85,45,0.9235000000000002,0.06569557892970494,-1.1187967470177271
pmn,motor,MSC06,0.85,45,0.9011111111111104,0.08742481137010044,-0.5846293553295626
pmn,motor,MSC07,0.7,45,0.8544444444444437,0.08273447371736545,-1.8667483759194663
pmn,motor,MSC10,0.95,45,0.8840000000000002,0.07483314773547883,0.8819620983109967
pmn,semantic,MSC01,0.85,45,0.8810000000000002,0.07513623989430496,-0.4125838615774268
