sub,semantic,glass,motor,mem
MSC01,0.75,0.8,0.95,0.85
MSC02,0.85,0.6,0.65,0.55
MSC03,0.7,0.65,0.7,0.95
MSC04,0.75,0.9,0.85,0.85
MSC05,0.8,1.0,0.95,0.9
MSC06,0.6,0.8518518518518517,0.8,0.85
MSC07,0.9,0.8,0.9,0.6
MSC10,0.85,0.65,0.9,0.7
