sub,semantic,glass,motor,mem
MSC01,0.95,0.85,0.95,0.95
MSC02,0.8,0.75,1.0,0.8
MSC03,0.85,0.9,0.9,0.85
MSC04,0.85,0.7,0.95,0.95
MSC05,0.9,0.8,1.0,1.0
MSC06,0.85,0.8333333333333334,1.0,0.95
MSC07,1.0,0.85,1.0,0.9
MSC10,0.8,0.85,0.95,0.95
