sub,semantic,glass,motor,mem
MSC01,0.95,0.9,0.95,1.0
MSC02,0.95,0.8,0.9,0.95
MSC03,0.85,0.75,0.95,1.0
MSC04,0.9,1.0,1.0,1.0
MSC05,0.95,0.9,0.95,1.0
MSC06,1.0,0.8333333333333334,0.95,1.0
MSC07,0.95,0.9,0.85,0.9
MSC10,0.8,0.75,0.95,0.95
