network,task,acc,feature,mu,std,z_score
pon,glass,0.7715277777777778,21,0.7333101851851851,0.12036856493651245,0.31750476225042906
pon,mem,0.6562500000000001,21,0.8012500000000001,0.1158280589516475,-1.2518555634307087
pon,motor,0.69375,21,0.8318750000000001,0.08577411828219869,-1.6103342449474787
pon,semantic,0.7812500000000001,21,0.798125,0.10920997949021496,-0.15451884597700008
pmn,glass,0.7442129629629631,45,0.8031249999999999,0.09728235532351281,-0.605577823862555
pmn,mem,0.76875,45,0.8712500000000001,0.08815083448415652,-1.1627796900597975
pmn,motor,0.825,45,0.8881249999999999,0.07764074602319311,-0.8130395859558468
pmn,semantic,0.7999999999999999,45,0.8381250000000003,0.08315143650235429,-0.4585007981061273
sm-lat,glass,0.7273148148148147,316,0.8608333333333335,0.072164858751116,-1.8501874850056974
sm-lat,mem,0.8562500000000001,316,0.9725000000000005,0.04126174554680909,-2.817379596026093
sm-lat,motor,0.9062499999999999,316,0.9637500000000004,0.04282360049661485,-1.3427175513779102
sm-lat,semantic,0.7437499999999999,316,0.9050000000000002,0.06731749824243508,-2.3953653093179392
salience,glass,0.8027777777777778,484,0.8838888888888891,0.0652965155499115,-1.2421966230205859
salience,mem,0.9062500000000001,484,0.9750000000000005,0.03467753805519678,-1.9825513532872483
salience,motor,0.8749999999999999,484,0.9762500000000003,0.03277753939220568,-3.089005516505522
salience,semantic,0.8624999999999999,484,0.9150000000000006,0.06384316225790047,-0.8223276877784023
auditory,glass,0.8104166666666667,564,0.8691203703703705,0.07299481873641563,-0.8042174050144978
auditory,mem,0.81875,564,0.9781250000000004,0.030650902892105265,-5.199683694833358
auditory,motor,0.8624999999999999,564,0.9787500000000003,0.031597748678014834,-3.679059580624019
auditory,semantic,0.8,564,0.9156250000000006,0.06294147874681243,-1.8370238879374308
sm,glass,0.8236111111111112,2375,0.8843749999999997,0.06379843624463305,-0.9524353960007943
sm,mem,0.9375,2375,0.9893750000000002,0.020582882774070783,-2.520298083092111
sm,motor,0.9687500000000001,2375,0.9812500000000005,0.02435886759231118,-0.5131601439447044
sm,semantic,0.8625,2375,0.9350000000000005,0.04799789024899354,-1.510483057148969
van,glass,0.8027777777777778,3151,0.8766666666666666,0.06526539518071586,-1.1321296482507306
van,mem,0.9500000000000001,3151,0.9906250000000003,0.019638746898588917,-2.0686146733180433
van,motor,0.9625,3151,0.9837500000000003,0.023566496278306703,-0.9017038319591552
van,semantic,0.8812499999999999,3151,0.9343750000000005,0.041790428011899104,-1.2712241182328694
co,glass,0.8659722222222223,4060,0.8736111111111114,0.05821013713809008,-0.13122952915860167
co,mem,0.95625,4060,0.9912500000000002,0.020707425440030715,-1.690214947356016
co,motor,0.9750000000000001,4060,0.9818750000000005,0.024187754512447642,-0.2842347352443302
co,semantic,0.8749999999999999,4060,0.9406250000000007,0.0382312666130151,-1.7165269637616467
fp,glass,0.8854166666666666,4620,0.8831249999999999,0.06397180915055227,0.03582307108547528
fp,mem,0.9812500000000001,4620,0.9900000000000004,0.020126184217065114,-0.4347570262514635
fp,motor,0.95625,4620,0.9812500000000005,0.024358867592311182,-1.0263202878893949
fp,semantic,0.93125,4620,0.9431250000000009,0.040365223470492324,-0.29418888288037565
dan,glass,0.9041666666666666,5264,0.8842361111111112,0.062238317626409,0.320229664226952
dan,mem,0.9875,5264,0.9937500000000001,0.0166402744621961,-0.3755947664324309
dan,motor,0.95625,5264,0.9812500000000005,0.025625096480213574,-0.9756060828611601
dan,semantic,0.9375,5264,0.9375000000000007,0.03937807653241083,-1.691636243905465e-14
visual,glass,0.8793981481481482,8736,0.8767361111111109,0.0576544024502383,0.04617231163456912
visual,mem,0.9875,8736,0.9900000000000004,0.020126184217065118,-0.12421629321471803
visual,motor,0.9812500000000001,8736,0.9825000000000005,0.023998945124496792,-0.0520856226603263
visual,semantic,0.8812500000000002,8736,0.9431250000000008,0.03623390083361509,-1.7076549467894329
default,glass,0.8916666666666666,10824,0.8810416666666668,0.06034032351048681,0.17608457134229996
default,mem,0.9750000000000001,10824,0.9950000000000001,0.015094638162798837,-1.3249737942901196
default,motor,0.975,10824,0.9825000000000005,0.023998945124496792,-0.31251373596187454
default,semantic,0.9312500000000001,10824,0.9387500000000009,0.03895388380240331,-0.1925353589399475
unassign,glass,0.7388888888888889,14808,0.8779166666666669,0.059520765443560456,-2.3357861200492906
unassign,mem,0.9375,14808,0.9931250000000003,0.0173273581879106,-3.2102412495177797
unassign,motor,0.9125,14808,0.9818750000000005,0.02418775451244764,-2.8681868738290017
unassign,semantic,0.83125,14808,0.9431250000000005,0.037940451342877636,-2.94869976608758
