,test_task,train_task,Mean,Std
0,glass,mem,0.8225694444444445,0.09128078350556465
1,glass,motor,0.6841666666666667,0.1534161267158963
2,glass,semantic,0.7603472222222222,0.0988032166342976
3,mem,glass,0.725138888888889,0.08960758561836567
4,mem,motor,0.6318750000000001,0.08564617829852575
5,mem,semantic,0.6831250000000001,0.1020482203946462
6,motor,glass,0.7392361111111112,0.131450642388996
7,motor,mem,0.830625,0.1124225924168016
8,motor,semantic,0.6281249999999999,0.0809734303865869
9,semantic,glass,0.8204166666666668,0.09077160418866759
10,semantic,mem,0.8525,0.05133920807447545
11,semantic,motor,0.6556249999999999,0.14041869787989672
