,test_task,train_task,Mean,Std
0,glass,mem,0.8009722222222222,0.1663986601789432
1,glass,motor,0.7333333333333334,0.12308856019465676
2,glass,semantic,0.7720833333333335,0.10737765278427494
3,mem,glass,0.7732638888888889,0.1802740020882772
4,mem,motor,0.7068749999999999,0.12643285908790824
5,mem,semantic,0.7468750000000001,0.1283114931941573
6,motor,glass,0.7568055555555555,0.15311801940320804
7,motor,mem,0.76,0.13851250588201153
8,motor,semantic,0.7462500000000001,0.12388791016767652
9,semantic,glass,0.7815277777777778,0.14475904384878377
10,semantic,mem,0.8043750000000001,0.09503523782561614
11,semantic,motor,0.7556249999999999,0.11690770168934853
