train_task,test_task,sub,acc
glass,semantic,MSC01,0.945
glass,motor,MSC01,0.9200000000000002
glass,mem,MSC01,0.7949999999999999
semantic,glass,MSC01,0.7999999999999999
semantic,motor,MSC01,0.8099999999999999
semantic,mem,MSC01,0.675
motor,glass,MSC01,0.715
motor,semantic,MSC01,0.8800000000000001
motor,mem,MSC01,0.6550000000000001
mem,glass,MSC01,0.9199999999999999
mem,semantic,MSC01,0.96
mem,motor,MSC01,1.0
glass,semantic,MSC02,0.8550000000000001
glass,motor,MSC02,0.5999999999999999
glass,mem,MSC02,0.51
semantic,glass,MSC02,0.6399999999999999
semantic,motor,MSC02,0.5
semantic,mem,MSC02,0.5
motor,glass,MSC02,0.54
motor,semantic,MSC02,0.5
motor,mem,MSC02,0.5
mem,glass,MSC02,0.7649999999999999
mem,semantic,MSC02,0.8700000000000001
mem,motor,MSC02,0.5999999999999999
glass,semantic,MSC03,0.74
glass,motor,MSC03,0.8549999999999999
glass,mem,MSC03,0.59
semantic,glass,MSC03,0.6950000000000001
semantic,motor,MSC03,0.6300000000000001
semantic,mem,MSC03,0.625
motor,glass,MSC03,0.6699999999999999
motor,semantic,MSC03,0.5999999999999999
motor,mem,MSC03,0.5949999999999999
mem,glass,MSC03,0.5449999999999999
mem,semantic,MSC03,0.74
mem,motor,MSC03,0.8550000000000001
glass,semantic,MSC04,0.985
glass,motor,MSC04,0.8949999999999999
glass,mem,MSC04,0.8949999999999999
semantic,glass,MSC04,0.845
semantic,motor,MSC04,0.505
semantic,mem,MSC04,0.76
motor,glass,MSC04,0.905
motor,semantic,MSC04,0.595
motor,mem,MSC04,0.7
mem,glass,MSC04,0.9949999999999999
mem,semantic,MSC04,0.95
mem,motor,MSC04,0.9049999999999999
glass,semantic,MSC05,0.86
glass,motor,MSC05,0.8349999999999997
glass,mem,MSC05,0.9199999999999999
semantic,glass,MSC05,0.8499999999999999
semantic,motor,MSC05,0.675
semantic,mem,MSC05,0.8800000000000001
motor,glass,MSC05,0.76
motor,semantic,MSC05,0.615
motor,mem,MSC05,0.8399999999999999
mem,glass,MSC05,0.8950000000000001
mem,semantic,MSC05,0.9
mem,motor,MSC05,1.0
glass,semantic,MSC06,0.8555555555555555
glass,motor,MSC06,0.6444444444444444
glass,mem,MSC06,0.8611111111111112
semantic,glass,MSC06,0.7611111111111111
semantic,motor,MSC06,0.57
semantic,mem,MSC06,0.7150000000000001
motor,glass,MSC06,0.6166666666666668
motor,semantic,MSC06,0.7699999999999999
motor,mem,MSC06,0.7550000000000001
mem,glass,MSC06,0.8388888888888889
mem,semantic,MSC06,0.8699999999999999
mem,motor,MSC06,0.89
glass,semantic,MSC07,1.0
glass,motor,MSC07,0.6450000000000001
glass,mem,MSC07,0.74
semantic,glass,MSC07,0.9100000000000001
semantic,motor,MSC07,0.5499999999999999
semantic,mem,MSC07,0.58
motor,glass,MSC07,0.5
motor,semantic,MSC07,0.5449999999999999
motor,mem,MSC07,0.52
mem,glass,MSC07,0.96
mem,semantic,MSC07,0.915
mem,motor,MSC07,0.8200000000000001
glass,semantic,MSC10,0.9099999999999999
glass,motor,MSC10,0.7949999999999999
glass,mem,MSC10,0.865
semantic,glass,MSC10,0.835
semantic,motor,MSC10,0.675
semantic,mem,MSC10,0.8049999999999999
motor,glass,MSC10,0.615
motor,semantic,MSC10,0.61
motor,mem,MSC10,0.605
mem,glass,MSC10,0.7999999999999999
mem,semantic,MSC10,0.89
mem,motor,MSC10,0.89
