train_task,test_task,sub,acc
glass,semantic,MSC01,0.945
glass,motor,MSC01,0.7749999999999999
glass,mem,MSC01,0.8699999999999999
semantic,glass,MSC01,0.76
semantic,motor,MSC01,0.715
semantic,mem,MSC01,0.77
motor,glass,MSC01,0.8
motor,semantic,MSC01,0.8799999999999999
motor,mem,MSC01,0.8700000000000001
mem,glass,MSC01,0.8499999999999999
mem,semantic,MSC01,0.9000000000000001
mem,motor,MSC01,0.8049999999999999
glass,semantic,MSC02,0.7999999999999999
glass,motor,MSC02,0.5499999999999999
glass,mem,MSC02,0.595
semantic,glass,MSC02,0.7949999999999999
semantic,motor,MSC02,0.62
semantic,mem,MSC02,0.5399999999999999
motor,glass,MSC02,0.5199999999999999
motor,semantic,MSC02,0.5499999999999999
motor,mem,MSC02,0.5
mem,glass,MSC02,0.8149999999999998
mem,semantic,MSC02,0.7449999999999999
mem,motor,MSC02,0.555
glass,semantic,MSC03,0.6300000000000001
glass,motor,MSC03,0.51
glass,mem,MSC03,0.615
semantic,glass,MSC03,0.5449999999999999
semantic,motor,MSC03,0.58
semantic,mem,MSC03,0.645
motor,glass,MSC03,0.59
motor,semantic,MSC03,0.6500000000000001
motor,mem,MSC03,0.565
mem,glass,MSC03,0.635
mem,semantic,MSC03,0.7849999999999999
mem,motor,MSC03,0.7949999999999999
glass,semantic,MSC04,0.93
glass,motor,MSC04,0.89
glass,mem,MSC04,0.8499999999999999
semantic,glass,MSC04,0.8099999999999999
semantic,motor,MSC04,0.8099999999999999
semantic,mem,MSC04,0.8349999999999997
motor,glass,MSC04,0.7999999999999999
motor,semantic,MSC04,0.925
motor,mem,MSC04,0.7949999999999999
mem,glass,MSC04,0.9100000000000001
mem,semantic,MSC04,0.9949999999999999
mem,motor,MSC04,0.7999999999999999
glass,semantic,MSC05,0.8149999999999998
glass,motor,MSC05,0.7899999999999999
glass,mem,MSC05,0.7999999999999999
semantic,glass,MSC05,0.93
semantic,motor,MSC05,0.845
semantic,mem,MSC05,0.865
motor,glass,MSC05,0.8099999999999999
motor,semantic,MSC05,0.77
motor,mem,MSC05,0.89
mem,glass,MSC05,0.905
mem,semantic,MSC05,0.7899999999999999
mem,motor,MSC05,0.8550000000000001
glass,semantic,MSC06,0.6555555555555556
glass,motor,MSC06,0.711111111111111
glass,mem,MSC06,0.7166666666666666
semantic,glass,MSC06,0.6000000000000001
semantic,motor,MSC06,0.55
semantic,mem,MSC06,0.6150000000000001
motor,glass,MSC06,0.7722222222222221
motor,semantic,MSC06,0.7949999999999998
motor,mem,MSC06,0.8699999999999998
mem,glass,MSC06,0.6777777777777778
mem,semantic,MSC06,0.655
mem,motor,MSC06,0.715
glass,semantic,MSC07,0.7450000000000001
glass,motor,MSC07,0.58
glass,mem,MSC07,0.475
semantic,glass,MSC07,0.7799999999999999
semantic,motor,MSC07,0.6250000000000001
semantic,mem,MSC07,0.5049999999999999
motor,glass,MSC07,0.5299999999999999
motor,semantic,MSC07,0.735
motor,mem,MSC07,0.7499999999999999
mem,glass,MSC07,0.62
mem,semantic,MSC07,0.735
mem,motor,MSC07,0.7449999999999999
glass,semantic,MSC10,0.9100000000000001
glass,motor,MSC10,0.9
glass,mem,MSC10,0.725
semantic,glass,MSC10,0.8399999999999999
semantic,motor,MSC10,0.6700000000000002
semantic,mem,MSC10,0.7000000000000001
motor,glass,MSC10,0.74
motor,semantic,MSC10,0.655
motor,mem,MSC10,0.7649999999999999
mem,glass,MSC10,0.8049999999999999
mem,semantic,MSC10,0.8950000000000001
mem,motor,MSC10,1.0
