,test_task,train_task,Mean,Std
0,glass,mem,0.842361111111111,0.14147520519888643
1,glass,motor,0.6569444444444443,0.14574142984717042
2,glass,semantic,0.8070833333333333,0.10039900556011658
3,mem,glass,0.7581249999999999,0.1292543864964413
4,mem,motor,0.619375,0.1026240538498233
5,mem,semantic,0.700625,0.1306149603113781
6,motor,glass,0.7906944444444445,0.14115695730682182
7,motor,mem,0.8725000000000002,0.11925363127145677
8,motor,semantic,0.6275000000000001,0.09357960705807045
9,semantic,glass,0.8963194444444443,0.07482545091114681
10,semantic,mem,0.8887499999999998,0.0722965124628133
11,semantic,motor,0.6224999999999999,0.13035665361943422
