,test_task,train_task,Mean,Std
0,glass,mem,0.8136805555555556,0.11520357623386662
1,glass,motor,0.6489583333333333,0.11168243492081135
2,glass,semantic,0.783263888888889,0.09787577948540972
3,mem,glass,0.810625,0.10788345232571249
4,mem,motor,0.6437499999999999,0.1201710091019104
5,mem,semantic,0.746875,0.12853397271872186
6,motor,glass,0.7984722222222221,0.12975106745677603
7,motor,mem,0.885,0.07030545599636734
8,motor,semantic,0.6543749999999999,0.10959136762146397
9,semantic,glass,0.9008333333333335,0.08768630958643935
10,semantic,mem,0.9087500000000001,0.1039831717154271
11,semantic,motor,0.6706249999999999,0.14293948519765784
