,test_task,train_task,Mean,Std
0,glass,mem,0.8386805555555555,0.1411588900177405
1,glass,motor,0.6670138888888888,0.15145034794419007
2,glass,semantic,0.8136111111111112,0.09840975418022875
3,mem,glass,0.7701388888888887,0.13107369320785306
4,mem,motor,0.641875,0.10862575003850869
5,mem,semantic,0.694375,0.09843190176824929
6,motor,glass,0.7911111111111112,0.1382356064565719
7,motor,mem,0.8649999999999999,0.12366429210914988
8,motor,semantic,0.638125,0.09661918990108981
9,semantic,glass,0.9072916666666666,0.06900044570824533
10,semantic,mem,0.8768750000000001,0.07090927301841421
11,semantic,motor,0.63375,0.11160357137142675
