,test_task,train_task,Mean,Std
0,glass,mem,0.7713888888888889,0.17023197162183587
1,glass,motor,0.6872222222222222,0.11495954353175716
2,glass,semantic,0.7688888888888888,0.12583197553491485
3,mem,glass,0.7368055555555556,0.16790459571669447
4,mem,motor,0.6618749999999999,0.14618817374485915
5,mem,semantic,0.70625,0.16915229824037273
6,motor,glass,0.7743055555555556,0.11690404799402697
7,motor,mem,0.783125,0.12082861238725112
8,motor,semantic,0.75,0.0980888809775531
9,semantic,glass,0.8034027777777778,0.09701380722292637
10,semantic,mem,0.7618750000000001,0.11655585724082192
11,semantic,motor,0.686875,0.13645871955597833
