,test_task,train_task,Mean,Std
0,glass,mem,0.842361111111111,0.1396713672479945
1,glass,motor,0.6576388888888889,0.1548609064700762
2,glass,semantic,0.8120833333333334,0.09713249828055608
3,mem,glass,0.7511805555555556,0.1343917768740261
4,mem,motor,0.653125,0.12106484390016546
5,mem,semantic,0.6993750000000001,0.12748774450903116
6,motor,glass,0.7960416666666668,0.14170430172363907
7,motor,mem,0.881875,0.11367049812003618
8,motor,semantic,0.64875,0.09467048114380748
9,semantic,glass,0.9010416666666667,0.08913133478900585
10,semantic,mem,0.876875,0.0799525528941116
11,semantic,motor,0.6337499999999999,0.12443443482986766
