,test_task,train_task,Mean,Std
0,glass,mem,0.8011805555555556,0.11656815096046669
1,glass,motor,0.7053472222222221,0.09364834288560824
2,glass,semantic,0.7660416666666667,0.08945131468241646
3,mem,glass,0.7360416666666668,0.08986293575341399
4,mem,motor,0.7175,0.1427285135192984
5,mem,semantic,0.73125,0.1136331817736351
6,motor,glass,0.7472222222222222,0.08317975265775075
7,motor,mem,0.8637499999999999,0.0591457038652368
8,motor,semantic,0.7218749999999999,0.08518624553630377
9,semantic,glass,0.75375,0.06040044938338025
10,semantic,mem,0.7968750000000001,0.10194317394649682
11,semantic,motor,0.6931250000000001,0.09319478449539353
