,test_task,train_task,Mean,Std
0,glass,mem,0.7856944444444445,0.09687523112562749
1,glass,motor,0.7100000000000001,0.1267167820659239
2,glass,semantic,0.7901388888888888,0.07500896477873913
3,mem,glass,0.7168055555555555,0.10757375141243952
4,mem,motor,0.69,0.11913377834542617
5,mem,semantic,0.725,0.0802229037477096
6,motor,glass,0.7945833333333334,0.09592387027684444
7,motor,mem,0.8112500000000001,0.08118541389049777
8,motor,semantic,0.690625,0.109949257777005
9,semantic,glass,0.798125,0.11661712383448908
10,semantic,mem,0.875,0.06324555320336762
11,semantic,motor,0.6675,0.10593124454771867
