,test_task,train_task,Mean,Std
0,glass,mem,0.8375694444444445,0.14383508140832324
1,glass,motor,0.6756944444444445,0.1712485919560029
2,glass,semantic,0.81125,0.09234059624177073
3,mem,glass,0.7493055555555556,0.14360677436576233
4,mem,motor,0.6200000000000001,0.09812528434899659
5,mem,semantic,0.6775,0.1137666785260831
6,motor,glass,0.7698611111111111,0.1272330521487357
7,motor,mem,0.8737499999999999,0.12924920557921102
8,motor,semantic,0.628125,0.10070953636218229
9,semantic,glass,0.887638888888889,0.0900317159480103
10,semantic,mem,0.881875,0.07055582895835043
11,semantic,motor,0.6362499999999999,0.13801526830649682
